"name","pos","name_fftoday","team_fftoday","positionRank_fftoday","overallRank_fftoday","pts_fftoday","passAtt_fftoday","passComp_fftoday","passYds_fftoday","passTds_fftoday","passInt_fftoday","rushAtt_fftoday","rushYds_fftoday","rushTds_fftoday","rec_fftoday","recYds_fftoday","recTds_fftoday","returnTds_fftoday","twoPts_fftoday","fumbles_fftoday"
"RUSSELLWILSON","QB","Russell Wilson","SEA",1,1,25.3,27,16,215,1,0,9,45,1,NA,NA,NA,NA,NA,NA
"AARONRODGERS","QB","Aaron Rodgers","GB",2,2,24,35,23,280,2,0,4,20,0,NA,NA,NA,NA,NA,NA
"CAMNEWTON","QB","Cam Newton","CAR",3,3,23.3,32,20,235,2,0,6,35,0,NA,NA,NA,NA,NA,NA
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",4,4,23,41,25,290,2,0,1,5,0,NA,NA,NA,NA,NA,NA
"DREWBREES","QB","Drew Brees","NO",5,5,22.8,38,25,295,2,0,0,0,0,NA,NA,NA,NA,NA,NA
"TEDDYBRIDGEWATER","QB","Teddy Bridgewater","MIN",5,5,22.8,40,24,265,2,1,4,15,0,NA,NA,NA,NA,NA,NA
"MARKSANCHEZ","QB","Mark Sanchez","PHI",5,5,22.8,39,25,285,2,1,1,5,0,NA,NA,NA,NA,NA,NA
"RYANTANNEHILL","QB","Ryan Tannehill","MIA",5,5,22.8,34,20,255,2,0,4,20,0,NA,NA,NA,NA,NA,NA
"JAYCUTLER","QB","Jay Cutler","CHI",9,9,22.3,41,26,265,2,1,3,10,0,NA,NA,NA,NA,NA,NA
"PEYTONMANNING","QB","Peyton Manning","DEN",9,9,22.3,34,24,285,2,0,0,0,0,NA,NA,NA,NA,NA,NA
"ANDYDALTON","QB","Andy Dalton","CIN",11,11,22,38,22,250,2,1,5,15,0,NA,NA,NA,NA,NA,NA
"MATTRYAN","QB","Matt Ryan","ATL",11,11,22,36,25,280,2,0,0,0,0,NA,NA,NA,NA,NA,NA
"PHILIPRIVERS","QB","Philip Rivers","SD",13,13,21.8,41,26,265,2,0,2,5,0,NA,NA,NA,NA,NA,NA
"ELIMANNING","QB","Eli Manning","NYG",14,14,21.5,40,24,270,2,1,0,0,0,NA,NA,NA,NA,NA,NA
"JOEFLACCO","QB","Joe Flacco","BAL",15,15,20.8,33,20,255,2,1,0,0,0,NA,NA,NA,NA,NA,NA
"JOSHMCCOWN","QB","Josh McCown","TB",16,16,19.5,30,19,230,2,1,0,0,0,NA,NA,NA,NA,NA,NA
"LEVEONBELL","RB","Le'Veon Bell","PIT",1,16,19.5,NA,NA,NA,NA,NA,23,100,1,5,35,0,NA,NA,NA
