"name","pos","rank_fftoday","fg_made_fftoday","fg_missed_fftoday","xp_made_fftoday","xp_missed_fftoday","ffpts_fftoday"
"RANDYBULLOCK","K",1,3,0,2,0,11
"CHANDLERCATANZARO","K",1,3,0,2,0,11
"JUSTINTUCKER","K",1,3,0,2,0,11
"GREGZUERLEIN","K",1,3,0,2,0,11
"MATTBRYANT","K",5,2,0,3,0,9
"PHILDAWSON","K",5,2,0,3,0,9
"STEPHENGOSTKOWSKI","K",5,2,0,3,0,9
"SHAUNSUISHAM","K",5,2,0,3,0,9
"NICKFOLK","K",9,2,0,2,0,8
"KAIFORBATH","K",9,2,0,2,0,8
"MIKENUGENT","K",9,2,0,2,0,8
"RYANSUCCOP","K",9,2,0,2,0,8
"BLAIRWALSH","K",9,2,0,2,0,8
"ROBBIEGOULD","K",14,1,0,4,0,7
"BRANDONMCMANUS","K",14,1,0,4,0,7
"STEVEHAUSCHKA","K",16,1,0,3,0,6
"CAIROSANTOS","K",16,1,0,3,0,6
"ADAMVINATIERI","K",16,1,0,3,0,6
"JOSHBROWN","K",19,1,0,2,0,5
"MASONCROSBY","K",19,1,0,2,0,5
"GRAHAMGANO","K",19,1,0,2,0,5
"SEBASTIANJANIKOWSKI","K",19,1,0,2,0,5
"CODYPARKEY","K",23,0,0,4,0,4
"DANBAILEY","K",24,0,0,3,0,3
