"name","pos","rank_fftoday","fg_made_fftoday","fg_missed_fftoday","xp_made_fftoday","xp_missed_fftoday","ffpts_fftoday"
"MATTBRYANT","K",1,3,0,3,0,12
"NICKNOVAK","K",1,3,0,3,0,12
"SHAUNSUISHAM","K",1,3,0,3,0,12
"JOSHBROWN","K",4,3,0,2,0,11
"DANCARPENTER","K",4,3,0,2,0,11
"SEBASTIANJANIKOWSKI","K",4,3,0,2,0,11
"JUSTINTUCKER","K",4,3,0,2,0,11
"PHILDAWSON","K",8,2,0,3,0,9
"KAIFORBATH","K",8,2,0,3,0,9
"ROBBIEGOULD","K",8,2,0,3,0,9
"ADAMVINATIERI","K",8,2,0,3,0,9
"NICKFOLK","K",12,2,0,2,0,8
"STEPHENGOSTKOWSKI","K",12,2,0,2,0,8
"CALEBSTURGIS","K",12,2,0,2,0,8
"RYANSUCCOP","K",12,2,0,2,0,8
"BLAIRWALSH","K",12,2,0,2,0,8
"SHAYNEGRAHAM","K",17,1,0,4,0,7
"DANBAILEY","K",18,1,0,3,0,6
"RANDYBULLOCK","K",18,1,0,3,0,6
"MASONCROSBY","K",18,1,0,3,0,6
"CODYPARKEY","K",18,1,0,3,0,6
"GRAHAMGANO","K",22,1,0,2,0,5
"PATRICKMURRAY","K",22,1,0,2,0,5
"JOSHSCOBEE","K",22,1,0,2,0,5
