"name","pos","rank_fftoday","fg_made_fftoday","fg_missed_fftoday","xp_made_fftoday","xp_missed_fftoday","ffpts_fftoday"
"RANDYBULLOCK","K",1,3,0,2,0,11
"CHANDLERCATANZARO","K",1,3,0,2,0,11
"JUSTINTUCKER","K",1,3,0,2,0,11
"GREGZUERLEIN","K",1,3,0,2,0,11
"PATRICKMURRAY","K",5,3,0,1,0,10
"MATTBRYANT","K",6,2,0,3,0,9
"PHILDAWSON","K",6,2,0,3,0,9
"STEPHENGOSTKOWSKI","K",6,2,0,3,0,9
"SHAUNSUISHAM","K",6,2,0,3,0,9
"NICKFOLK","K",10,2,0,2,0,8
"KAIFORBATH","K",10,2,0,2,0,8
"MIKENUGENT","K",10,2,0,2,0,8
"CALEBSTURGIS","K",10,2,0,2,0,8
"RYANSUCCOP","K",10,2,0,2,0,8
"BLAIRWALSH","K",10,2,0,2,0,8
"ROBBIEGOULD","K",16,1,0,4,0,7
"SHAYNEGRAHAM","K",16,1,0,4,0,7
"BRANDONMCMANUS","K",16,1,0,4,0,7
"JOSHSCOBEE","K",16,2,0,1,0,7
"STEVEHAUSCHKA","K",20,1,0,3,0,6
"NICKNOVAK","K",20,1,0,3,0,6
"CAIROSANTOS","K",20,1,0,3,0,6
"ADAMVINATIERI","K",20,1,0,3,0,6
"JOSHBROWN","K",24,1,0,2,0,5
"MASONCROSBY","K",24,1,0,2,0,5
"GRAHAMGANO","K",24,1,0,2,0,5
"SEBASTIANJANIKOWSKI","K",24,1,0,2,0,5
"CODYPARKEY","K",28,0,0,4,0,4
"DANBAILEY","K",29,0,0,3,0,3
