"name","pos","name_ffn","team_ffn","positionRank_ffn","overallRank_ffn","pts_ffn","passAtt_ffn","passComp_ffn","passYds_ffn","passTds_ffn","passInt_ffn","rushAtt_ffn","rushYds_ffn","rushTds_ffn","rec_ffn","recYds_ffn","recTds_ffn","returnTds_ffn","twoPts_ffn","fumbles_ffn"
"MATTRYAN","QB","Matt Ryan","ATL",0,0,0,36,25,334,2,1,NA,6,0,NA,NA,NA,NA,NA,0
"DREWBREES","QB","Drew Brees","NO",0,0,0,38,26,294,2,0,NA,1,0,NA,NA,NA,NA,NA,0
"PEYTONMANNING","QB","Peyton Manning","DEN",0,0,0,36,27,285,2,0,NA,-1,0,NA,NA,NA,NA,NA,0
"DEREKCARR","QB","Derek Carr","OAK",0,0,0,41,24,278,1,1,NA,9,0,NA,NA,NA,NA,NA,0
"AARONRODGERS","QB","Aaron Rodgers","GB",0,0,0,35,25,277,2,0,NA,15,0,NA,NA,NA,NA,NA,0
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",0,0,0,40,24,275,1,1,NA,6,0,NA,NA,NA,NA,NA,0
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",0,0,0,36,26,272,2,0,NA,5,0,NA,NA,NA,NA,NA,0
"JAYCUTLER","QB","Jay Cutler","CHI",0,0,0,35,23,271,1,1,NA,17,0,NA,NA,NA,NA,NA,0
"ZACHMETTENBERGER","QB","Zach Mettenberger","TEN",0,0,0,37,23,262,1,1,NA,2,0,NA,NA,NA,NA,NA,0
"MARKSANCHEZ","QB","Mark Sanchez","PHI",0,0,0,38,25,257,2,1,NA,4,0,NA,NA,NA,NA,NA,0
"MICHAELVICK","QB","Michael Vick","NYJ",0,0,0,35,21,256,1,1,NA,43,0,NA,NA,NA,NA,NA,0
"JOEFLACCO","QB","Joe Flacco","BAL",0,0,0,34,22,256,1,0,NA,5,0,NA,NA,NA,NA,NA,0
"KYLEORTON","QB","Kyle Orton","BUF",0,0,0,33,21,251,1,0,NA,6,0,NA,NA,NA,NA,NA,0
"AUSTINDAVIS","QB","Austin Davis","STL",0,0,0,35,20,251,1,1,NA,8,0,NA,NA,NA,NA,NA,0
"ANDYDALTON","QB","Andy Dalton","CIN",0,0,0,33,21,249,1,1,NA,10,0,NA,NA,NA,NA,NA,0
"JOSHMCCOWN","QB","Josh McCown","TB",0,0,0,36,21,247,1,0,NA,10,0,NA,NA,NA,NA,NA,0
"CAMNEWTON","QB","Cam Newton","CAR",0,0,0,33,20,246,1,0,NA,33,0,NA,NA,NA,NA,NA,0
"COLINKAEPERNICK","QB","Colin Kaepernick","SF",0,0,0,34,22,245,1,0,NA,41,0,NA,NA,NA,NA,NA,0
"TONYROMO","QB","Tony Romo","DAL",0,0,0,32,21,243,1,0,NA,3,0,NA,NA,NA,NA,NA,0
"RYANTANNEHILL","QB","Ryan Tannehill","MIA",0,0,0,37,23,241,1,1,NA,19,0,NA,NA,NA,NA,NA,0
"BRIANHOYER","QB","Brian Hoyer","CLE",0,0,0,36,21,240,1,1,NA,3,0,NA,NA,NA,NA,NA,0
"ELIMANNING","QB","Eli Manning","NYG",0,0,0,39,24,238,1,0,NA,2,0,NA,NA,NA,NA,NA,0
"BLAKEBORTLES","QB","Blake Bortles","JAC",0,0,0,37,22,234,1,1,NA,25,0,NA,NA,NA,NA,NA,0
"CARSONPALMER","QB","Carson Palmer","ARI",0,0,0,33,21,233,1,0,NA,1,0,NA,NA,NA,NA,NA,0
