"name","pos","name_ffn","team_ffn","positionRank_ffn","overallRank_ffn","pts_ffn","passAtt_ffn","passComp_ffn","passYds_ffn","passTds_ffn","passInt_ffn","rushAtt_ffn","rushYds_ffn","rushTds_ffn","rec_ffn","recYds_ffn","recTds_ffn","returnTds_ffn","twoPts_ffn","fumbles_ffn"
"DREWSTANTON","QB","Drew Stanton","ARI",0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"MICHAELVICK","QB","Michael Vick","NYJ",0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"CARSONPALMER","QB","Carson Palmer","ARI",0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"REXGROSSMAN","QB","Rex Grossman","WAS",0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"TARVARISJACKSON","QB","Tarvaris Jackson","SEA",0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"BRUCEGRADKOWSKI","QB","Bruce Gradkowski","PIT",0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"DAVIDGARRARD","QB","David Garrard","NYJ",0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"JORDANPALMER","QB","Jordan Palmer","CHI",0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"ARIANFOSTER","RB","Arian Foster","HOU",0,0,0,NA,NA,NA,NA,NA,23,109,1,3,18,0,NA,NA,0
"JEREMYHILL","RB","Jeremy Hill","CIN",0,0,0,NA,NA,NA,NA,NA,17,104,1,2,13,0,NA,NA,0
"LEVEONBELL","RB","LeVeon Bell","PIT",0,0,0,NA,NA,NA,NA,NA,22,102,1,5,39,0,NA,NA,0
"CJANDERSON","RB","C.J. Anderson","DEN",0,0,0,NA,NA,NA,NA,NA,21,92,1,3,24,0,NA,NA,0
"MARSHAWNLYNCH","RB","Marshawn Lynch","SEA",0,0,0,NA,NA,NA,NA,NA,20,91,1,3,17,0,NA,NA,0
"ALFREDMORRIS","RB","Alfred Morris","WAS",0,0,0,NA,NA,NA,NA,NA,18,87,1,1,3,0,NA,NA,0
"JONATHANSTEWART","RB","Jonathan Stewart","CAR",0,0,0,NA,NA,NA,NA,NA,19,86,1,2,9,0,NA,NA,0
"JAMAALCHARLES","RB","Jamaal Charles","KC",0,0,0,NA,NA,NA,NA,NA,17,83,1,3,21,0,NA,NA,0
"LESEANMCCOY","RB","LeSean McCoy","PHI",0,0,0,NA,NA,NA,NA,NA,18,81,1,2,15,0,NA,NA,0
"EDDIELACY","RB","Eddie Lacy","GB",0,0,0,NA,NA,NA,NA,NA,20,76,1,3,16,0,NA,NA,0
