displayName,defSack,defInt,defFF,defFR,defTD,defRetTD,defSafety,defPA,defYdsAllowed
New England Patriots,4.1,1.2,0.7,0.7,0.2,0.1,0.0,13.9,274.9
Seattle Seahawks,2.8,1.2,0.9,0.9,0.3,0.1,0.1,14.7,285.0
Houston Texans,3.3,1.3,1.0,1.0,0.1,0.1,0.0,15.2,261.6
Cleveland Browns,2.0,1.1,0.6,0.6,0.2,0.1,0.0,15.5,323.0
Arizona Cardinals,3.3,0.7,0.6,0.6,0.2,0.1,0.0,16.6,368.1
Indianapolis Colts,3.2,1.0,0.6,0.6,0.1,0.0,0.1,16.7,256.1
San Francisco 49ers,1.9,0.8,0.5,0.5,0.2,0.0,0.0,18.8,341.5
Buffalo Bills,3.6,0.9,0.8,0.8,0.2,0.1,0.0,19.6,290.1
Denver Broncos,3.4,0.9,0.5,0.5,0.2,0.1,0.0,19.8,299.4
Baltimore Ravens,2.0,0.9,0.5,0.5,0.1,0.1,0.0,20.1,352.0
Philadelphia Eagles,3.3,1.1,0.5,0.5,0.2,0.0,0.0,20.5,416.4
San Diego Chargers,2.8,0.8,0.3,0.3,0.1,0.0,0.0,20.6,355.3
New York Giants,3.4,1.0,0.6,0.6,0.1,0.0,0.0,21.1,321.1
Pittsburgh Steelers,2.9,0.7,0.5,0.5,0.2,0.1,0.0,21.2,349.4
Minnesota Vikings,2.4,1.2,0.3,0.3,0.1,0.1,0.0,21.7,357.6
Oakland Raiders,1.7,0.7,0.4,0.4,0.1,0.0,0.0,21.8,294.0
Miami Dolphins,2.7,0.8,0.7,0.7,0.1,0.1,0.0,21.9,416.9
Green Bay Packers,3.3,0.5,0.5,0.5,0.1,0.0,0.0,21.9,323.3
Kansas City Chiefs,2.6,0.3,0.3,0.3,0.2,0.1,0.0,23.6,408.2
New York Jets,2.6,1.3,0.9,0.9,0.2,0.1,0.0,23.6,362.5
Cincinnati Bengals,1.4,0.9,0.5,0.5,0.2,0.1,0.0,24.3,395.9
Carolina Panthers,2.2,1.0,0.9,0.9,0.2,0.0,0.0,24.5,306.4
Dallas Cowboys,1.5,0.9,0.6,0.6,0.1,0.0,0.0,24.5,400.9
New Orleans Saints,2.5,0.8,0.6,0.6,0.1,0.0,0.0,25.5,464.4
St. Louis Rams,2.5,0.7,1.0,1.0,0.2,0.1,0.0,25.5,443.4
Tampa Bay Buccaneers,1.7,0.8,0.5,0.5,0.2,0.0,0.0,25.8,380.6
Detroit Lions,1.3,0.9,0.3,0.3,0.1,0.1,0.0,26.7,390.3
Washington Redskins,2.3,0.6,0.6,0.6,0.2,0.0,0.0,29.0,420.6
Chicago Bears,2.4,0.5,0.4,0.4,0.2,0.0,0.0,30.5,377.9
Jacksonville Jaguars,1.9,0.4,0.4,0.4,0.1,0.0,0.1,32.7,399.8
Atlanta Falcons,1.5,0.8,0.7,0.7,0.1,0.0,0.0,32.8,406.8
Tennessee Titans,2.0,0.8,0.4,0.4,0.2,0.0,0.0,34.0,389.7
