"name","pos","name_espn","team_espn","positionRank_espn","overallRank_espn","pts_espn","passAtt_espn","passComp_espn","passYds_espn","passTds_espn","passInt_espn","rushAtt_espn","rushYds_espn","rushTds_espn","rec_espn","recYds_espn","recTds_espn","returnTds_espn","twoPts_espn","fumbles_espn"
"AARONRODGERS","QB","Aaron Rodgers","GB",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"ADRIANPETERSON","RB","Adrian Peterson","MIN",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"AHMADBRADSHAW","RB","Ahmad Bradshaw","IND",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"ALEXSMITH","TE","Alex Smith","CIN",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"ALEXSMITH","QB","Alex Smith","KC",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"ANDREJOHNSON","WR","Andre Johnson","HOU",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"ANQUANBOLDIN","WR","Anquan Boldin","SF",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"ANTONIOGATES","TE","Antonio Gates","SD",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"BENHARTSOCK","TE","Ben Hartsock","CAR",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"BENJAMINWATSON","TE","Benjamin Watson","NO",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"BENJARVUSGREENELLIS","RB","BenJarvus Green-Ellis","CIN",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"BENOBOMANU","WR","Ben Obomanu","NYJ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"BILLYBAJEMA","TE","Billy Bajema","BAL",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"BRADSMITH","WR","Brad Smith","PHI",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"BRANDONJACOBS","RB","Brandon Jacobs","NYG",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"BRANDONLLOYD","WR","Brandon Lloyd","SF",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"BRANDONMARSHALL","WR","Brandon Marshall","CHI",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"BRANDONSTOKLEY","WR","Brandon Stokley","BAL",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"BRIANLEONARD","RB","Brian Leonard","NO",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"CALVINJOHNSON","WR","Calvin Johnson","DET",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"CARSONPALMER","QB","Carson Palmer","ARI",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"CHRISJOHNSON","RB","Chris Johnson","NYJ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"COURTNEYROBY","WR","Courtney Roby","ATL",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"DALLASCLARK","TE","Dallas Clark","BAL",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"DARRENMCFADDEN","RB","Darren McFadden","OAK",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"DARRENSPROLES","RB","Darren Sproles","PHI",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"DAVIDGARRARD","QB","David Garrard","NYJ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"DEANGELOWILLIAMS","RB","DeAngelo Williams","CAR",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"DEREKHAGAN","WR","Derek Hagan","TEN",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"DEVINHESTER","WR","Devin Hester","ATL",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"DOMENIKHIXON","WR","Domenik Hixon","CAR",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"DONNIEAVERY","WR","Donnie Avery","KC",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"DREWBREES","QB","Drew Brees","NO",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"DWAYNEBOWE","WR","Dwayne Bowe","KC",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"ELIMANNING","QB","Eli Manning","NYG",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"ERICWEEMS","WR","Eric Weems","ATL",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"FELIXJONES","RB","Felix Jones","PIT",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"FRANKGORE","RB","Frank Gore","SF",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"FREDJACKSON","RB","Fred Jackson","BUF",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"GREGJENNINGS","WR","Greg Jennings","MIN",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"GREGJONES","RB","Greg Jones","NO",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"HEATHMILLER","TE","Heath Miller","PIT",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"JACKIEBATTLE","RB","Jackie Battle","TEN",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"JACOBYJONES","WR","Jacoby Jones","BAL",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"JALENPARMELE","RB","Jalen Parmele","ARI",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"JAMAALCHARLES","RB","Jamaal Charles","KC",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"JAMESJONES","WR","James Jones","OAK",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"JASONAVANT","WR","Jason Avant","KC",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"JASONSNELLING","RB","Jason Snelling","ATL",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"JASONWITTEN","TE","Jason Witten","DAL",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"JEDCOLLINS","RB","Jed Collins","DET",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"JEROMEFELTON","RB","Jerome Felton","MIN",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"JERRICHOCOTCHERY","WR","Jerricho Cotchery","CAR",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"JOELDREESSEN","TE","Joel Dreessen","DEN",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"JOHNKUHN","RB","John Kuhn","GB",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"JONATHANSTEWART","RB","Jonathan Stewart","CAR",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"JONKITNA","QB","Jon Kitna","DAL",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"JOSHMCCOWN","QB","Josh McCown","TB",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"JOSHUACRIBBS","WR","Joshua Cribbs","IND",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"JUSTINFORSETT","RB","Justin Forsett","BAL",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"KASSIMOSGOOD","WR","Kassim Osgood","SF",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"KELLENWINSLOW","TE","Kellen Winslow","NYJ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"KEVINWALTER","WR","Kevin Walter","TEN",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"LANCEMOORE","WR","Lance Moore","PIT",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"LARRYFITZGERALD","WR","Larry Fitzgerald","ARI",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"LEONWASHINGTON","RB","Leon Washington","TEN",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"LERONMCCLAIN","RB","Le'Ron McClain","SD",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"LEXHILLIARD","RB","Lex Hilliard","NYJ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"LUKEMCCOWN","QB","Luke McCown","NO",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"MALCOMFLOYD","WR","Malcom Floyd","SD",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"MARCELREECE","RB","Marcel Reece","OAK",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"MARQUESCOLSTON","WR","Marques Colston","NO",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"MARSHAWNLYNCH","RB","Marshawn Lynch","SEA",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"MATTFORTE","RB","Matt Forte","CHI",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"MATTHASSELBECK","QB","Matt Hasselbeck","IND",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"MATTSCHAUB","QB","Matt Schaub","OAK",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"MAURICEJONESDREW","RB","Maurice Jones-Drew","OAK",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"MICHAELBUSH","RB","Michael Bush","ARI",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"MICHAELROBINSON","RB","Michael Robinson","SEA",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"MICHAELVICK","QB","Michael Vick","NYJ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"MICHEALSPURLOCK","WR","Micheal Spurlock","CHI",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"MIKETOLBERT","RB","Mike Tolbert","CAR",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"MILESAUSTIN","WR","Miles Austin","CLE",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"MONTELLOWENS","RB","Montell Owens","CHI",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"NATEBURLESON","WR","Nate Burleson","CLE",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"NATEWASHINGTON","WR","Nate Washington","TEN",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"PEYTONHILLIS","RB","Peyton Hillis","NYG",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"PEYTONMANNING","QB","Peyton Manning","DEN",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"PHILIPRIVERS","QB","Philip Rivers","SD",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"PIERRETHOMAS","RB","Pierre Thomas","NO",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"PLAXICOBURRESS","WR","Plaxico Burress","PIT",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"RASHARDMENDENHALL","RB","Rashard Mendenhall","ARI",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"REGGIEBUSH","RB","Reggie Bush","DET",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"REGGIEWAYNE","WR","Reggie Wayne","IND",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"REXGROSSMAN","QB","Rex Grossman","CLE",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"ROBERTMEACHEM","WR","Robert Meachem","NO",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"RODDYWHITE","WR","Roddy White","ATL",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"RONNIEBROWN","RB","Ronnie Brown","SD",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"SANTANAMOSS","WR","Santana Moss","WAS",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"SANTONIOHOLMES","WR","Santonio Holmes","CHI",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"SENECAWALLACE","QB","Seneca Wallace","GB",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"SHAUNHILL","QB","Shaun Hill","STL",1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
