"name","pos","name_nfl","team_nfl","positionRank_nfl","overallRank_nfl","pts_nfl","passAtt_nfl","passComp_nfl","passYds_nfl","passTds_nfl","passInt_nfl","rushAtt_nfl","rushYds_nfl","rushTds_nfl","rec_nfl","recYds_nfl","recTds_nfl","returnTds_nfl","twoPts_nfl","fumbles_nfl"
"CAMNEWTON","QB","Cam Newton","CAR",1,1,23.94,NA,NA,216,2,1,NA,33,1,NA,0,0,NA,0,0
"DREWBREES","QB","Drew Brees","NO",2,2,22.94,NA,NA,316,3,1,NA,3,0,NA,0,0,NA,0,0
"DANNYWOODHEAD","RB","Danny Woodhead","SD",1,3,21.4,NA,NA,0,0,0,NA,47,1,NA,47,1,NA,0,0
"TOMBRADY","QB","Tom Brady","NE",3,4,20.32,NA,NA,303,2,0,NA,2,0,NA,0,0,NA,0,0
"LEVEONBELL","RB","Le'Veon Bell","PIT",2,5,19.8,NA,NA,0,0,0,NA,92,1,NA,46,0,NA,0,0
"MATTRYAN","QB","Matt Ryan","ATL",4,6,19.24,NA,NA,311,2,1,NA,8,0,NA,0,0,NA,0,0
"DEVONTAFREEMAN","RB","Devonta Freeman","ATL",3,7,19.2,NA,NA,0,0,0,NA,95,1,NA,37,0,NA,0,0
"ANDREWLUCK","QB","Andrew Luck","IND",5,8,19.08,NA,NA,287,2,1,NA,16,0,NA,0,0,NA,0,0
"CARSONPALMER","QB","Carson Palmer","ARI",6,9,18.54,NA,NA,306,2,1,NA,3,0,NA,0,0,NA,0,0
"RUSSELLWILSON","QB","Russell Wilson","SEA",7,10,18.26,NA,NA,209,2,1,NA,39,0,NA,0,0,NA,0,0
"PHILIPRIVERS","QB","Philip Rivers","SD",8,11,17.72,NA,NA,288,2,1,NA,2,0,NA,0,0,NA,0,0
"RYANTANNEHILL","QB","Ryan Tannehill","MIA",9,12,17.56,NA,NA,244,2,1,NA,18,0,NA,0,0,NA,0,0
"ODELLBECKHAM","WR","Odell Beckham","NYG",1,13,17.5,NA,NA,0,0,0,NA,5,0,NA,110,1,NA,0,0
"MATTCASSEL","QB","Matt Cassel","DAL",10,14,17.36,NA,NA,269,2,1,NA,6,0,NA,0,0,NA,0,0
"JOEFLACCO","QB","Joe Flacco","BAL",11,15,17.3,NA,NA,270,2,1,NA,5,0,NA,0,0,NA,0,0
"NICKFOLES","QB","Nick Foles","STL",12,16,17.26,NA,NA,274,2,1,NA,3,0,NA,0,0,NA,0,0
"JULIOJONES","WR","Julio Jones","ATL",2,17,17,NA,NA,0,0,0,NA,1,0,NA,109,1,NA,0,0
"BLAKEBORTLES","QB","Blake Bortles","JAC",13,18,16.98,NA,NA,217,2,1,NA,23,0,NA,0,0,NA,0,0
"JOSHMCCOWN","QB","Josh McCown","CLE",14,19,16.86,NA,NA,239,2,1,NA,13,0,NA,0,0,NA,0,0
"ALEXSMITH","QB","Alex Smith","KC F",15,20,16.32,NA,NA,223,2,1,NA,14,0,NA,0,0,NA,0,0
"MARCUSMARIOTA","QB","Marcus Mariota","TEN",16,21,16.28,NA,NA,237,2,2,NA,28,0,NA,0,0,NA,0,0
"SAMBRADFORD","QB","Sam Bradford","PHI",17,22,16.14,NA,NA,246,2,1,NA,3,0,NA,0,0,NA,0,0
"ELIMANNING","QB","Eli Manning","NYG",18,23,16.1,NA,NA,250,2,1,NA,1,0,NA,0,0,NA,0,0
"LANDRYJONES","QB","Landry Jones","PIT",19,24,16.08,NA,NA,237,2,1,NA,6,0,NA,0,0,NA,0,0
"TEDDYBRIDGEWATER","QB","Teddy Bridgewater","MIN",20,25,16.02,NA,NA,213,2,1,NA,15,0,NA,0,0,NA,0,0
