displayName,team,rushAtt,rushYds,rushTD,receptions,recYds,recTD,fumblesLost
Adrian Peterson,MIN,21.5,100.6,0.7,2.0,13.8,0.0,0.2
LeSean McCoy,BUF,17.0,85.2,0.5,3.1,24.3,0.1,0.2
Chris Ivory,NYJ,16.6,78.6,0.6,1.3,8.4,0.0,0.2
David Johnson,ARI,16.9,76.9,0.5,3.1,26.6,0.1,0.2
Doug Martin,TB,18.5,76.3,0.4,1.5,10.3,0.0,0.2
Eddie Lacy,GB,14.5,72.3,0.5,1.4,11.6,0.0,0.2
Todd Gurley,STL,17.3,72.2,0.6,1.4,10.8,0.0,0.1
Lamar Miller,MIA,14.8,71.4,0.5,2.4,17.5,0.0,0.1
Jeremy Hill,CIN,15.9,66.0,0.5,1.2,8.3,0.0,0.1
Latavius Murray,OAK,16.1,64.0,0.4,2.1,13.6,0.0,0.1
Frank Gore,IND,15.3,63.9,0.3,2.1,14.2,0.0,0.2
DeAngelo Williams,PIT,18.5,61.9,0.5,3.1,24.0,0.0,0.2
Denard Robinson,JAC,14.3,61.5,0.4,2.4,17.5,0.0,0.1
Matt Forte,CHI,14.3,60.2,0.4,2.5,20.0,0.0,0.2
Tim Hightower,NO,15.7,60.1,0.7,2.0,15.8,0.1,0.1
Devonta Freeman,ATL,16.5,59.8,0.4,4.3,34.2,0.1,0.1
Darren McFadden,DAL,15.6,58.7,0.3,2.2,16.0,0.0,0.2
Charcandrick West,KC,14.6,58.6,0.6,2.5,20.9,0.1,0.1
Melvin Gordon,SD,15.0,58.5,0.2,1.5,9.7,0.0,0.2
Matt Jones,WAS,12.1,51.5,0.3,2.1,16.0,0.0,0.3
Brandon Bolden,NE,13.3,50.4,0.5,1.4,11.6,0.1,0.1
Bryce Brown,SEA,11.9,48.9,0.3,1.2,9.7,0.0,0.1
Shaun Draughn,SF,12.6,48.7,0.2,3.4,23.7,0.1,0.1
Javorius Allen,BAL,13.6,46.7,0.2,4.2,34.1,0.1,0.1
Ameer Abdullah,DET,10.9,46.2,0.1,1.3,11.0,0.0,0.1
Ronnie Hillman,DEN,11.2,42.0,0.3,1.9,12.4,0.0,0.1
Jeremy Langford,CHI,9.4,41.4,0.3,2.7,22.0,0.0,0.1
Fozzy Whittaker,CAR,10.9,41.1,0.2,1.9,12.7,0.0,0.1
Antonio Andrews,TEN,10.7,40.9,0.2,1.5,12.4,0.0,0.1
Alfred Morris,WAS,9.4,38.1,0.2,0.3,2.2,0.0,0.1
Ryan Mathews,PHI,9.2,36.4,0.3,1.9,15.2,0.0,0.2
DuJuan Harris,SEA,7.3,36.0,0.3,0.6,2.7,0.0,0.1
Chris Polk,HOU,9.0,35.8,0.2,1.1,7.8,0.0,0.1
Rashad Jennings,NYG,9.1,35.8,0.1,1.9,13.3,0.0,0.1
Giovani Bernard,CIN,8.7,35.5,0.2,3.1,27.2,0.1,0.1
Isaiah Crowell,CLE,10.9,34.2,0.2,1.7,12.3,0.0,0.1
DeMarco Murray,PHI,8.9,32.7,0.2,1.5,10.4,0.0,0.2
C.J. Anderson,DEN,9.1,32.5,0.2,1.3,9.9,0.0,0.1
James Starks,GB,7.9,31.6,0.2,3.5,28.5,0.2,0.1
Fred Jackson,SEA,6.4,28.5,0.2,2.0,16.0,0.0,0.1
Jonathan Grimes,HOU,7.0,28.2,0.2,1.9,13.9,0.0,0.1
Cameron Artis-Payne,CAR,5.9,27.3,0.2,0.8,5.7,0.0,0.1
Darren Sproles,PHI,7.4,27.1,0.2,3.8,30.9,0.1,0.1
Joique Bell,DET,6.7,26.6,0.3,1.7,14.0,0.0,0.1
Spencer Ware,KC,5.8,25.9,0.3,0.5,2.9,0.0,0.1
Karlos Williams,BUF,5.4,25.3,0.3,0.9,7.9,0.0,0.1
Christine Michael,SEA,4.6,24.1,0.2,0.2,1.5,0.0,0.1
Duke Johnson,CLE,6.4,24.1,0.1,3.7,30.2,0.1,0.1
Charles Sims,TB,6.5,22.8,0.0,3.0,26.1,0.1,0.2
Mike Tolbert,CAR,5.0,22.8,0.2,1.8,14.1,0.1,0.0
Bilal Powell,NYJ,5.3,21.6,0.1,3.3,23.7,0.1,0.1
James White,NE,5.8,19.6,0.2,3.2,25.6,0.2,0.1
Jay Ajayi,MIA,4.9,18.8,0.2,0.3,2.7,0.0,0.1
Terrance West,BAL,5.8,18.7,0.1,0.2,1.3,0.0,0.2
Danny Woodhead,SD,4.9,18.5,0.1,4.1,35.7,0.2,0.1
Andre Ellington,ARI,5.3,18.0,0.1,1.6,13.3,0.0,0.1
Alfred Blue,HOU,6.0,17.7,0.2,0.3,2.3,0.0,0.1
David Cobb,TEN,5.6,16.8,0.1,0.4,2.2,0.0,0.1
Robert Turbin,DAL,5.4,15.1,0.2,0.4,2.6,0.0,0.1
Dan Herron,IND,3.9,14.8,0.1,1.5,11.1,0.0,0.1
Orleans Darkwa,NYG,4.0,14.4,0.1,0.8,5.9,0.0,0.1
Tevin Coleman,ATL,4.6,14.3,0.1,0.3,1.9,0.0,0.2
C.J. Spiller,NO,4.3,13.2,0.0,2.8,20.8,0.1,0.1
Kerwynn Williams,ARI,3.1,13.0,0.1,0.2,1.2,0.0,0.0
Jerick McKinnon,MIN,2.6,11.9,0.1,1.0,6.0,0.0,0.1
