displayName,team,receptions,recYds,recTD,rushAtt,rushYds,rushTD,fumblesLost
Justin Perillo,GB,0.5,4.4,0.1,0.0,0.0,0.0,0.0
Levine Toilolo,ATL,0.7,4.2,0.0,0.0,0.0,0.0,0.0
Jack Doyle,IND,0.5,3.1,0.0,0.0,0.0,0.0,0.0
Charles Clay,BUF,0.3,2.9,0.0,0.0,0.0,0.0,0.0
Jerome Cunningham,NYG,0.4,2.9,0.0,0.0,0.0,0.0,0.0
Nick OLeary,BUF,0.3,2.8,0.1,0.0,0.0,0.0,0.0
Matt Spaeth,PIT,0.3,2.5,0.0,0.0,0.0,0.0,0.0
Cory Harkey,STL,0.3,2.4,0.0,0.0,0.0,0.0,0.0
James Hanna,DAL,0.2,2.3,0.0,0.0,0.0,0.0,0.0
Luke Stocker,TB,0.2,2.0,0.0,0.0,0.0,0.0,0.0
Crockett Gillmore,BAL,0.2,1.8,0.0,0.0,0.0,0.0,0.0
Phillip Supernaw,TEN,0.2,1.7,0.0,0.0,0.0,0.0,0.0
C.J. Uzomah,CIN,0.2,1.7,0.0,0.0,0.0,0.0,0.0
Khari Lee,CHI,0.3,1.4,0.0,0.0,0.0,0.0,0.0
Brian Parker,KC,0.1,0.7,0.0,0.0,0.0,0.0,0.0
Jake Stoneburner,MIA,0.1,0.5,0.0,0.0,0.0,0.0,0.0
Geoff Swaim,DAL,0.1,0.4,0.0,0.0,0.0,0.0,0.0
Randall Telfer,CLE,0.0,0.4,0.0,0.0,0.0,0.0,0.0
Nic Jacobs,JAC,0.1,0.4,0.0,0.0,0.0,0.0,0.0
Emmanuel Bibbs,CLE,0.1,0.4,0.0,0.0,0.0,0.0,0.0
Rob Housler,CHI,0.0,0.3,0.0,0.0,0.0,0.0,0.0
Derek Carrier,WAS,0.0,0.3,0.0,0.0,0.0,0.0,0.0
David Johnson,SD,0.0,0.1,0.0,0.3,0.8,0.0,0.0
Trey Burton,PHI,0.0,0.1,0.0,0.0,0.0,0.0,0.0
Daniel Fells,NYG,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fred Davis,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabe Holmes,OAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kennard Backman,GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Smith,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Casey,DEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chase Coffman,SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asante Cleveland,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matthew Mulligan,BUF,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony McCoy,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyle Miller,SD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sean McGrath,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mitchell Henry,DEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
