displayName,team,passCmp,passAtt,passYds,passTD,passInt,rushYds,rushTD,fumblesLost
Drew Brees,NO,26.1,38.9,305.4,2.1,0.9,2.3,0.1,0.2
Carson Palmer,ARI,23.6,37.3,302.3,2.3,0.9,1.6,0.1,0.2
Tom Brady,NE,25.1,39.1,293.5,2.7,0.6,3.6,0.1,0.2
Philip Rivers,SD,25.4,38.7,293.5,2.0,1.0,1.9,0.0,0.2
Matthew Stafford,DET,25.2,39.3,289.4,2.1,0.9,8.3,0.1,0.3
Matt Ryan,ATL,24.9,38.2,279.9,1.6,0.9,3.2,0.0,0.3
Ben Roethlisberger,PIT,22.4,35.7,274.6,1.7,0.9,5.4,0.1,0.2
Derek Carr,OAK,22.9,38.3,270.2,2.0,0.9,4.2,0.0,0.2
Blake Bortles,JAC,23.6,39.6,270.0,2.0,1.1,17.9,0.1,0.2
Eli Manning,NYG,23.3,37.8,266.4,1.6,1.2,2.5,0.0,0.3
Brock Osweiler,DEN,22.5,37.3,257.5,1.2,1.2,6.6,0.1,0.2
Aaron Rodgers,GB,21.6,34.5,255.8,2.0,0.5,21.4,0.1,0.2
Ryan Fitzpatrick,NYJ,22.3,36.8,250.0,1.7,0.9,17.5,0.1,0.2
Kirk Cousins,WAS,21.6,34.8,249.1,1.4,1.1,7.0,0.1,0.3
Ryan Tannehill,MIA,22.8,36.4,248.8,1.5,0.9,11.1,0.1,0.2
Cam Newton,CAR,19.9,32.7,247.8,1.9,0.7,34.3,0.4,0.2
Russell Wilson,SEA,19.0,30.3,241.1,2.1,0.6,31.8,0.2,0.2
T.J. Yates,HOU,20.3,36.3,241.0,1.6,1.0,5.0,0.0,0.3
AJ McCarron,CIN,20.5,32.2,238.2,1.3,1.0,8.9,0.1,0.1
Jay Cutler,CHI,20.9,33.5,238.1,1.4,0.9,11.7,0.1,0.3
Sam Bradford,PHI,20.6,35.2,236.8,1.4,1.1,3.4,0.0,0.2
Marcus Mariota,TEN,19.8,33.9,236.5,1.3,1.2,17.4,0.1,0.3
Matt Hasselbeck,IND,21.1,35.3,235.0,1.3,1.1,5.0,0.0,0.2
Johnny Manziel,CLE,21.1,36.6,230.0,1.1,1.2,20.3,0.1,0.4
Tyrod Taylor,BUF,19.3,32.1,227.4,1.6,0.7,29.4,0.2,0.2
Jameis Winston,TB,19.5,32.6,227.0,1.2,0.9,14.6,0.2,0.3
Alex Smith,KC,19.4,30.9,217.9,1.5,0.4,22.8,0.1,0.2
Blaine Gabbert,SF,19.0,33.0,211.1,1.1,1.2,18.6,0.1,0.2
Teddy Bridgewater,MIN,18.4,29.9,208.1,1.1,0.8,15.1,0.1,0.2
