"name","pos","name_fox","team_fox","positionRank_fox","overallRank_fox","pts_fox","passAtt_fox","passComp_fox","passYds_fox","passTds_fox","passInt_fox","rushAtt_fox","rushYds_fox","rushTds_fox","rec_fox","recYds_fox","recTds_fox","returnTds_fox","twoPts_fox","fumbles_fox"
"CHARLESCLAY","TE","Charles Clay","MIA",18,152,5.2,NA,NA,NA,NA,NA,0,0,0,3.6,39.7,0.2,NA,0,0
"DONTEMONCRIEF","WR","Donte Moncrief","IND",68,154,5.1,NA,NA,NA,NA,NA,0,0,0,2.7,34.3,0.3,NA,0,0
"ALFREDBLUE","RB","Alfred Blue","HOU",39,155,5,NA,NA,NA,NA,NA,6.7,28.9,0.3,0.8,4.2,0,NA,0,0.1
"MATTASIATA","RB","Matt Asiata","MIN",39,155,5,NA,NA,NA,NA,NA,7.4,28.3,0.2,1.1,7.3,0.1,NA,0,0.1
"RILEYCOOPER","WR","Riley Cooper","PHI",69,155,5,NA,NA,NA,NA,NA,0,0,0,2.7,32.9,0.3,NA,0,0
"HARRYDOUGLAS","WR","Harry Douglas","ATL",69,155,5,NA,NA,NA,NA,NA,0,0,0,3.2,38.5,0.2,NA,0,0
"LOUISMURPHY","WR","Louis Murphy Jr.","TB",69,155,5,NA,NA,NA,NA,NA,0,0,0,2.6,34,0.3,NA,0,0
"SHANEVEREEN","RB","Shane Vereen","NE",41,160,4.9,NA,NA,NA,NA,NA,5.6,19.7,0.2,1.3,11.5,0.1,NA,0,0.1
"AJJENKINS","WR","A.J. Jenkins","KC",72,160,4.9,NA,NA,NA,NA,NA,0,0,0,2.4,33.2,0.3,NA,0,0
"ZACHERTZ","TE","Zach Ertz","PHI",19,162,4.8,NA,NA,NA,NA,NA,0,0,0,2.8,34.1,0.2,NA,0,0
"REGGIEBUSH","RB","Reggie Bush","DET",42,163,4.7,NA,NA,NA,NA,NA,5.5,20.7,0.2,1.4,13.5,0.1,NA,0,0.1
"BOOBIEDIXON","RB","Boobie Dixon","BUF",42,163,4.7,NA,NA,NA,NA,NA,9.3,29.9,0.2,0.7,4.2,0,NA,0,0.2
"ANDREROBERTS","WR","Andre Roberts","WAS",73,163,4.7,NA,NA,NA,NA,NA,0,0,0,3.1,35.2,0.2,NA,0,0
"CHARLESJOHNSON","WR","Charles Johnson","MIN",74,166,4.5,NA,NA,NA,NA,NA,0,0,0,2.7,32.4,0.2,NA,0,0.1
"MARQISELEE","WR","Marqise Lee","JAC",74,166,4.5,NA,NA,NA,NA,NA,0,0,0,3,34.4,0.2,NA,0,0
"JUSTINHUNTER","WR","Justin Hunter","TEN",74,166,4.5,NA,NA,NA,NA,NA,0,0,0,2.7,37,0.1,NA,0,0.1
"DWAYNEALLEN","TE","Dwayne Allen","IND",20,166,4.5,NA,NA,NA,NA,NA,0,0,0,2.9,32.5,0.2,NA,0,0
"COBYFLEENER","TE","Coby Fleener","IND",20,166,4.5,NA,NA,NA,NA,NA,0,0,0,2.3,27.4,0.3,NA,0,0
"MYCHALRIVERA","TE","Mychal Rivera","OAK",20,166,4.5,NA,NA,NA,NA,NA,0,0,0,3.3,34.6,0.2,NA,0,0
"ROBERTMEACHEM","WR","Robert Meachem","NO",77,172,4.4,NA,NA,NA,NA,NA,0,0,0,2.1,33,0.2,NA,0,0
"CHRISGIVENS","WR","Chris Givens","STL",77,172,4.4,NA,NA,NA,NA,NA,0,0,0,2.5,33.1,0.2,NA,0,0.1
"MARQUESSWILSON","WR","Marquess Wilson","CHI",79,174,4.3,NA,NA,NA,NA,NA,0,0,0,2.3,29,0.2,NA,0,0
"BRIANHARTLINE","WR","Brian Hartline","MIA",79,174,4.3,NA,NA,NA,NA,NA,0,0,0,2.5,30.8,0.2,NA,0,0.1
"LEVINETOILOLO","TE","Levine Toilolo","ATL",23,174,4.3,NA,NA,NA,NA,NA,0,0,0,3.1,33.9,0.2,NA,0,0.1
"JOHNCARLSON","TE","John Carlson","ARI",23,174,4.3,NA,NA,NA,NA,NA,0,0,0,2.9,32.3,0.2,NA,0,0
"JUWANTHOMPSON","RB","Juwan Thompson","DEN",44,178,4.2,NA,NA,NA,NA,NA,5.9,22.2,0.2,1.1,8,0,NA,0,0.2
"DANNYAMENDOLA","WR","Danny Amendola","NE",81,178,4.2,NA,NA,NA,NA,NA,0,0,0,2.1,33.2,0.2,NA,0,0
"BENJAMINWATSON","TE","Benjamin Watson","NO",25,178,4.2,NA,NA,NA,NA,NA,0,0,0,2.6,27.7,0.2,NA,0,0.1
"KYLERUDOLPH","TE","Kyle Rudolph","MIN",25,178,4.2,NA,NA,NA,NA,NA,0,0,0,2.9,32.4,0.2,NA,0,0.1
"DEXTERMCCLUSTER","RB","Dexter McCluster","TEN - R",45,182,4.1,NA,NA,NA,NA,NA,4.7,19.9,0.2,0.9,7,0.1,NA,0,0.1
