"name","pos","name_fox","team_fox","positionRank_fox","overallRank_fox","pts_fox","passAtt_fox","passComp_fox","passYds_fox","passTds_fox","passInt_fox","rushAtt_fox","rushYds_fox","rushTds_fox","rec_fox","recYds_fox","recTds_fox","returnTds_fox","twoPts_fox","fumbles_fox"
"THEORIDDICK","RB","Theo Riddick","DET",78,283,0.5,NA,NA,NA,NA,NA,0.6,2,0,0.1,1,0,NA,0,0
"JOHNKUHN","RB","John Kuhn","GB",78,283,0.5,NA,NA,NA,NA,NA,0.2,0.3,0,0.8,3.7,0,NA,0,0
"KAPRIBIBBS","RB","Kapri Bibbs","DEN",78,283,0.5,NA,NA,NA,NA,NA,0.8,2.3,0,0,0.2,0,NA,0,0
"JEFFMAEHL","WR","Jeff Maehl","PHI",126,283,0.5,NA,NA,NA,NA,NA,0,0,0,0.2,2.5,0,NA,0,0
"NICKTOON","WR","Nick Toon","NO",126,283,0.5,NA,NA,NA,NA,NA,0,0,0,0.1,2.9,0,NA,0,0
"MATTHEWSLATER","WR","Matthew Slater","NE",126,283,0.5,NA,NA,NA,NA,NA,0,0,0,0.1,2.7,0,NA,0,0
"BILALPOWELL","RB","Bilal Powell","NYJ",81,289,0.4,NA,NA,NA,NA,NA,0.7,2.1,0,0,0.2,0,NA,0,0
"DERRICKJOHNSON","WR","Derrick Johnson","NE",129,289,0.4,NA,NA,NA,NA,NA,0,0,0,0.1,2.2,0,NA,0,0
"ERICWEEMS","WR","Eric Weems","ATL",129,289,0.4,NA,NA,NA,NA,NA,0,0,0,0.3,2.8,0,NA,0,0
"TORRENCEALLEN","WR","Torrence Allen","SD",129,289,0.4,NA,NA,NA,NA,NA,0.1,0.2,0,0.2,2.6,0,NA,0,0
"MIKEBROWN","WR","Mike Brown","JAC",129,289,0.4,NA,NA,NA,NA,NA,0,0,0,0.2,2.5,0,NA,0,0
"TRAVISBENJAMIN","WR","Travis Benjamin","CLE",129,289,0.4,NA,NA,NA,NA,NA,0,0,0,0.2,2.6,0,NA,0,0
"DONTRELLEINMAN","WR","Dontrelle Inman","SD",129,289,0.4,NA,NA,NA,NA,NA,0,0,0,0.2,1.8,0,NA,0,0
"DAMIANWILLIAMS","WR","Damian Williams","STL",129,289,0.4,NA,NA,NA,NA,NA,0,0,0,0.1,2.6,0,NA,0,0
"KEVINOGLETREE","WR","Kevin Ogletree","NYG",129,289,0.4,NA,NA,NA,NA,NA,0,0,0,0.1,2.4,0,NA,0,0
"MARIONGRICE","RB","Marion Grice","ARI",82,298,0.3,NA,NA,NA,NA,NA,0.8,1.6,0,0.1,0.2,0,NA,0,0
"ZACSTACY","RB","Zac Stacy","STL",82,298,0.3,NA,NA,NA,NA,NA,0.4,1.1,0,0.2,0.7,0,NA,0,0
"DUJUANHARRIS","RB","DuJuan Harris","GB",82,298,0.3,NA,NA,NA,NA,NA,0.6,1.8,0,0,0,0,NA,0,0
"JACOBYJONES","WR","Jacoby Jones","BAL",137,298,0.3,NA,NA,NA,NA,NA,0,0,0,0.1,2,0,NA,0,0
"JOSHMORGAN","WR","Josh Morgan","CHI",137,298,0.3,NA,NA,NA,NA,NA,0,0,0,0.2,1.6,0,NA,0,0
"DEVIERPOSEY","WR","DeVier Posey","HOU",137,298,0.3,NA,NA,NA,NA,NA,0,0,0,0.1,2.2,0,NA,0,0
"GRIFFWHALEN","WR","Griff Whalen","IND",137,298,0.3,NA,NA,NA,NA,NA,0,0,0,0.1,1.9,0,NA,0,0
"ALBERTWILSON","WR","Albert Wilson","KC",137,298,0.3,NA,NA,NA,NA,NA,0,0,0,0.1,1.6,0,NA,0,0
"DANESANZENBACHER","WR","Dane Sanzenbacher","CIN",137,298,0.3,NA,NA,NA,NA,NA,0,0,0,0.1,1.4,0,NA,0,0
"LEONWASHINGTON","RB","Leon Washington","TEN",85,307,0.2,NA,NA,NA,NA,NA,0.5,1.2,0,0,0,0,NA,0,0
"REXBURKHEAD","RB","Rex Burkhead","CIN",85,307,0.2,NA,NA,NA,NA,NA,0.4,0.9,0,0.1,0.3,0,NA,0,0
"TONYWASHINGTON","WR","Tony Washington","JAC",143,307,0.2,NA,NA,NA,NA,NA,0,0.1,0,0.1,1,0,NA,0,0
"KEVINNORWOOD","WR","Kevin Norwood","SEA",143,307,0.2,NA,NA,NA,NA,NA,0,0,0,0.1,1.4,0,NA,0,0
"JAZREYNOLDS","WR","Jaz Reynolds","TEN",143,307,0.2,NA,NA,NA,NA,NA,0,0.3,0,0,0.9,0,NA,0,0
"JAMAINESHERMAN","WR","Jamaine Sherman","STL",143,307,0.2,NA,NA,NA,NA,NA,0,0.2,0,0.1,1.3,0,NA,0,0
"SANTANAMOSS","WR","Santana Moss","WAS",143,307,0.2,NA,NA,NA,NA,NA,0,0,0,0.1,1.4,0,NA,0,0
"TOBAISPALMER","WR","Tobais Palmer","NO",143,307,0.2,NA,NA,NA,NA,NA,0,0,0,0.1,1.2,0,NA,0,0
"JEFFJANIS","WR","Jeff Janis","GB",143,307,0.2,NA,NA,NA,NA,NA,0,0,0,0.1,0.9,0,NA,0,0
"BRADSMITH","WR","Brad Smith","PHI",143,307,0.2,NA,NA,NA,NA,NA,0,0,0,0,0.9,0,NA,0,0
"SENORISEPERRY","RB","Senorise Perry","CHI",87,317,0.1,NA,NA,NA,NA,NA,0.3,0.8,0,0,0,0,NA,0,0
"LANCEDUNBAR","RB","Lance Dunbar","DAL",87,317,0.1,NA,NA,NA,NA,NA,0.2,0.7,0,0,0,0,NA,0,0
"JONATHANGRIMES","RB","Jonathan Grimes","HOU",87,317,0.1,NA,NA,NA,NA,NA,0.2,0.7,0,0,0.1,0,NA,0,0
"MIKEJAMES","RB","Mike James","TB",87,317,0.1,NA,NA,NA,NA,NA,0.2,0.5,0,0,0.1,0,NA,0,0
"ERIKLORIG","RB","Erik Lorig","NO",87,317,0.1,NA,NA,NA,NA,NA,0.1,0,0,0.1,0.4,0,NA,0,0
"PATRICKDIMARCO","RB","Patrick DiMarco","ATL",87,317,0.1,NA,NA,NA,NA,NA,0.3,0.4,0,0.1,0.3,0,NA,0,0
"WILLTAUFOOU","RB","Will Ta'ufo'ou","JAC",87,317,0.1,NA,NA,NA,NA,NA,0.2,0.4,0,0.1,0.3,0,NA,0,0
"RAYAGNEW","RB","Ray Agnew","CLE",87,317,0.1,NA,NA,NA,NA,NA,0.4,0.3,0,0.1,0.2,0,NA,0,0
"JAYPROSCH","RB","Jay Prosch","HOU",87,317,0.1,NA,NA,NA,NA,NA,0.2,0.2,0,0,0.1,0,NA,0,0
"JOEBANYARD","RB","Joe Banyard","MIN",87,317,0.1,NA,NA,NA,NA,NA,0.2,0.6,0,0,0,0,NA,0,0
"DARRELYOUNG","RB","Darrel Young","WAS",87,317,0.1,NA,NA,NA,NA,NA,0.2,0,0,0.1,0.3,0,NA,0,0
"JORDANLYNCH","QB","Jordan Lynch","CHI",31,328,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"CHADHENNE","QB","Chad Henne","JAC",31,328,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"JAKELOCKER","QB","Jake Locker","TEN",31,328,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"JOHNNYMANZIEL","QB","Johnny Manziel","CLE",31,328,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"RYANFITZPATRICK","QB","Ryan Fitzpatrick","HOU",31,328,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"KIRKCOUSINS","QB","Kirk Cousins","WAS",31,328,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"AUSTINDAVIS","QB","Austin Davis","STL",31,328,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"JEDCOLLINS","RB","Jed Collins","DET",98,328,0,NA,NA,NA,NA,NA,0.1,0,0,0,0.2,0,NA,0,0
"GLENNWINSTON","RB","Glenn Winston","CLE",98,328,0,NA,NA,NA,NA,NA,0.6,0.4,0,0,0,0,NA,0,0
"TYLERCLUTTS","RB","Tyler Clutts","DAL",98,328,0,NA,NA,NA,NA,NA,0.2,0.1,0,0,0.2,0,NA,0,0
"TYLERBRAY","QB","Tyler Bray","KC",38,338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MIKEGLENNON","QB","Mike Glennon","TB",39,339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JORDANRODGERS","QB","Jordan Rodgers","MIA",40,340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SEANRENFREE","QB","Sean Renfree","ATL",41,341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALEXTANNEY","QB","Alex Tanney","TB",42,342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRADYQUINN","QB","Brady Quinn","MIA",43,343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TAJHBOYD","QB","Tajh Boyd","NYJ",44,344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EJMANUEL","QB","EJ Manuel","BUF",45,345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MATTBLANCHARD","QB","Matt Blanchard","CAR",46,346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BLAINEGABBERT","QB","Blaine Gabbert","SF",47,347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZACDYSERT","QB","Zac Dysert","DEN",48,348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MATTMCGLOIN","QB","Matt McGloin","OAK",49,349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
