"name","pos","name_nfl","team_nfl","positionRank_nfl","overallRank_nfl","pts_nfl","passAtt_nfl","passComp_nfl","passYds_nfl","passTds_nfl","passInt_nfl","rushAtt_nfl","rushYds_nfl","rushTds_nfl","rec_nfl","recYds_nfl","recTds_nfl","returnTds_nfl","twoPts_nfl","fumbles_nfl"
"AARONRODGERS","QB","Aaron Rodgers","GB",1,1,26.3,NA,NA,310,3,0,NA,19,0,NA,0,0,NA,0,0
"JULIOJONES","WR","Julio Jones","ATL",1,2,23.9,NA,NA,0,0,0,NA,0,0,NA,119,2,NA,0,0
"PEYTONMANNING","QB","Peyton Manning","DEN",2,3,23.42,NA,NA,288,3,0,NA,-1,0,NA,0,0,NA,0,0
"JORDYNELSON","WR","Jordy Nelson","GB",2,4,23.4,NA,NA,0,0,0,NA,0,0,NA,114,2,NA,0,0
"LESEANMCCOY","RB","LeSean McCoy","PHI",1,5,22.6,NA,NA,0,0,0,NA,74,2,NA,32,0,NA,0,0
"CALVINJOHNSON","WR","Calvin Johnson","DET",3,6,22.3,NA,NA,0,0,0,NA,0,0,NA,103,2,NA,0,0
"ANTONIOBROWN","WR","Antonio Brown","PIT",4,7,21.7,NA,NA,0,0,0,NA,0,0,NA,97,2,NA,0,0
"LEVEONBELL","RB","Le'Veon Bell","PIT",2,8,20.5,NA,NA,0,0,0,NA,61,2,NA,24,0,NA,0,0
"ANDREWLUCK","QB","Andrew Luck","IND",3,9,19.96,NA,NA,249,2,0,NA,20,0,NA,0,0,NA,0,0
"GIOVANIBERNARD","RB","Giovani Bernard","CIN",3,10,19.9,NA,NA,0,0,0,NA,52,2,NA,27,0,NA,0,0
"DREWBREES","QB","Drew Brees","NO",4,11,18.88,NA,NA,267,2,0,NA,2,0,NA,0,0,NA,0,0
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",5,12,18.7,NA,NA,300,2,1,NA,7,0,NA,0,0,NA,0,0
"RUSSELLWILSON","QB","Russell Wilson","SEA",6,13,18.52,NA,NA,238,2,1,NA,30,0,NA,0,0,NA,0,0
"JAYCUTLER","QB","Jay Cutler","CHI",7,14,18.42,NA,NA,283,2,1,NA,11,0,NA,0,0,NA,0,0
"MATTFORTE","RB","Matt Forte","CHI",4,15,18.3,NA,NA,0,0,0,NA,96,1,NA,47,0,NA,0,1
"PHILIPRIVERS","QB","Philip Rivers","SD",8,16,18.02,NA,NA,298,2,1,NA,1,0,NA,0,0,NA,0,0
"CAMNEWTON","QB","Cam Newton","CAR",9,17,17.94,NA,NA,236,2,1,NA,25,0,NA,0,0,NA,0,0
"COLINKAEPERNICK","QB","Colin Kaepernick","SF",10,18,17.86,NA,NA,219,2,1,NA,31,0,NA,0,0,NA,0,0
"BLAKEBORTLES","QB","Blake Bortles","JAX",11,19,17.82,NA,NA,188,1,1,NA,23,1,NA,0,0,NA,0,0
"MATTRYAN","QB","Matt Ryan","ATL",12,20,17.76,NA,NA,284,2,1,NA,4,0,NA,0,0,NA,0,0
