"name","pos","name_nfl","team_nfl","positionRank_nfl","overallRank_nfl","pts_nfl","passAtt_nfl","passComp_nfl","passYds_nfl","passTds_nfl","passInt_nfl","rushAtt_nfl","rushYds_nfl","rushTds_nfl","rec_nfl","recYds_nfl","recTds_nfl","returnTds_nfl","twoPts_nfl","fumbles_nfl"
"MATTHASSELBECK","QB","Matt Hasselbeck","IND",28,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"CHADHENNE","QB","Chad Henne","JAX",28,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"SHAUNHILL","QB","Shaun Hill","STL",28,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"TARVARISJACKSON","QB","Tarvaris Jackson","SEA",28,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"CASEKEENUM","QB","Case Keenum","STL",28,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"EJMANUEL","QB","EJ Manuel","BUF",28,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"JOHNNYMANZIEL","QB","Johnny Manziel","CLE",28,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"JOSHMCCOWN","QB","Josh McCown","TB",28,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"LUKEMCCOWN","QB","Luke McCown","NO",28,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"COLTMCCOY","QB","Colt McCoy","WAS",28,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"ZACHMETTENBERGER","QB","Zach Mettenberger","TEN",28,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"DANORLOVSKY","QB","Dan Orlovsky","DET",28,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"BROCKOSWEILER","QB","Brock Osweiler","DEN",28,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"GIOVANIBERNARD","RB","Giovani Bernard","CIN",76,246,0,NA,NA,0,0,0,NA,52,2,NA,27,0,NA,0,0
"DOUGMARTIN","RB","Doug Martin","TB I",76,246,0,NA,NA,0,0,0,NA,67,1,NA,21,0,NA,0,0
"REGGIEBUSH","RB","Reggie Bush","DET",76,246,0,NA,NA,0,0,0,NA,59,1,NA,25,0,NA,0,0
"CJSPILLER","RB","C.J. Spiller","BUF",76,246,0,NA,NA,0,0,0,NA,63,1,NA,20,0,NA,0,0
"ARIANFOSTER","RB","Arian Foster","HOU",76,246,0,NA,NA,0,0,0,NA,62,1,NA,20,0,NA,0,0
"KHIRYROBINSON","RB","Khiry Robinson","NO I",76,246,0,NA,NA,0,0,0,NA,45,1,NA,9,0,NA,0,0
"FREDJACKSON","RB","Fred Jackson","BUF",76,246,0,NA,NA,0,0,0,NA,55,0,NA,22,0,NA,0,0
"PIERRETHOMAS","RB","Pierre Thomas","NO I",76,246,0,NA,NA,0,0,0,NA,41,0,NA,26,0,NA,0,0
"STEVANRIDLEY","RB","Stevan Ridley","NE I",76,246,0,NA,NA,0,0,0,NA,49,0,NA,5,0,NA,0,1
"DERRICKCOLEMAN","RB","Derrick Coleman","SEA",76,246,0,NA,NA,0,0,0,NA,2,0,NA,24,0,NA,0,0
"PEYTONHILLIS","RB","Peyton Hillis","NYG",76,246,0,NA,NA,0,0,0,NA,14,0,NA,4,0,NA,0,0
"RONNIEHILLMAN","RB","Ronnie Hillman","DEN",76,246,0,NA,NA,0,0,0,NA,9,0,NA,4,0,NA,0,0
"CYRUSGRAY","RB","Cyrus Gray","KC I",76,246,0,NA,NA,0,0,0,NA,4,0,NA,3,0,NA,0,0
"CHRISOGBONNAYA","RB","Chris Ogbonnaya","CAR",76,246,0,NA,NA,0,0,0,NA,4,0,NA,3,0,NA,0,0
"JAMESWHITE","RB","James White","NE I",76,246,0,NA,NA,0,0,0,NA,5,0,NA,1,0,NA,0,0
"JOEBANYARD","RB","Joe Banyard","MIN",76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"JACKIEBATTLE","RB","Jackie Battle","TEN",76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"REXBURKHEAD","RB","Rex Burkhead","CIN",76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"JEDCOLLINS","RB","Jed Collins","DET",76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"SHAUNDRAUGHN","RB","Shaun Draughn",NA,76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"CEDRICPEERMAN","RB","Cedric Peerman","CIN",76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"CHRISPOLK","RB","Chris Polk","PHI",76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"SILASREDD","RB","Silas Redd","WAS",76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"JONATHANSTEWART","RB","Jonathan Stewart","CAR",76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"ANTHONYALLEN","RB","Anthony Allen",NA,76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"ARMANDOALLEN","RB","Armando Allen",NA,76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"ANTONIOANDREWS","RB","Antonio Andrews","TEN",76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"EDWINBAKER","RB","Edwin Baker","NO I",76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"LANCEBALL","RB","Lance Ball",NA,76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"VICKBALLARD","RB","Vick Ballard","IND",76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"KENJONBARNER","RB","Kenjon Barner","PHI",76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"BARONBATCH","RB","Baron Batch",NA,76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"JOIQUEBELL","RB","Joique Bell","DET",76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"KAHLILBELL","RB","Kahlil Bell",NA,76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"KAPRIBIBBS","RB","Kapri Bibbs","DEN",76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"TOMMYBOHANON","RB","Tommy Bohanon","NYJ",76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"CURTISBRINKLEY","RB","Curtis Brinkley",NA,76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"ANDREBROWN","RB","Andre Brown",NA,76,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
