"name","pos","name_nfl","team_nfl","positionRank_nfl","overallRank_nfl","pts_nfl","passAtt_nfl","passComp_nfl","passYds_nfl","passTds_nfl","passInt_nfl","rushAtt_nfl","rushYds_nfl","rushTds_nfl","rec_nfl","recYds_nfl","recTds_nfl","returnTds_nfl","twoPts_nfl","fumbles_nfl"
"JULIOJONES","WR","Julio Jones","ATL",1,1,24.7,NA,NA,0,0,0,NA,0,0,NA,127,2,NA,0,0
"MATTFORTE","RB","Matt Forte","CHI",1,2,24.4,NA,NA,0,0,0,NA,98,2,NA,46,0,NA,0,1
"PEYTONMANNING","QB","Peyton Manning","DEN",1,3,24.3,NA,NA,310,3,0,NA,-1,0,NA,0,0,NA,0,0
"JORDYNELSON","WR","Jordy Nelson","GB",2,4,23.1,NA,NA,0,0,0,NA,0,0,NA,111,2,NA,0,0
"ANDREELLINGTON","RB","Andre Ellington","ARI",2,5,23,NA,NA,0,0,0,NA,72,1,NA,38,1,NA,0,0
"AARONRODGERS","QB","Aaron Rodgers","GB",2,6,22.08,NA,NA,302,2,0,NA,20,0,NA,0,0,NA,0,0
"ANTONIOBROWN","WR","Antonio Brown","PIT",3,7,21,NA,NA,0,0,0,NA,0,0,NA,90,2,NA,0,0
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",3,8,20.8,NA,NA,310,2,0,NA,4,0,NA,0,0,NA,0,0
"PHILIPRIVERS","QB","Philip Rivers","SD",4,9,20.22,NA,NA,303,2,0,NA,1,0,NA,0,0,NA,0,0
"MATTRYAN","QB","Matt Ryan","ATL",5,10,19.88,NA,NA,287,2,0,NA,4,0,NA,0,0,NA,0,0
"ANDREWLUCK","QB","Andrew Luck","IND",6,11,19.8,NA,NA,245,2,0,NA,20,0,NA,0,0,NA,0,0
"RUSSELLWILSON","QB","Russell Wilson","SEA",7,12,19.5,NA,NA,255,2,1,NA,33,0,NA,0,0,NA,0,0
"TOMBRADY","QB","Tom Brady","NE",8,13,19.04,NA,NA,271,2,0,NA,2,0,NA,0,0,NA,0,0
"JOEFLACCO","QB","Joe Flacco","BAL",8,13,19.04,NA,NA,261,2,0,NA,6,0,NA,0,0,NA,0,0
"JAYCUTLER","QB","Jay Cutler","CHI",10,15,18.42,NA,NA,283,2,1,NA,11,0,NA,0,0,NA,0,0
"COLINKAEPERNICK","QB","Colin Kaepernick","SF",11,16,18.08,NA,NA,227,2,1,NA,30,0,NA,0,0,NA,0,0
"LESEANMCCOY","RB","LeSean McCoy","PHI",3,17,17.9,NA,NA,0,0,0,NA,85,1,NA,34,0,NA,0,0
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",12,18,17.78,NA,NA,277,2,1,NA,7,0,NA,0,0,NA,0,0
"RYANTANNEHILL","QB","Ryan Tannehill","MIA",13,19,17.7,NA,NA,260,2,1,NA,13,0,NA,0,0,NA,0,0
"CALVINJOHNSON","WR","Calvin Johnson","DET",4,20,17.3,NA,NA,0,0,0,NA,0,0,NA,113,1,NA,0,0
"ELIMANNING","QB","Eli Manning","NYG",14,21,17.16,NA,NA,274,2,1,NA,2,0,NA,0,0,NA,0,0
"CAMNEWTON","QB","Cam Newton","CAR",15,22,17.1,NA,NA,220,2,1,NA,23,0,NA,0,0,NA,0,0
"BRIANHOYER","QB","Brian Hoyer","CLE",16,23,16.96,NA,NA,259,2,1,NA,6,0,NA,0,0,NA,0,0
"TONYROMO","QB","Tony Romo","DAL",17,24,16.64,NA,NA,256,2,1,NA,4,0,NA,0,0,NA,0,0
"BRANDONMARSHALL","WR","Brandon Marshall","CHI",5,25,16.5,NA,NA,0,0,0,NA,0,0,NA,105,1,NA,0,0
"ANDYDALTON","QB","Andy Dalton","CIN",18,26,16.38,NA,NA,237,2,1,NA,9,0,NA,0,0,NA,0,0
"DEMARCOMURRAY","RB","DeMarco Murray","DAL",4,27,16.2,NA,NA,0,0,0,NA,79,1,NA,23,0,NA,0,0
"EDDIELACY","RB","Eddie Lacy","GB",5,28,16.1,NA,NA,0,0,0,NA,83,1,NA,18,0,NA,0,0
"DEMARYIUSTHOMAS","WR","Demaryius Thomas","DEN",6,29,15.4,NA,NA,0,0,0,NA,0,0,NA,94,1,NA,0,0
"BLAKEBORTLES","QB","Blake Bortles","JAX",19,30,15.38,NA,NA,207,1,1,NA,31,0,NA,0,0,NA,1,0
"MARSHAWNLYNCH","RB","Marshawn Lynch","SEA",6,31,15.2,NA,NA,0,0,0,NA,72,1,NA,20,0,NA,0,0
"LEVEONBELL","RB","Le'Veon Bell","PIT",7,32,15.1,NA,NA,0,0,0,NA,66,1,NA,25,0,NA,0,0
"DARRENSPROLES","RB","Darren Sproles","PHI",8,33,14.8,NA,NA,0,0,0,NA,39,0,NA,69,1,NA,0,1
"LAMARMILLER","RB","Lamar Miller","MIA",9,34,14.7,NA,NA,0,0,0,NA,70,1,NA,17,0,NA,0,0
"DEZBRYANT","WR","Dez Bryant","DAL",7,34,14.7,NA,NA,0,0,0,NA,0,0,NA,87,1,NA,0,0
"PERCYHARVIN","WR","Percy Harvin","NYJ",7,34,14.7,NA,NA,0,0,0,NA,14,0,NA,73,1,NA,0,0
"BENTATE","RB","Ben Tate","CLE",10,37,14.3,NA,NA,0,0,0,NA,69,1,NA,14,0,NA,0,0
"SHANEVEREEN","RB","Shane Vereen","NE",11,38,14.2,NA,NA,0,0,0,NA,41,1,NA,41,0,NA,0,0
"ALSHONJEFFERY","WR","Alshon Jeffery","CHI",9,38,14.2,NA,NA,0,0,0,NA,0,0,NA,102,1,NA,0,1
"RANDALLCOBB","WR","Randall Cobb","GB",10,40,14.1,NA,NA,0,0,0,NA,12,0,NA,69,1,NA,0,0
"AHMADBRADSHAW","RB","Ahmad Bradshaw","IND",12,41,13.9,NA,NA,0,0,0,NA,61,0,NA,38,1,NA,0,1
"JEREMYMACLIN","WR","Jeremy Maclin","PHI",11,42,13.8,NA,NA,0,0,0,NA,0,0,NA,78,1,NA,0,0
"JULIUSTHOMAS","TE","Julius Thomas","DEN",1,43,13.6,NA,NA,0,0,0,NA,0,0,NA,76,1,NA,0,0
"KEENANALLEN","WR","Keenan Allen","SD",12,44,13.4,NA,NA,0,0,0,NA,0,0,NA,74,1,NA,0,0
"ANDREJOHNSON","WR","Andre Johnson","HOU",12,44,13.4,NA,NA,0,0,0,NA,0,0,NA,74,1,NA,0,0
"FRANKGORE","RB","Frank Gore","SF",13,46,13.3,NA,NA,0,0,0,NA,61,1,NA,12,0,NA,0,0
"ANDREWILLIAMS","RB","Andre Williams","NYG",13,46,13.3,NA,NA,0,0,0,NA,58,1,NA,15,0,NA,0,0
