"name","pos","name_nfl","team_nfl","positionRank_nfl","overallRank_nfl","pts_nfl","passAtt_nfl","passComp_nfl","passYds_nfl","passTds_nfl","passInt_nfl","rushAtt_nfl","rushYds_nfl","rushTds_nfl","rec_nfl","recYds_nfl","recTds_nfl","returnTds_nfl","twoPts_nfl","fumbles_nfl"
"DREWBREES","QB","Drew Brees","NO",1,1,21.92,NA,NA,343,2,0,NA,2,0,NA,0,0,NA,0,0
"JULIOJONES","WR","Julio Jones","ATL",1,2,19,NA,NA,0,0,0,NA,1,0,NA,129,1,NA,0,0
"CALVINJOHNSON","WR","Calvin Johnson","DET",2,3,18.4,NA,NA,0,0,0,NA,0,0,NA,124,1,NA,0,0
"VINCENTJACKSON","WR","Vincent Jackson","TB",3,4,18,NA,NA,0,0,0,NA,1,0,NA,119,1,NA,0,0
"SAMMYWATKINS","WR","Sammy Watkins","BUF",4,5,17.7,NA,NA,0,0,0,NA,2,0,NA,115,1,NA,0,0
"JORDYNELSON","WR","Jordy Nelson","GB",5,6,17.5,NA,NA,0,0,0,NA,0,0,NA,115,1,NA,0,0
"TOMBRADY","QB","Tom Brady","NE",2,7,17.3,NA,NA,330,1,0,NA,1,0,NA,0,0,NA,0,0
"ANDREWLUCK","QB","Andrew Luck","IND",3,8,16.96,NA,NA,294,1,0,NA,12,0,NA,0,0,NA,0,0
"BRANDONMARSHALL","WR","Brandon Marshall","CHI",6,9,16.7,NA,NA,0,0,0,NA,0,0,NA,107,1,NA,0,0
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",4,10,16.4,NA,NA,355,1,1,NA,2,0,NA,0,0,NA,0,0
"PEYTONMANNING","QB","Peyton Manning","DEN",5,11,16.2,NA,NA,255,2,1,NA,0,0,NA,0,0,NA,0,0
"DEMARCOMURRAY","RB","DeMarco Murray","DAL",1,12,15.8,NA,NA,0,0,0,NA,78,1,NA,20,0,NA,0,0
"BOBBYRAINEY","RB","Bobby Rainey","TB",1,12,15.8,NA,NA,0,0,0,NA,88,1,NA,10,0,NA,0,0
"AARONRODGERS","QB","Aaron Rodgers","GB",6,14,15.78,NA,NA,322,1,1,NA,9,0,NA,0,0,NA,0,0
"ALSHONJEFFERY","WR","Alshon Jeffery","CHI",7,15,15.7,NA,NA,0,0,0,NA,2,0,NA,95,1,NA,0,0
"JOSHMCCOWN","QB","Josh McCown","TB",7,16,15.36,NA,NA,319,1,1,NA,6,0,NA,0,0,NA,0,0
"CAMNEWTON","QB","Cam Newton","CAR",8,17,15.22,NA,NA,238,1,0,NA,17,0,NA,0,0,NA,0,0
"ALFREDMORRIS","RB","Alfred Morris","WAS",3,18,15.2,NA,NA,0,0,0,NA,88,1,NA,4,0,NA,0,0
"JIMMYGRAHAM","TE","Jimmy Graham","NO",1,18,15.2,NA,NA,0,0,0,NA,0,0,NA,92,1,NA,0,0
"KNILEDAVIS","RB","Knile Davis","KC",4,20,15.1,NA,NA,0,0,0,NA,78,0,NA,13,1,NA,0,0
"LESEANMCCOY","RB","LeSean McCoy","PHI",4,20,15.1,NA,NA,0,0,0,NA,52,1,NA,39,0,NA,0,0
"JAYCUTLER","QB","Jay Cutler","CHI",9,22,14.78,NA,NA,307,1,1,NA,5,0,NA,0,0,NA,0,0
"MIKEEVANS","WR","Mike Evans","TB",8,23,14.7,NA,NA,0,0,0,NA,0,0,NA,87,1,NA,0,0
