displayName,team,xp,fg
Stephen Gostkowski,NE,3.1,2.2
Justin Tucker,BAL,2.9,2.1
Chandler Catanzaro,ARI,2.7,2.0
Steven Hauschka,SEA,2.1,2.0
Blair Walsh,MIN,2.1,2.0
Nick Folk,NYJ,2.1,2.0
Chris Boswell,PIT,1.5,2.0
Cairo Santos,KC,2.8,1.9
Josh Brown,NYG,2.7,1.9
Graham Gano,CAR,2.2,1.9
Brandon McManus,DEN,2.1,1.9
Kai Forbath,NO,2.7,1.8
Nick Novak,HOU,2.6,1.8
Mason Crosby,GB,2.1,1.8
Mike Nugent,CIN,2.1,1.8
Connor Barth,TB,2.0,1.8
Josh Lambo,SD,2.0,1.8
Robbie Gould,CHI,2.0,1.8
Sebastian Janikowski,OAK,2.0,1.8
Adam Vinatieri,IND,1.9,1.7
Phil Dawson,SF,1.3,1.7
Andrew Franks,MIA,1.8,1.5
Matt Bryant,ATL,2.9,1.4
Zach Hocker,NO,2.4,1.4
Greg Zuerlein,STL,2.1,1.3
Travis Coons,CLE,1.6,1.2
Matt Prater,DET,2.6,1.1
Dan Bailey,DAL,1.8,1.1
Ryan Succop,TEN,2.5,1.0
Dan Carpenter,BUF,0.0,0.0
Patrick Murray,TB,0.0,0.0
Jay Feely,CHI,0.0,0.0
Caleb Sturgis,PHI,0.0,0.0
Dustin Hopkins,WAS,0.0,0.0
Garrett Hartley,PIT,0.0,0.0
Billy Cundiff,CLE,0.0,0.0
Josh Scobee,PIT,0.0,0.0
Shaun Suisham,PIT,0.0,0.0
