"name","pos","age","date","team","home.game","opponent","result","week","day","game","year","week.1","passYds","passTds","passInt","rushYds","rushTds","rec","recYds","recTds"
"REGGIEWAYNE","WR","35-326","2014-10-09","IND",TRUE,"HOU","W 33-28",6,"Thu",6,2014,6,NA,NA,NA,NA,NA,4,35,0
"RHETTELLISON","WR","26-009","2014-10-12","MIN",FALSE,"DET","L 3-17",6,"Sun",6,2014,6,NA,NA,NA,NA,NA,1,4,0
"RICARDOLOCKETTE","WR","28-144","2014-10-12","SEA",FALSE,"DAL","L 23-30",6,"Sun",5,2014,6,NA,NA,NA,NA,NA,1,8,0
"RILEYCOOPER","WR","27-033","2014-10-12","PHI",FALSE,"NYG","W 27-0",6,"Sun",6,2014,6,NA,NA,NA,NA,NA,5,59,0
"ROBERTHERRON","WR","22-132","2014-10-12","TAM",FALSE,"BAL","L 17-48",6,"Sun",6,2014,6,NA,NA,NA,NA,NA,2,31,0
"ROBERTHUGHES","WR","25-113","2014-10-12","ARI",FALSE,"WAS","W 30-20",6,"Sun",5,2014,6,NA,NA,NA,NA,NA,1,7,0
"ROBERTTURBIN","RB","24-314","2014-10-12","SEA",FALSE,"DAL","L 23-30",6,"Sun",5,2014,6,NA,NA,NA,10,0,NA,NA,NA
"ROBERTWOODS","WR","22-185","2014-10-12","BUF",FALSE,"NWE","L 22-37",6,"Sun",6,2014,6,NA,NA,NA,NA,NA,7,78,1
"ROBGRONKOWSKI","WR","25-151","2014-10-12","NWE",TRUE,"BUF","W 37-22",6,"Sun",6,2014,6,NA,NA,NA,NA,NA,7,94,0
"ROBHOUSLER","WR","26-209","2014-10-12","ARI",FALSE,"WAS","W 30-20",6,"Sun",5,2014,6,NA,NA,NA,NA,NA,2,15,0
"RODDYWHITE","WR","32-344","2014-10-12","ATL",FALSE,"CHI","L 13-27",6,"Sun",6,2014,6,NA,NA,NA,NA,NA,3,40,0
"RONNIEBROWN","RB","32-304","2014-10-12","SDG",TRUE,"OAK","W 31-28",6,"Sun",6,2014,6,NA,NA,NA,2,0,1,24,0
"RONNIEHILLMAN","RB","23-028","2014-10-12","DEN",TRUE,"NYJ","W 31-17",6,"Sun",5,2014,6,NA,NA,NA,100,0,3,16,0
"ROYHELU","RB","25-309","2014-10-12","WAS",TRUE,"ARI","L 20-30",6,"Sun",6,2014,6,NA,NA,NA,26,0,2,40,0
"RUEBENRANDLE","WR","23-158","2014-10-12","NYG",TRUE,"PHI","L 0-27",6,"Sun",6,2014,6,NA,NA,NA,NA,NA,5,58,0
"RUSSELLWILSON","QB","25-317","2014-10-12","SEA",FALSE,"DAL","L 23-30",6,"Sun",5,2014,6,126,0,1,12,1,NA,NA,NA
"RYANFITZPATRICK","QB","31-319","2014-10-09","HOU",FALSE,"IND","L 28-33",6,"Thu",6,2014,6,212,1,0,5,0,NA,NA,NA
"RYANNASSIB","QB","24-216","2014-10-12","NYG",TRUE,"PHI","L 0-27",6,"Sun",6,2014,6,60,0,0,NA,NA,NA,NA,NA
"RYANTANNEHILL","QB","26-077","2014-10-12","MIA",FALSE,"GNB","L 24-27",6,"Sun",5,2014,6,244,2,2,49,0,NA,NA,NA
"SAMMYWATKINS","WR","21-120","2014-10-12","BUF",FALSE,"NWE","L 22-37",6,"Sun",6,2014,6,NA,NA,NA,NA,NA,2,27,0
"SCOTTCHANDLER","WR","29-081","2014-10-12","BUF",FALSE,"NWE","L 22-37",6,"Sun",6,2014,6,NA,NA,NA,NA,NA,6,105,0
"SHANEVEREEN","RB","25-224","2014-10-12","NWE",TRUE,"BUF","W 37-22",6,"Sun",6,2014,6,NA,NA,NA,4,0,1,3,0
"STEPFANTAYLOR","RB","23-125","2014-10-12","ARI",FALSE,"WAS","W 30-20",6,"Sun",5,2014,6,NA,NA,NA,10,0,1,0,0
