"name","name_cbs","pos","team_cbs","positionRank_cbs","overallRank_cbs","passAtt_cbs","passComp_cbs","passYds_cbs","passTds_cbs","passInt_cbs","passCompPct_cbs","passYdsPerAtt_cbs","rushAtt_cbs","rushYds_cbs","rushYdsPerAtt_cbs","rushTds_cbs","rec_cbs","recYds_cbs","recYdsPerRec_cbs","recTds_cbs","twoPts_cbs","fumbles_cbs","pts_cbs"
"PEYTONMANNING","Peyton Manning","QB","DEN",1,1,50,33,362,3,0,66,7.2,1,0,0,0,NA,NA,NA,NA,NA,0,32
"DREWBREES","Drew Brees","QB","NO",2,2,47,33,329,2,0,70.2,7,2,7,3.5,1,NA,NA,NA,NA,NA,0,31
"AARONRODGERS","Aaron Rodgers","QB","GB",3,3,37,28,288,3,0,75.7,7.8,4,11,2.8,0,NA,NA,NA,NA,NA,0,30
"NICKFOLES","Nick Foles","QB","PHI",3,3,32,21,274,2,0,65.6,8.6,4,27,6.8,1,NA,NA,NA,NA,NA,0,30
"CAMNEWTON","Cam Newton","QB","CAR",5,5,27,17,225,1,0,63,8.3,5,31,6.2,1,NA,NA,NA,NA,NA,0,24
"JAYCUTLER","Jay Cutler","QB","CHI",6,6,32,24,262,2,0,75,8.2,2,11,5.5,0,NA,NA,NA,NA,NA,0,23
"BENROETHLISBERGER","Ben Roethlisberger","QB","PIT",6,6,31,20,276,2,0,64.5,8.9,2,9,4.5,0,NA,NA,NA,NA,NA,0,23
"TOMBRADY","Tom Brady","QB","NE",8,8,44,27,252,2,0,61.4,5.7,1,1,1,0,NA,NA,NA,NA,NA,0,22
"ANDYDALTON","Andy Dalton","QB","CIN",9,9,39,25,288,2,0,64.1,7.4,3,9,3,0,NA,NA,NA,NA,NA,1,21
"PHILIPRIVERS","Philip Rivers","QB","SD",9,9,26,19,227,2,0,73.1,8.7,2,2,1,0,NA,NA,NA,NA,NA,0,21
"ANDREWLUCK","Andrew Luck","QB","IND",9,9,38,25,249,2,1,65.8,6.6,4,22,5.5,0,NA,NA,NA,NA,NA,0,21
"RYANTANNEHILL","Ryan Tannehill","QB","MIA",12,12,32,20,248,2,1,62.5,7.8,3,18,6,0,NA,NA,NA,NA,NA,0,20
"RUSSELLWILSON","Russell Wilson","QB","SEA",12,12,26,15,191,1,1,57.7,7.3,4,31,7.8,1,NA,NA,NA,NA,NA,0,20
"LESEANMCCOY","LeSean McCoy","RB","PHI",1,12,NA,NA,NA,NA,NA,NA,NA,18,129,7.2,1,4,29,7.2,0,NA,0,20
"BRANDONMARSHALL","Brandon Marshall","WR","CHI",1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,140,20,1,NA,0,20
"MATTHEWSTAFFORD","Matthew Stafford","QB","DET",14,16,34,18,273,2,2,52.9,8,3,13,4.3,0,NA,NA,NA,NA,NA,0,19
"COLINKAEPERNICK","Colin Kaepernick","QB","SF",14,16,25,17,249,2,2,68,10,4,22,5.5,0,NA,NA,NA,NA,NA,0,19
"DEMARYIUSTHOMAS","Demaryius Thomas","WR","DEN",2,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,131,21.8,1,NA,0,19
"MARSHAWNLYNCH","Marshawn Lynch","RB","SEA",2,19,NA,NA,NA,NA,NA,NA,NA,20,91,4.5,1,3,31,10.3,0,NA,0,18
"EDDIELACY","Eddie Lacy","RB","GB",2,19,NA,NA,NA,NA,NA,NA,NA,18,105,5.8,1,2,21,10.5,0,NA,0,18
"TERRELLEPRYOR","Terrelle Pryor","QB","OAK",16,21,28,18,231,1,0,64.3,8.2,4,28,7,0,NA,NA,NA,NA,NA,0,17
"KYLEORTON","Kyle Orton","QB","DAL",16,21,32,19,229,2,1,59.4,7.2,1,1,1,0,NA,NA,NA,NA,NA,1,17
"RYANFITZPATRICK","Ryan Fitzpatrick","QB","TEN",16,21,36,22,222,2,2,61.1,6.2,4,19,4.8,0,NA,NA,NA,NA,NA,0,17
"MATTCASSEL","Matt Cassel","QB","MIN",16,21,33,19,249,2,2,57.6,7.5,3,9,3,0,NA,NA,NA,NA,NA,0,17
"DEMARCOMURRAY","DeMarco Murray","RB","DAL",4,21,NA,NA,NA,NA,NA,NA,NA,19,105,5.5,1,3,14,4.7,0,NA,0,17
"LEVEONBELL","Le'Veon Bell","RB","PIT",4,21,NA,NA,NA,NA,NA,NA,NA,22,91,4.1,1,4,25,6.2,0,NA,0,17
"PIERREGARCON","Pierre Garcon","WR","WAS",3,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,113,14.1,1,NA,0,17
"AJGREEN","A.J. Green","WR","CIN",3,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,112,16,1,NA,0,17
"JOSHGORDON","Josh Gordon","WR","CLE",3,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,105,21,1,NA,0,17
"MATTRYAN","Matt Ryan","QB","ATL",20,30,34,21,279,1,1,61.8,8.2,2,11,5.5,0,NA,NA,NA,NA,NA,0,16
"KIRKCOUSINS","Kirk Cousins","QB","WAS",20,30,32,19,276,1,1,59.4,8.6,2,11,5.5,0,NA,NA,NA,NA,NA,0,16
"MATTFORTE","Matt Forte","RB","CHI",6,30,NA,NA,NA,NA,NA,NA,NA,18,79,4.4,1,4,34,8.5,0,NA,0,16
"RYANMATHEWS","Ryan Mathews","RB","SD",6,30,NA,NA,NA,NA,NA,NA,NA,20,95,4.8,1,2,18,9,0,NA,0,16
"ERICDECKER","Eric Decker","WR","DEN",6,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,107,15.3,1,NA,0,16
"ALSHONJEFFERY","Alshon Jeffery","WR","CHI",6,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,91,18.2,1,NA,0,16
"DEZBRYANT","Dez Bryant","WR","DAL",6,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,101,16.8,1,NA,0,16
"ANTONIOBROWN","Antonio Brown","WR","PIT",6,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,103,20.6,1,NA,0,16
"JORDYNELSON","Jordy Nelson","WR","GB",6,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,104,17.3,1,NA,0,16
"CHADHENNE","Chad Henne","QB","JAC",22,39,32,20,229,1,1,62.5,7.2,3,21,7,0,NA,NA,NA,NA,NA,0,15
"KNOWSHONMORENO","Knowshon Moreno","RB","DEN",8,39,NA,NA,NA,NA,NA,NA,NA,14,61,4.4,1,4,31,7.8,0,NA,0,15
"ALFREDMORRIS","Alfred Morris","RB","WAS",8,39,NA,NA,NA,NA,NA,NA,NA,22,92,4.2,1,1,3,3,0,NA,0,15
"DESEANJACKSON","DeSean Jackson","WR","PHI",11,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,94,15.7,1,NA,0,15
"KEENANALLEN","Keenan Allen","WR","SD",11,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,91,18.2,1,NA,0,15
"JOEFLACCO","Joe Flacco","QB","BAL",23,44,42,23,245,1,1,54.8,5.8,2,12,6,0,NA,NA,NA,NA,NA,0,14
"THADLEWIS","Thad Lewis","QB","BUF",23,44,28,17,199,0,0,60.7,7.1,3,17,5.7,1,NA,NA,NA,NA,NA,0,14
"JASONCAMPBELL","Jason Campbell","QB","CLE",23,44,41,23,281,1,2,56.1,6.9,2,13,6.5,0,NA,NA,NA,NA,NA,0,14
"MATTSCHAUB","Matt Schaub","QB","HOU",23,44,32,22,255,1,1,68.8,8,1,4,4,0,NA,NA,NA,NA,NA,0,14
"CARSONPALMER","Carson Palmer","QB","ARI",23,44,29,20,256,1,1,69,8.8,1,1,1,0,NA,NA,NA,NA,NA,0,14
"RASHADJENNINGS","Rashad Jennings","RB","OAK",10,44,NA,NA,NA,NA,NA,NA,NA,17,76,4.5,1,2,13,6.5,0,NA,0,14
"RILEYCOOPER","Riley Cooper","WR","PHI",13,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,82,20.5,1,NA,0,14
"VINCENTJACKSON","Vincent Jackson","WR","TB",13,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,81,20.2,1,NA,0,14
"JULIANEDELMAN","Julian Edelman","WR","NE",13,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,83,11.9,1,NA,0,14
"JIMMYGRAHAM","Jimmy Graham","TE","NO",1,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,82,13.7,1,NA,0,14
"ELIMANNING","Eli Manning","QB","NYG",28,54,35,20,248,1,1,57.1,7.1,1,1,1,0,NA,NA,NA,NA,NA,0,13
"CHRISJOHNSON","Chris Johnson","RB","TEN",11,54,NA,NA,NA,NA,NA,NA,NA,16,59,3.7,0,2,21,10.5,1,NA,0,13
"ZACSTACY","Zac Stacy","RB","STL",11,54,NA,NA,NA,NA,NA,NA,NA,21,78,3.7,1,2,9,4.5,0,NA,0,13
"FREDJACKSON","Fred Jackson","RB","BUF",11,54,NA,NA,NA,NA,NA,NA,NA,14,68,4.9,1,2,14,7,0,NA,0,13
"DONALDBROWN","Donald Brown","RB","IND",11,54,NA,NA,NA,NA,NA,NA,NA,13,51,3.9,0,2,21,10.5,1,NA,0,13
"ANDREBROWN","Andre Brown","RB","NYG",11,54,NA,NA,NA,NA,NA,NA,NA,15,66,4.4,1,2,19,9.5,0,NA,0,13
"MAURICEJONESDREW","Maurice Jones-Drew","RB","JAC",11,54,NA,NA,NA,NA,NA,NA,NA,14,51,3.6,1,3,29,9.7,0,NA,0,13
"MIKEWALLACE","Mike Wallace","WR","MIA",16,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,72,18,1,NA,0,13
"VERNONDAVIS","Vernon Davis","TE","SF",2,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,71,17.8,1,NA,0,13
"GENOSMITH","Geno Smith","QB","NYJ",29,63,30,17,200,0,2,56.7,6.7,7,27,3.9,1,NA,NA,NA,NA,NA,0,12
"CHRISIVORY","Chris Ivory","RB","NYJ",17,63,NA,NA,NA,NA,NA,NA,NA,16,68,4.2,1,0,0,0,0,NA,0,12
"DEANGELOWILLIAMS","DeAngelo Williams","RB","CAR",17,63,NA,NA,NA,NA,NA,NA,NA,15,67,4.5,1,2,9,4.5,0,NA,0,12
"JOIQUEBELL","Joique Bell","RB","DET",17,63,NA,NA,NA,NA,NA,NA,NA,17,61,3.6,1,5,28,5.6,0,NA,1,12
"LEGARRETTEBLOUNT","LeGarrette Blount","RB","NE",17,63,NA,NA,NA,NA,NA,NA,NA,12,55,4.6,1,1,13,13,0,NA,0,12
"CORDARRELLEPATTERSON","Cordarrelle Patterson","WR","MIN",17,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,47,11.8,1,NA,0,12
"JULIUSTHOMAS","Julius Thomas","TE","DEN",3,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,64,12.8,1,NA,0,12
"MIKEGLENNON","Mike Glennon","QB","TB",30,70,28,14,194,1,1,50,6.9,1,1,1,0,NA,NA,NA,NA,NA,0,11
"REGGIEBUSH","Reggie Bush","RB","DET",21,70,NA,NA,NA,NA,NA,NA,NA,13,49,3.8,1,3,19,6.3,0,NA,0,11
"ANQUANBOLDIN","Anquan Boldin","WR","SF",18,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,51,10.2,1,NA,0,11
"JAMESJONES","James Jones","WR","GB",18,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,54,13.5,1,NA,0,11
"TONYGONZALEZ","Tony Gonzalez","TE","ATL",4,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,54,13.5,1,NA,0,11
