"name","name_cbs","pos","team_cbs","positionRank_cbs","overallRank_cbs","passAtt_cbs","passComp_cbs","passYds_cbs","passTds_cbs","passInt_cbs","passCompPct_cbs","passYdsPerAtt_cbs","rushAtt_cbs","rushYds_cbs","rushYdsPerAtt_cbs","rushTds_cbs","rec_cbs","recYds_cbs","recYdsPerRec_cbs","recTds_cbs","twoPts_cbs","fumbles_cbs","pts_cbs"
"ANDYDALTON","Andy Dalton","QB","CIN",24,39,35,21,226,1,1,60,6.5,3,21,7,0,NA,NA,NA,NA,NA,0,15
"BRIANHOYER","Brian Hoyer","QB","CLE",24,39,32,15,241,1,0,46.9,7.5,1,4,4,0,NA,NA,NA,NA,NA,0,15
"ZACHMETTENBERGER","Zach Mettenberger","QB","TEN",24,39,33,22,273,1,1,66.7,8.3,3,14,4.7,0,NA,NA,NA,NA,NA,0,15
"BLAKEBORTLES","Blake Bortles","QB","JAC",24,39,38,24,258,1,2,63.2,6.8,5,30,6,0,NA,NA,NA,NA,NA,0,15
"LAMARMILLER","Lamar Miller","RB","MIA",8,39,NA,NA,NA,NA,NA,NA,NA,16,77,4.8,1,2,21,10.5,0,NA,0,15
"AHMADBRADSHAW","Ahmad Bradshaw","RB","IND",8,39,NA,NA,NA,NA,NA,NA,NA,17,69,4.1,1,5,39,7.8,0,NA,0,15
"JULIOJONES","Julio Jones","WR","ATL",9,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,91,13,1,NA,0,15
"MICHAELFLOYD","Michael Floyd","WR","ARI",9,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,91,18.2,1,NA,0,15
"AUSTINDAVIS","Austin Davis","QB","STL",28,47,37,23,233,1,0,62.2,6.3,2,12,6,0,NA,NA,NA,NA,NA,1,14
"JOIQUEBELL","Joique Bell","RB","DET",10,47,NA,NA,NA,NA,NA,NA,NA,17,75,4.4,1,4,19,4.8,0,NA,0,14
"SHANEVEREEN","Shane Vereen","RB","NE",10,47,NA,NA,NA,NA,NA,NA,NA,14,57,4.1,0,3,31,10.3,1,NA,0,14
"RONNIEHILLMAN","Ronnie Hillman","RB","DEN",10,47,NA,NA,NA,NA,NA,NA,NA,18,79,4.4,1,2,15,7.5,0,NA,0,14
"JERICKMCKINNON","Jerick McKinnon","RB","MIN",10,47,NA,NA,NA,NA,NA,NA,NA,17,78,4.6,1,4,19,4.8,0,NA,0,14
"EMMANUELSANDERS","Emmanuel Sanders","WR","DEN",11,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,83,13.8,1,NA,0,14
"JEREMYMACLIN","Jeremy Maclin","WR","PHI",11,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,82,16.4,1,NA,0,14
"TYHILTON","T.Y. Hilton","WR","IND",11,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,85,10.6,1,NA,0,14
"BRANDONMARSHALL","Brandon Marshall","WR","CHI",11,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,82,16.4,1,NA,0,14
"ROBGRONKOWSKI","Rob Gronkowski","TE","NE",1,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,87,14.5,1,NA,0,14
"JULIUSTHOMAS","Julius Thomas","TE","DEN",1,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,84,16.8,1,NA,0,14
"BENTATE","Ben Tate","RB","CLE",14,58,NA,NA,NA,NA,NA,NA,NA,18,79,4.4,1,1,3,3,0,NA,0,13
"EDDIELACY","Eddie Lacy","RB","GB",14,58,NA,NA,NA,NA,NA,NA,NA,15,68,4.5,1,3,19,6.3,0,NA,0,13
"MARKINGRAM","Mark Ingram","RB","NO",14,58,NA,NA,NA,NA,NA,NA,NA,17,74,4.4,1,2,9,4.5,0,NA,0,13
"ANDREELLINGTON","Andre Ellington","RB","ARI",14,58,NA,NA,NA,NA,NA,NA,NA,17,81,4.8,0,5,51,10.2,0,NA,0,13
"MIKEWALLACE","Mike Wallace","WR","MIA",15,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,77,15.4,1,NA,0,13
"GREGOLSEN","Greg Olsen","TE","CAR",3,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,76,10.9,1,NA,0,13
"JUSTINFORSETT","Justin Forsett","RB","BAL",18,64,NA,NA,NA,NA,NA,NA,NA,19,101,5.3,0,2,29,14.5,0,NA,0,12
"VINCENTJACKSON","Vincent Jackson","WR","TB",16,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,69,17.2,1,NA,0,12
"COLTMCCOY","Colt McCoy","QB","WAS",29,66,34,18,243,1,2,52.9,7.1,2,2,1,0,NA,NA,NA,NA,NA,0,11
"DARRENMCFADDEN","Darren McFadden","RB","OAK",19,66,NA,NA,NA,NA,NA,NA,NA,16,58,3.6,1,2,9,4.5,0,NA,0,11
"GIOVANIBERNARD","Giovani Bernard","RB","CIN",19,66,NA,NA,NA,NA,NA,NA,NA,12,47,3.9,0,3,19,6.3,1,NA,0,11
"BRANDENOLIVER","Branden Oliver","RB","SD",19,66,NA,NA,NA,NA,NA,NA,NA,18,81,4.5,0,4,39,9.8,0,NA,0,11
"MARQUESCOLSTON","Marques Colston","WR","NO",17,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,58,14.5,1,NA,0,11
"DEANDREHOPKINS","DeAndre Hopkins","WR","HOU",17,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,58,11.6,1,NA,0,11
"STEVESMITH","Steve Smith","WR","BAL",17,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,58,14.5,1,NA,0,11
"KELVINBENJAMIN","Kelvin Benjamin","WR","CAR",17,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,51,17,1,NA,0,11
"CHRISIVORY","Chris Ivory","RB","NYJ",22,74,NA,NA,NA,NA,NA,NA,NA,13,49,3.8,1,2,9,4.5,0,NA,0,10
"DOUGMARTIN","Doug Martin","RB","TB",22,74,NA,NA,NA,NA,NA,NA,NA,14,49,3.5,1,2,9,4.5,0,NA,0,10
"LORENZOTALIAFERRO","Lorenzo Taliaferro","RB","BAL",22,74,NA,NA,NA,NA,NA,NA,NA,11,48,4.4,1,1,8,8,0,NA,0,10
"LARRYFITZGERALD","Larry Fitzgerald","WR","ARI",21,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,49,9.8,1,NA,0,10
"ISAIAHCROWELL","Isaiah Crowell","RB","CLE",25,78,NA,NA,NA,NA,NA,NA,NA,11,39,3.5,1,1,4,4,0,NA,0,9
"ERICDECKER","Eric Decker","WR","NYJ",22,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,39,9.8,1,NA,0,9
"RODDYWHITE","Roddy White","WR","ATL",22,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,39,9.8,1,NA,0,9
"DOUGBALDWIN","Doug Baldwin","WR","SEA",22,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,39,9.8,1,NA,0,9
"ANDREJOHNSON","Andre Johnson","WR","HOU",22,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,91,18.2,0,NA,0,9
"TERRANCEWILLIAMS","Terrance Williams","WR","DAL",22,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,39,19.5,1,NA,0,9
"PIERREGARCON","Pierre Garcon","WR","WAS",22,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,39,9.8,1,NA,0,9
"ANTONIOGATES","Antonio Gates","TE","SD",4,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,39,13,1,NA,0,9
"JIMMYGRAHAM","Jimmy Graham","TE","NO",4,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,39,13,1,NA,0,9
"JORDANREED","Jordan Reed","TE","WAS",4,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,91,13,0,NA,0,9
"DWAYNEALLEN","Dwayne Allen","TE","IND",4,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,39,9.8,1,NA,0,9
"DEREKCARR","Derek Carr","QB","OAK",30,89,34,19,252,0,2,55.9,7.4,3,22,7.3,0,NA,NA,NA,NA,NA,0,8
"TRAVARISCADET","Travaris Cadet","RB","NO",26,89,NA,NA,NA,NA,NA,NA,NA,2,11,5.5,0,6,71,11.8,0,NA,0,8
"BRYCEBROWN","Bryce Brown","RB","BUF",26,89,NA,NA,NA,NA,NA,NA,NA,15,65,4.3,0,3,22,7.3,0,NA,0,8
"TREMASON","Tre Mason","RB","STL",26,89,NA,NA,NA,NA,NA,NA,NA,14,61,4.4,0,2,21,10.5,0,NA,0,8
"DAVANTEADAMS","Davante Adams","WR","GB",28,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,28,9.3,1,NA,0,8
"DWAYNEBOWE","Dwayne Bowe","WR","KC",28,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,81,16.2,0,NA,0,8
"JUSTINHUNTER","Justin Hunter","WR","TEN",28,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,81,20.2,0,NA,0,8
"MIKEEVANS","Mike Evans","WR","TB",28,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,81,20.2,0,NA,0,8
"JULIANEDELMAN","Julian Edelman","WR","NE",28,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,81,13.5,0,NA,0,8
"BRANDONLAFELL","Brandon LaFell","WR","NE",28,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,29,9.7,1,NA,0,8
"MOHAMEDSANU","Mohamed Sanu","WR","CIN",28,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,81,16.2,0,NA,0,8
"DESEANJACKSON","DeSean Jackson","WR","WAS",28,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,81,20.2,0,NA,0,8
"TORREYSMITH","Torrey Smith","WR","BAL",28,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,81,20.2,0,NA,0,8
"EDDIEROYAL","Eddie Royal","WR","SD",28,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,28,7,1,NA,0,8
"WESWELKER","Wes Welker","WR","DEN",28,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,29,9.7,1,NA,0,8
"ZACHERTZ","Zach Ertz","TE","PHI",8,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,29,9.7,1,NA,0,8
"ALFREDMORRIS","Alfred Morris","RB","WAS",29,105,NA,NA,NA,NA,NA,NA,NA,17,61,3.6,0,1,11,11,0,NA,0,7
"DENARDROBINSON","Denard Robinson","RB","JAC",29,105,NA,NA,NA,NA,NA,NA,NA,15,61,4.1,0,2,19,9.5,0,NA,0,7
"ANTHONYDIXON","Anthony Dixon","RB","BUF",29,105,NA,NA,NA,NA,NA,NA,NA,5,19,3.8,1,2,9,4.5,0,NA,0,7
"JONATHANSTEWART","Jonathan Stewart","RB","CAR",29,105,NA,NA,NA,NA,NA,NA,NA,17,67,3.9,0,3,19,6.3,0,NA,0,7
"BRANDINCOOKS","Brandin Cooks","WR","NO",39,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,68,17,0,NA,0,7
"KENDALLWRIGHT","Kendall Wright","WR","TEN",39,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,71,14.2,0,NA,0,7
"ANDREHOLMES","Andre Holmes","WR","OAK",39,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,72,18,0,NA,0,7
"PERCYHARVIN","Percy Harvin","WR","NYJ",39,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,59,19.7,0,NA,0,7
"JORDANCAMERON","Jordan Cameron","TE","CLE",9,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,19,9.5,1,NA,0,7
"MARTELLUSBENNETT","Martellus Bennett","TE","CHI",9,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,71,17.8,0,NA,0,7
"COBYFLEENER","Coby Fleener","TE","IND",9,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,19,9.5,1,NA,0,7
"CHARLESCLAY","Charles Clay","TE","MIA",9,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,19,6.3,1,NA,0,7
"JAREDCOOK","Jared Cook","TE","STL",9,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,19,6.3,1,NA,0,7
"DELANIEWALKER","Delanie Walker","TE","TEN",9,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,19,6.3,1,NA,0,7
"SCOTTCHANDLER","Scott Chandler","TE","BUF",9,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,19,9.5,1,NA,0,7
"THEORIDDICK","Theo Riddick","RB","DET",33,120,NA,NA,NA,NA,NA,NA,NA,5,21,4.2,0,4,41,10.2,0,NA,0,6
"BISHOPSANKEY","Bishop Sankey","RB","TEN",33,120,NA,NA,NA,NA,NA,NA,NA,17,61,3.6,0,2,9,4.5,0,NA,0,6
"STEPFANTAYLOR","Stepfan Taylor","RB","ARI",33,120,NA,NA,NA,NA,NA,NA,NA,3,9,3,1,1,6,6,0,NA,0,6
"BENNYCUNNINGHAM","Benny Cunningham","RB","STL",33,120,NA,NA,NA,NA,NA,NA,NA,5,31,6.2,0,3,32,10.7,0,NA,0,6
"JONASGRAY","Jonas Gray","RB","NE",33,120,NA,NA,NA,NA,NA,NA,NA,2,9,4.5,1,0,0,0,0,NA,0,6
"KENNYSTILLS","Kenny Stills","WR","NO",43,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,69,17.2,0,NA,0,6
"ALLENROBINSON","Allen Robinson","WR","JAC",43,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,68,11.3,0,NA,0,6
"GREGJENNINGS","Greg Jennings","WR","MIN",43,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,62,15.5,0,NA,0,6
"JERMAINEKEARSE","Jermaine Kearse","WR","SEA",43,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,65,21.7,0,NA,0,6
"CLAYHARBOR","Clay Harbor","TE","JAC",16,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,9,4.5,1,NA,0,6
"GAVINESCOBAR","Gavin Escobar","TE","DAL",16,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,9,1,NA,0,6
"JEREMYHILL","Jeremy Hill","RB","CIN",38,131,NA,NA,NA,NA,NA,NA,NA,7,29,4.1,0,3,39,13,0,NA,0,5
