"name","pos","name_ffn","team_ffn","positionRank_ffn","overallRank_ffn","pts_ffn","passAtt_ffn","passComp_ffn","passYds_ffn","passTds_ffn","passInt_ffn","rushAtt_ffn","rushYds_ffn","rushTds_ffn","rec_ffn","recYds_ffn","recTds_ffn","returnTds_ffn","twoPts_ffn","fumbles_ffn"
"TOMBRADY","QB","Tom Brady","NE",0,0,0,41,26.9,318.2,2.6,0.6,NA,2.8,0.1,NA,NA,NA,NA,NA,0.2
"DREWBREES","QB","Drew Brees","NO",0,0,0,41.5,27.5,314.5,2.1,0.6,NA,1.8,0,NA,NA,NA,NA,NA,0.3
"AARONRODGERS","QB","Aaron Rodgers","GB",0,0,0,33.1,22,284.3,2.6,0.6,NA,17.9,0.1,NA,NA,NA,NA,NA,0.2
"ELIMANNING","QB","Eli Manning","NYG",0,0,0,39.3,24.7,279.9,1.8,1,NA,4.1,0,NA,NA,NA,NA,NA,0.2
"PEYTONMANNING","QB","Peyton Manning","DEN",0,0,0,37.9,23.3,276.7,1.9,1.2,NA,1.1,0,NA,NA,NA,NA,NA,0.2
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",0,0,0,40,23.9,275.3,1.6,1.3,NA,7.1,0.1,NA,NA,NA,NA,NA,0.3
"RYANTANNEHILL","QB","Ryan Tannehill","MIA",0,0,0,38.7,24.3,272.1,1.4,1.4,NA,9,0,NA,NA,NA,NA,NA,0.3
"KIRKCOUSINS","QB","Kirk Cousins","WAS",0,0,0,35.2,22.1,265,1.8,1.1,NA,2.3,0.1,NA,NA,NA,NA,NA,0.2
"BLAKEBORTLES","QB","Blake Bortles","JAC",0,0,0,38.5,22.7,264.9,1.8,1.1,NA,17.2,0,NA,NA,NA,NA,NA,0.2
"DEREKCARR","QB","Derek Carr","OAK",0,0,0,37,22.8,262,1.9,0.8,NA,4.1,0,NA,NA,NA,NA,NA,0.2
"BRIANHOYER","QB","Brian Hoyer","HOU",0,0,0,38.4,22.8,261,1.5,1.1,NA,3.9,0,NA,NA,NA,NA,NA,0.3
"CARSONPALMER","QB","Carson Palmer","ARI",0,0,0,34.7,21.7,258.7,1.7,0.9,NA,1.4,0.1,NA,NA,NA,NA,NA,0.2
"JOSHMCCOWN","QB","Josh McCown","CLE",0,0,0,37.5,22.6,258,1.4,1,NA,11.1,0.1,NA,NA,NA,NA,NA,0.4
"JOEFLACCO","QB","Joe Flacco","BAL",0,0,0,37.4,23.1,256.4,1.7,0.7,NA,2.4,0.1,NA,NA,NA,NA,NA,0.2
"SAMBRADFORD","QB","Sam Bradford","PHI",0,0,0,35.7,21.6,255.4,1.7,1,NA,2.6,0,NA,NA,NA,NA,NA,0.2
"ANDYDALTON","QB","Andy Dalton","CIN",0,0,0,33.9,21.5,254.4,2.1,0.7,NA,10.5,0.1,NA,NA,NA,NA,NA,0.2
"JAYCUTLER","QB","Jay Cutler","CHI",0,0,0,35.5,23.1,244.8,1.2,1.1,NA,10.8,0,NA,NA,NA,NA,NA,0.3
"JAMEISWINSTON","QB","Jameis Winston","TB",0,0,0,33.2,19.6,241.9,1.4,0.9,NA,13.9,0.2,NA,NA,NA,NA,NA,0.3
"MARCUSMARIOTA","QB","Marcus Mariota","TEN",0,0,0,33.9,20.6,240.1,1.4,1.2,NA,11.6,0.1,NA,NA,NA,NA,NA,0.3
"RYANFITZPATRICK","QB","Ryan Fitzpatrick","NYJ",0,0,0,34.4,20.6,233.6,1.7,1,NA,15.1,0.1,NA,NA,NA,NA,NA,0.2
"LANDRYJONES","QB","Landry Jones","PIT",0,0,0,32.5,18.7,224.7,1.5,0.7,NA,6,0.1,NA,NA,NA,NA,NA,0.3
"CAMNEWTON","QB","Cam Newton","CAR",0,0,0,30.8,18,222.9,1.6,1,NA,41.3,0.3,NA,NA,NA,NA,NA,0.2
"TYRODTAYLOR","QB","Tyrod Taylor","BUF",0,0,0,31.6,19.1,217.5,1.3,0.9,NA,31.7,0.1,NA,NA,NA,NA,NA,0.2
"RUSSELLWILSON","QB","Russell Wilson","SEA",0,0,0,29.5,17.8,217.2,1.2,1,NA,36.6,0.1,NA,NA,NA,NA,NA,0.2
"ALEXSMITH","QB","Alex Smith","KC",0,0,0,33,20.4,212.3,1,0.9,NA,18.2,0.1,NA,NA,NA,NA,NA,0.2
"TEDDYBRIDGEWATER","QB","Teddy Bridgewater","MIN",0,0,0,28.7,17.9,210.4,1.1,0.8,NA,13.9,0.1,NA,NA,NA,NA,NA,0.1
"MATTCASSEL","QB","Matt Cassel","DAL",0,0,0,29.7,18.2,207.4,1.3,0.9,NA,8.9,0,NA,NA,NA,NA,NA,0.3
"NICKFOLES","QB","Nick Foles","STL",0,0,0,27.6,16.7,191.4,1.2,0.6,NA,4.3,0.1,NA,NA,NA,NA,NA,0.2
"SHAUNHILL","QB","Shaun Hill","MIN",0,0,0,10.7,6.5,72.8,0.4,0.3,NA,0.6,0,NA,NA,NA,NA,NA,0.2
