"name","pos","name_ffn","team_ffn","positionRank_ffn","overallRank_ffn","pts_ffn","passAtt_ffn","passComp_ffn","passYds_ffn","passTds_ffn","passInt_ffn","rushAtt_ffn","rushYds_ffn","rushTds_ffn","rec_ffn","recYds_ffn","recTds_ffn","returnTds_ffn","twoPts_ffn","fumbles_ffn"
"TOMBRADY","QB","Tom Brady","NE",0,0,0,40.1,26.7,301.6,2.4,0.7,NA,2.7,0.1,NA,NA,NA,NA,NA,0.3
"MATTRYAN","QB","Matt Ryan","ATL",0,0,0,37.3,25.3,299.6,2.1,0.7,NA,4.4,0.1,NA,NA,NA,NA,NA,0.3
"DREWBREES","QB","Drew Brees","NO",0,0,0,41.3,26.9,298.7,1.7,1,NA,2.6,0,NA,NA,NA,NA,NA,0.3
"PHILIPRIVERS","QB","Philip Rivers","SD",0,0,0,36.6,23.9,285,2,0.8,NA,2.4,0,NA,NA,NA,NA,NA,0.2
"PEYTONMANNING","QB","Peyton Manning","DEN",0,0,0,37.8,24.9,279.3,2.1,0.8,NA,0.4,0,NA,NA,NA,NA,NA,0.2
"AARONRODGERS","QB","Aaron Rodgers","GB",0,0,0,33.8,22.6,277.6,2.3,0.5,NA,16.7,0.1,NA,NA,NA,NA,NA,0.2
"ELIMANNING","QB","Eli Manning","NYG",0,0,0,36.6,23,273.7,1.9,0.8,NA,3,0.1,NA,NA,NA,NA,NA,0.2
"CARSONPALMER","QB","Carson Palmer","ARI",0,0,0,36.4,23.5,273.1,2,0.9,NA,2.9,0.1,NA,NA,NA,NA,NA,0.2
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",0,0,0,37.7,23,267.4,1.6,1.3,NA,4.2,0.1,NA,NA,NA,NA,NA,0.3
"KIRKCOUSINS","QB","Kirk Cousins","WAS",0,0,0,34.9,22,256.4,1.4,1.2,NA,4,0.1,NA,NA,NA,NA,NA,0.3
"SAMBRADFORD","QB","Sam Bradford","PHI",0,0,0,35.4,21.6,251.8,1.8,0.8,NA,6,0.1,NA,NA,NA,NA,NA,0.3
"JAYCUTLER","QB","Jay Cutler","CHI",0,0,0,35.7,22,250.9,1.5,1.1,NA,9.2,0.1,NA,NA,NA,NA,NA,0.3
"JOSHMCCOWN","QB","Josh McCown","CLE",0,0,0,33.9,20.4,250.7,1.2,1.1,NA,8.8,0.1,NA,NA,NA,NA,NA,0.3
"ANDYDALTON","QB","Andy Dalton","CIN",0,0,0,34,20.9,249.9,1.6,1,NA,10.9,0.1,NA,NA,NA,NA,NA,0.3
"DEREKCARR","QB","Derek Carr","OAK",0,0,0,37.5,22.1,242,1.4,1.1,NA,8.2,0,NA,NA,NA,NA,NA,0.3
"ALEXSMITH","QB","Alex Smith","KC",0,0,0,32.8,21.5,238.1,1.6,0.7,NA,19.4,0.1,NA,NA,NA,NA,NA,0.2
"BLAKEBORTLES","QB","Blake Bortles","JAC",0,0,0,35.8,21.5,237.9,1.4,1,NA,20.4,0.1,NA,NA,NA,NA,NA,0.2
"BRANDONWEEDEN","QB","Brandon Weeden","DAL",0,0,0,31.6,19.2,235,1.3,1.1,NA,3.6,0.1,NA,NA,NA,NA,NA,0.2
"JOEFLACCO","QB","Joe Flacco","BAL",0,0,0,35,21.4,233.5,1.5,0.9,NA,4,0.1,NA,NA,NA,NA,NA,0.2
"JAMEISWINSTON","QB","Jameis Winston","TB",0,0,0,33.2,19.4,233.2,1.5,1,NA,12.8,0.1,NA,NA,NA,NA,NA,0.3
"RYANMALLETT","QB","Ryan Mallett","HOU",0,0,0,35.3,19.8,232.1,1.2,1,NA,5.2,0.1,NA,NA,NA,NA,NA,0.3
"TYRODTAYLOR","QB","Tyrod Taylor","BUF",0,0,0,32.7,19.8,226.2,1.6,0.9,NA,26.7,0.2,NA,NA,NA,NA,NA,0.2
"MICHAELVICK","QB","Michael Vick","PIT",0,0,0,33.8,20.1,225.7,1.2,0.9,NA,28,0.1,NA,NA,NA,NA,NA,0.2
"RUSSELLWILSON","QB","Russell Wilson","SEA",0,0,0,30.2,18.7,225.6,1.2,0.7,NA,37.3,0.2,NA,NA,NA,NA,NA,0.2
"MARCUSMARIOTA","QB","Marcus Mariota","TEN",0,0,0,31.4,18.6,225,1.6,1,NA,17,0.1,NA,NA,NA,NA,NA,0.2
"NICKFOLES","QB","Nick Foles","STL",0,0,0,32,19,222.2,1.2,1.1,NA,6,0.1,NA,NA,NA,NA,NA,0.3
