"name","pos","name_yahoo","team_yahoo","positionRank_yahoo","overallRank_yahoo","pts_yahoo","passAtt_yahoo","passComp_yahoo","passYds_yahoo","passTds_yahoo","passInt_yahoo","rushAtt_yahoo","rushYds_yahoo","rushTds_yahoo","rec_yahoo","recYds_yahoo","recTds_yahoo","returnTds_yahoo","twoPts_yahoo","fumbles_yahoo"
"ANDREWLUCK","QB","Andrew Luck","IND",1,1,22.11,0,NA,294,2.4,1.3,3.8,17.7,0.1,0,0,0,0,0.1,0.3
"AARONRODGERS","QB","Aaron Rodgers","GB",2,2,21.61,0,NA,246,2.5,0.5,3.5,18.9,0.1,0,0,0,0,0.1,0.3
"DREWBREES","QB","Drew Brees","NO",3,3,21.19,0,NA,339,2.1,0.9,1.5,2.4,0.1,0,0,0,0,0.1,0.3
"DEVONTAFREEMAN","RB","Devonta Freeman","ATL",1,4,20.98,5.1,NA,0,0,0,19.2,92.6,0.9,4.1,37.9,0.2,0,0,0.1
"TOMBRADY","QB","Tom Brady","NE",4,5,20.67,0,NA,304,2,0.7,2.3,2.7,0.2,0,0,0,0,0.1,0.2
"MATTFORTE","RB","Matt Forte","CHI",2,6,19.77,4.5,NA,0,0,0,21.9,98.4,0.6,3.7,34.2,0.2,0,0,0.1
"RUSSELLWILSON","QB","Russell Wilson","SEA",5,7,18.63,0,NA,235,1.4,0.8,7,42.6,0.2,0,0,0,0,0,0.4
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",6,8,18.5,0,NA,280,1.8,0.7,2,6.2,0.1,0,0,0,0,0.1,0.3
"PHILIPRIVERS","QB","Philip Rivers","SD",7,9,18.38,0,NA,297,2,1.4,1.9,4.1,0,0,0,0,0,0.1,0.3
"BLAKEBORTLES","QB","Blake Bortles","JAX",8,10,18.37,0,NA,263,1.6,0.6,3.2,18.8,0.1,0,0,0,0,0,0.3
"LEVEONBELL","RB","Le'Veon Bell","PIT",3,11,18.05,6.1,NA,0,0,0,18.9,81.1,0.5,4.8,38.7,0.2,0,0,0.1
"MATTRYAN","QB","Matt Ryan","ATL",9,12,17.79,0,NA,260,1.8,0.6,2.1,6.9,0.1,0,0,0,0,0,0.2
"PEYTONMANNING","QB","Peyton Manning","DEN",10,13,17.73,0,NA,278,1.8,0.7,1.4,-0.4,0,0,0,0,0,0.1,0.2
"COLINKAEPERNICK","QB","Colin Kaepernick","SF",11,14,17.66,0,NA,229,1,0.5,6.8,42.1,0.2,0,0,0,0,0,0.3
"ANDYDALTON","QB","Andy Dalton","CIN",12,15,17.43,0,NA,265,1.5,1,3.5,10.5,0.1,0,0,0,0,0,0.2
"CARSONPALMER","QB","Carson Palmer","ARI",13,16,17.39,0,NA,263,1.8,0.9,1.5,2.5,0.1,0,0,0,0,0.1,0.1
"ADRIANPETERSON","RB","Adrian Peterson","MIN",4,17,17.29,2.7,NA,0,0,0,19.2,88.3,0.9,2.1,17.5,0.1,0,0,0.2
"ARIANFOSTER","RB","Arian Foster","HOU",5,18,17.22,6.2,NA,0,0,0,17.4,74.9,0.4,4.8,38.4,0.2,0,0,0.1
"ELIMANNING","QB","Eli Manning","NYG",14,19,16.99,0,NA,311,1.4,1,1,2,0,0,0,0,0,0,0.3
"JOEFLACCO","QB","Joe Flacco","BAL",15,20,16.95,0,NA,269,1.6,0.8,2.2,4.6,0.1,0,0,0,0,0,0.2
"RYANTANNEHILL","QB","Ryan Tannehill","MIA",16,21,16.92,0,NA,243,1.8,1.1,2.7,13.2,0.1,0,0,0,0,0,0.3
"SAMBRADFORD","QB","Sam Bradford","PHI",17,22,16.69,0,NA,253,1.7,0.8,1.8,4.9,0.1,0,0,0,0,0,0.3
"TEDDYBRIDGEWATER","QB","Teddy Bridgewater","MIN",18,23,16.4,0,NA,220,1.3,0.6,3.5,18.7,0.2,0,0,0,0,0,0.1
"CAMNEWTON","QB","Cam Newton","CAR",19,24,16.06,0,NA,222,1,0.8,7.7,39.1,0.1,0,0,0,0,0,0.4
"JAYCUTLER","QB","Jay Cutler","CHI",20,25,15.98,0,NA,237,1.6,0.9,2.6,12.1,0.1,0,0,0,0,0,0.4
"JULIANEDELMAN","WR","Julian Edelman","NE",1,26,15.89,10.7,NA,0,0,0,0.7,4.9,0,8,83.3,0.5,0,0,0.1
"MARCUSMARIOTA","QB","Marcus Mariota","TEN",21,27,15.76,0,NA,212,1.5,0.8,3.3,19.9,0.1,0,0,0,0,0,0.3
"ALEXSMITH","QB","Alex Smith","KC",21,27,15.76,0,NA,239,1.1,0.7,4.1,21.6,0.1,0,0,0,0,0,0.2
"DEMARYIUSTHOMAS","WR","Demaryius Thomas","DEN",2,29,15.75,11.1,NA,0,0,0,0,0,0,6.8,88,0.6,0,0,0
"JULIOJONES","WR","Julio Jones","ATL",3,30,15.66,9.8,NA,0,0,0,0,0,0,6.7,86.9,0.6,0,0,0.1
"RYANFITZPATRICK","QB","Ryan Fitzpatrick","NYJ",23,31,15.57,0,NA,230,1.3,0.9,3.9,16.8,0.1,0,0,0,0,0,0.3
"RANDALLCOBB","WR","Randall Cobb","GB",4,32,15.3,8.1,NA,0,0,0,0.5,3.5,0,5.7,76.9,0.7,0,0,0
"AJGREEN","WR","A.J. Green","CIN",5,33,15.26,9.7,NA,0,0,0,0.1,0.9,0,6.2,90.5,0.5,0,0,0.1
"ODELLBECKHAM","WR","Odell Beckham Jr.","NYG",6,34,15.16,10.9,NA,0,0,0,0.4,2.4,0,6.9,90.8,0.4,0,0,0
"DEANDREHOPKINS","WR","DeAndre Hopkins","HOU",7,35,15.11,11.1,NA,0,0,0,0,0,0,6.7,95.9,0.4,0,0,0.1
"EDDIELACY","RB","Eddie Lacy","GB",6,36,14.95,3.2,NA,0,0,0,16.6,82.7,0.5,2.4,16.7,0.2,0,0,0.1
"EMMANUELSANDERS","WR","Emmanuel Sanders","DEN",8,37,14.94,9.3,NA,0,0,0,0.5,3.6,0,6,84.2,0.5,0,0,0
"DEMARCOMURRAY","RB","DeMarco Murray","PHI",7,38,14.79,4.2,NA,0,0,0,14.5,60.9,0.6,3.4,27.1,0.1,0,0,0.1
"BRIANHOYER","QB","Brian Hoyer","HOU",24,39,14.75,0,NA,265,1.2,0.9,1.7,2.8,0,0,0,0,0,0,0.2
"MARKINGRAM","RB","Mark Ingram","NO",8,40,14.61,4.8,NA,0,0,0,12.7,53.1,0.6,4.1,31,0.1,0,0,0.1
"CALVINJOHNSON","WR","Calvin Johnson","DET",9,41,14.48,9,NA,0,0,0,0,0,0,5.6,81.1,0.6,0,0,0
"MIKEVICK","QB","Mike Vick","PIT",25,42,14.41,0,NA,230,1.3,1.3,5.5,16.5,0.1,0,0,0,0,0,0.5
"ROBGRONKOWSKI","TE","Rob Gronkowski","NE",1,43,14.26,9.2,NA,0,0,0,0,0,0,5.9,73.1,0.7,0,0,0
"LARRYFITZGERALD","WR","Larry Fitzgerald","ARI",10,44,14.17,9.3,NA,0,0,0,0,0,0,6,77.4,0.6,0,0,0
"MARSHAWNLYNCH","RB","Marshawn Lynch","SEA",9,45,14.11,3.2,NA,0,0,0,18.3,80.4,0.4,2.6,20.3,0.1,0,0,0.1
"TYHILTON","WR","T.Y. Hilton","IND",11,46,14.06,9.1,NA,0,0,0,0.2,1.4,0,5.7,78.8,0.5,0,0,0.1
"ANTONIOBROWN","WR","Antonio Brown","PIT",12,47,13.89,9.5,NA,0,0,0,0.1,0.8,0,6.1,80.2,0.4,0.1,0,0
"JEREMYMACLIN","WR","Jeremy Maclin","KC",13,48,13.7,9.9,NA,0,0,0,0.2,1.4,0,6.4,83.8,0.3,0,0,0
"ALLENROBINSON","WR","Allen Robinson","JAX",14,49,13.46,8.6,NA,0,0,0,0,0,0,5.5,79.8,0.5,0,0,0
