"name","pos","name_yahoo","team_yahoo","positionRank_yahoo","overallRank_yahoo","pts_yahoo","passAtt_yahoo","passComp_yahoo","passYds_yahoo","passTds_yahoo","passInt_yahoo","rushAtt_yahoo","rushYds_yahoo","rushTds_yahoo","rec_yahoo","recYds_yahoo","recTds_yahoo","returnTds_yahoo","twoPts_yahoo","fumbles_yahoo"
"AARONRODGERS","QB","Aaron Rodgers","GB",1,1,20.36,0,NA,258,2.1,0.5,3.5,18.2,0.1,0,0,0,0,0.1,0.3
"RUSSELLWILSON","QB","Russell Wilson","SEA",2,2,20.12,0,NA,211,1.8,0.6,6.6,41.5,0.2,0,0,0,0,0.1,0.3
"ANDREWLUCK","QB","Andrew Luck","IND",3,3,19.84,0,NA,260,2.1,1,3.6,17.2,0.1,0,0,0,0,0.1,0.3
"CAMNEWTON","QB","Cam Newton","CAR",4,4,19.55,0,NA,223,1.4,0.8,7.8,42.7,0.3,0,0,0,0,0,0.3
"TOMBRADY","QB","Tom Brady","NE",5,5,19.33,0,NA,260,2.1,0.4,2.6,3.1,0.1,0,0,0,0,0.1,0.2
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",6,6,18.75,0,NA,304,1.8,0.8,2.1,6.3,0,0,0,0,0,0,0.3
"PEYTONMANNING","QB","Peyton Manning","DEN",7,7,18.74,0,NA,299,1.9,0.9,1.4,-0.4,0,0,0,0,0,0.1,0.2
"ANTONIOBROWN","WR","Antonio Brown","PIT",1,8,18.64,10.8,NA,0,0,0,0.4,2.5,0,7.6,104,0.6,0.1,0,0
"CARSONPALMER","QB","Carson Palmer","ARI",8,9,18.38,0,NA,266,2,0.9,1.5,2.6,0.1,0,0,0,0,0.1,0.1
"ELIMANNING","QB","Eli Manning","NYG",9,10,17.56,0,NA,291,1.7,1,1,2,0,0,0,0,0,0,0.3
"MATTRYAN","QB","Matt Ryan","ATL",10,11,17.54,0,NA,291,1.5,0.8,2,6.4,0.1,0,0,0,0,0,0.2
"COLINKAEPERNICK","QB","Colin Kaepernick","SF",10,11,17.54,0,NA,252,1,0.6,6.2,37.7,0.1,0,0,0,0,0,0.3
"MARCUSMARIOTA","QB","Marcus Mariota","TEN",12,13,17.22,0,NA,237,1.6,0.9,4.2,25,0.1,0,0,0,0,0,0.5
"LEVEONBELL","RB","Le'Veon Bell","PIT",1,14,17.17,5.6,NA,0,0,0,17,73,0.5,4.5,37.2,0.2,0,0,0.1
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",13,15,17.14,0,NA,276,1.6,1,2.3,7.3,0.1,0,0,0,0,0,0.3
"RYANTANNEHILL","QB","Ryan Tannehill","MIA",14,16,17.05,0,NA,274,1.4,1,3.1,14.9,0.1,0,0,0,0,0,0.3
