"name","pos","name_yahoo","team_yahoo","positionRank_yahoo","overallRank_yahoo","pts_yahoo","passAtt_yahoo","passComp_yahoo","passYds_yahoo","passTds_yahoo","passInt_yahoo","rushAtt_yahoo","rushYds_yahoo","rushTds_yahoo","rec_yahoo","recYds_yahoo","recTds_yahoo","returnTds_yahoo","twoPts_yahoo","fumbles_yahoo"
"KEVINWHITE","WR","Kevin White","CHI",65,150,6.93,4.6,NA,0,0,0,0,0,0,2.7,38.2,0.3,0,0,0
"DIONLEWIS","RB","Dion Lewis","NE",39,151,6.88,3.7,NA,0,0,0,4.2,18.2,0.1,2.8,22.5,0.1,0,0,0
"ALLENHURNS","WR","Allen Hurns","JAX",66,152,6.86,4.9,NA,0,0,0,0.2,1.5,0,2.9,39.2,0.2,0,0,0
"OWENDANIELS","TE","Owen Daniels","DEN",16,153,6.8,4.3,NA,0,0,0,0,0,0,2.9,33.2,0.3,0,0,0
"MARKUSWHEATON","WR","Markus Wheaton","PIT",67,154,6.71,4.8,NA,0,0,0,0.2,1.6,0,2.9,39.8,0.2,0,0,0
"COLEBEASLEY","WR","Cole Beasley","DAL",68,155,6.66,5.2,NA,0,0,0,0,0,0,3.1,36.6,0.3,0,0,0
"CHARLESCLAY","TE","Charles Clay","BUF",17,156,6.61,5.2,NA,0,0,0,0,0,0,3.2,35.2,0.2,0,0,0
"JORDANREED","TE","Jordan Reed","WAS",18,157,6.57,5.1,NA,0,0,0,0,0,0,3.3,34.3,0.3,0,0,0
"RONNIEHILLMAN","RB","Ronnie Hillman","DEN",40,158,6.51,1.3,NA,0,0,0,7.3,31.4,0.3,1.1,9.5,0.1,0,0,0.1
"JAREDCOOK","TE","Jared Cook","STL",19,159,6.48,4.7,NA,0,0,0,0,0,0,3.1,36.5,0.2,0,0,0
"AUSTINSEFERIANJENKINS","TE","Austin Seferian-Jenkins","RIA",20,160,6.45,4.4,NA,0,0,0,0,0,0,2.9,35.7,0.2,0,0,0
"DARRENSPROLES","RB","Darren Sproles","PHI",41,161,6.38,3.4,NA,0,0,0,3.3,15.3,0.1,2.6,20.7,0.1,0.1,0,0
"MARVINJONES","WR","Marvin Jones","CIN",69,162,6.34,4.4,NA,0,0,0,0.1,0.9,0,2.7,35,0.2,0,0,0
"RYANMATHEWS","RB","Ryan Mathews","PHI",42,163,6.33,0.9,NA,0,0,0,9.1,40.9,0.2,0.7,5.6,0,0,0,0.1
"CHARLESSIMS","RB","Charles Sims","TB",43,164,6.29,3.2,NA,0,0,0,5,20.1,0.1,2.5,20.8,0.1,0,0,0.1
"DAVIDJOHNSON","RB","David Johnson","ARI",44,165,6.21,2.4,NA,0,0,0,5,21,0.2,2,16.3,0.1,0,0,0
