"name","pos","name_yahoo","team_yahoo","positionRank_yahoo","overallRank_yahoo","pts_yahoo","passAtt_yahoo","passComp_yahoo","passYds_yahoo","passTds_yahoo","passInt_yahoo","rushAtt_yahoo","rushYds_yahoo","rushTds_yahoo","rec_yahoo","recYds_yahoo","recTds_yahoo","returnTds_yahoo","twoPts_yahoo","fumbles_yahoo"
"CAMNEWTON","QB","Cam Newton","CAR",1,1,24.04,0,NA,226,2.3,0.7,8.8,44.4,0.4,0,0,0,0,0.1,0.3
"TOMBRADY","QB","Tom Brady","NE",2,2,23.17,0,NA,282,2.9,0.7,2.3,2.9,0.1,0,0,0,0,0.1,0.2
"AARONRODGERS","QB","Aaron Rodgers","GB",3,3,21.28,0,NA,269,2.2,0.2,3.3,18.3,0.1,0,0,0,0,0.1,0.3
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",4,4,20.3,0,NA,299,2.1,0.8,1.9,6.4,0.1,0,0,0,0,0.1,0.3
"CARSONPALMER","QB","Carson Palmer","ARI",5,5,19.59,0,NA,296,2,0.8,1.8,2.9,0.1,0,0,0,0,0.1,0.1
"DREWBREES","QB","Drew Brees","NO",6,6,19.43,0,NA,333,1.8,1.1,1.4,2,0,0,0,0,0,0,0.3
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",7,7,19.23,0,NA,296,2,1,2.1,6.2,0.1,0,0,0,0,0.1,0.3
"ELIMANNING","QB","Eli Manning","NYG",8,8,19.12,0,NA,296,2.1,0.8,1.2,2.4,0,0,0,0,0,0.1,0.3
"ANDYDALTON","QB","Andy Dalton","CIN",9,9,19.09,0,NA,238,2.1,0.8,4.2,12.7,0.2,0,0,0,0,0.1,0.2
"DEVONTAFREEMAN","RB","Devonta Freeman","ATL",1,10,18.93,6.8,NA,0,0,0,20.4,78,0.5,5.5,50,0.2,0,0,0.1
"RYANFITZPATRICK","QB","Ryan Fitzpatrick","NYJ",10,11,18.91,0,NA,241,2,1.4,4.5,19.4,0.2,0,0,0,0,0.1,0.3
"LESEANMCCOY","RB","LeSean McCoy","BUF",2,12,18.85,5.1,NA,0,0,0,19.9,100,0.6,4.1,29.1,0.1,0,0,0.2
"RYANTANNEHILL","QB","Ryan Tannehill","MIA",11,13,18.49,0,NA,260,1.9,0.6,2.5,11.9,0.1,0,0,0,0,0.1,0.3
"ANTONIOBROWN","WR","Antonio Brown","PIT",1,13,18.49,12.3,NA,0,0,0,0.3,1.7,0,7.9,110,0.6,0,0,0
"PHILIPRIVERS","QB","Philip Rivers","SD",12,15,17.85,0,NA,314,1.6,0.9,1.6,3.5,0,0,0,0,0,0,0.3
"DEANGELOWILLIAMS","RB","DeAngelo Williams","PIT",3,16,17.73,3.3,NA,0,0,0,21,106,0.6,2.5,18.9,0.1,0,0,0.2
"BLAKEBORTLES","QB","Blake Bortles","JAX",13,17,17.71,0,NA,256,1.7,1.1,3.3,19.1,0,0,0,0,0,0,0.3
"DEREKCARR","QB","Derek Carr","OAK",14,18,17.67,0,NA,281,1.8,1.1,2,5.6,0,0,0,0,0,0.1,0.4
"RUSSELLWILSON","QB","Russell Wilson","SEA",15,19,17.56,0,NA,224,1.3,0.6,6.2,38.5,0.2,0,0,0,0,0,0.4
"MATTRYAN","QB","Matt Ryan","ATL",16,20,17.3,0,NA,298,1.4,1,2.4,7.5,0,0,0,0,0,0,0.2
"ADRIANPETERSON","RB","Adrian Peterson","MIN",4,21,17.19,2.6,NA,0,0,0,21.5,101,0.8,2,16.7,0,0,0,0.2
"JULIOJONES","WR","Julio Jones","ATL",2,22,17.09,11.6,NA,0,0,0,0,0,0,7.9,103,0.5,0,0,0.1
"MARCUSMARIOTA","QB","Marcus Mariota","TEN",17,23,17.06,0,NA,229,1.8,0.8,2.8,18.4,0.1,0,0,0,0,0,0.4
"MARKINGRAM","RB","Mark Ingram","NO",5,24,17.02,6.1,NA,0,0,0,15.7,65.6,0.5,5.1,39.2,0.2,0,0,0.1
"MATTHASSELBECK","QB","Matt Hasselbeck","IND",18,25,16.89,0,NA,277,1.8,1.4,2.4,6.9,0,0,0,0,0,0,0.4
"CALVINJOHNSON","WR","Calvin Johnson","DET",3,26,16.68,10,NA,0,0,0,0,0,0,6.5,89.7,0.7,0,0,0
"JAYCUTLER","QB","Jay Cutler","CHI",19,27,16.53,0,NA,239,1.6,0.7,3,14,0.1,0,0,0,0,0,0.3
"ODELLBECKHAM","WR","Odell Beckham Jr.","NYG",4,28,16.46,10.7,NA,0,0,0,0.1,0.8,0,6.8,94.7,0.6,0,0,0
