displayName,team,passCmp,passAtt,passYds,passTD,passInt,rushYds,rushTD,fumblesLost
Andrew Luck,IND,23.9,38.8,292.1,2.3,0.8,15.6,0.1,0.3
Peyton Manning,DEN,25.4,38.5,291.9,2.1,0.9,0.1,0.0,0.2
Matt Ryan,ATL,25.0,38.3,285.2,2.0,1.0,5.4,0.0,0.2
Aaron Rodgers,GB,22.6,34.5,276.7,2.5,0.5,18.0,0.1,0.1
Carson Palmer,ARI,23.3,35.8,274.2,2.1,0.9,4.7,0.1,0.2
Joe Flacco,BAL,23.9,37.9,269.1,1.7,0.8,5.4,0.1,0.2
Eli Manning,NYG,22.9,37.1,265.8,1.5,1.1,3.9,0.0,0.3
Drew Brees,NO,23.7,36.7,263.6,1.7,0.9,3.6,0.1,0.2
Philip Rivers,SD,22.2,34.5,261.1,1.9,0.9,2.2,0.0,0.2
Sam Bradford,PHI,22.6,36.1,260.4,1.6,0.9,4.5,0.1,0.3
Ryan Tannehill,MIA,23.5,37.5,258.6,1.5,1.1,11.8,0.1,0.3
Derek Carr,OAK,23.4,37.6,256.2,1.8,0.9,6.5,0.1,0.3
Kirk Cousins,WAS,20.8,34.1,252.0,1.3,1.3,4.7,0.0,0.2
Matthew Stafford,DET,22.7,37.8,251.5,1.3,1.2,6.0,0.0,0.3
Andy Dalton,CIN,20.7,34.1,250.9,1.8,1.0,10.7,0.1,0.2
Cam Newton,CAR,20.3,32.4,235.2,1.5,0.9,37.7,0.3,0.3
Blake Bortles,JAC,20.3,34.6,234.7,1.4,1.1,18.3,0.1,0.3
Ryan Mallett,HOU,20.8,35.3,233.1,1.2,1.0,7.5,0.1,0.3
Ryan Fitzpatrick,NYJ,19.8,33.0,230.3,1.5,1.0,12.2,0.1,0.2
Russell Wilson,SEA,18.3,29.4,229.5,1.6,0.7,34.1,0.3,0.2
Jameis Winston,TB,18.8,32.7,229.0,1.4,1.2,13.8,0.1,0.3
Tyrod Taylor,BUF,19.6,32.2,227.3,1.6,1.0,27.3,0.1,0.2
Josh McCown,CLE,18.7,32.3,226.9,1.1,1.1,12.2,0.1,0.3
Michael Vick,PIT,19.1,32.7,223.4,1.2,0.9,24.1,0.1,0.3
Alex Smith,KC,20.9,33.7,222.5,1.3,0.8,17.2,0.1,0.2
Brandon Weeden,DAL,19.4,31.3,219.9,1.3,0.8,3.4,0.0,0.3
Nick Foles,STL,20.1,33.1,216.0,1.0,1.2,9.6,0.1,0.3
