"name","pos","name_actual","team_actual","positionRank_actual","overallRank_actual","pts_actual","passAtt_actual","passComp_actual","passYds_actual","passTds_actual","passInt_actual","rushAtt_actual","rushYds_actual","rushTds_actual","rec_actual","recYds_actual","recTds_actual","returnTds_actual","twoPts_actual","fumbles_actual"
"CARSONPALMER","QB","Carson Palmer","ARI",1,1,20.7,0,NA,310,2,0,3,3,0,0,0,0,0,0,0
"MICHAELFLOYD","WR","Michael Floyd","ARI",1,2,18.7,9,NA,0,0,0,0,0,0,5,102,1,0,0,0
"JOHNBROWN","WR","John Brown","ARI",2,3,15.8,5,NA,0,0,0,0,0,0,4,78,1,0,0,0
"TEDDYBRIDGEWATER","QB","Teddy Bridgewater","MIN",2,4,15.7,0,NA,335,1,0,1,3,0,0,0,0,0,0,1
"DAVIDJOHNSON","RB","David Johnson","ARI",1,5,14.8,7,NA,0,0,0,19,92,0,5,31,0,0,0,0
"TEDGINN","WR","Ted Ginn Jr.","CAR",3,6,13.9,2,NA,NA,NA,NA,NA,NA,NA,1,74,1,0,0,NA
"ADRIANPETERSON","RB","Adrian Peterson","MIN",2,7,13.1,1,NA,0,0,0,23,69,1,1,17,0,0,0,1
"ISAIAHCROWELL","RB","Isaiah Crowell","CLE",2,7,13.1,1,NA,NA,NA,NA,6,57,1,1,9,0,NA,NA,NA
"JONATHANSTEWART","RB","Jonathan Stewart","CAR",4,9,12.8,NA,NA,NA,NA,NA,6,68,1,NA,NA,NA,NA,NA,NA
"SAMMYWATKINS","WR","Sammy Watkins","BUF",4,10,12.2,3,NA,NA,NA,NA,1,1,0,2,51,1,NA,NA,NA
"ERICDECKER","WR","Eric Decker","NYJ",5,11,12.1,3,NA,NA,NA,NA,NA,NA,NA,3,46,1,NA,NA,NA
"MIKEWALLACE","WR","Mike Wallace","MIN",6,12,11.7,5,NA,0,0,0,0,0,0,3,42,1,0,0,0
"KYLERUDOLPH","TE","Kyle Rudolph","MIN",1,13,9.7,6,NA,0,0,0,0,0,0,6,67,0,0,0,0
"DEANGELOWILLIAMS","RB","DeAngelo Williams","PIT",5,14,9.5,NA,NA,NA,NA,NA,10,35,1,NA,NA,NA,NA,NA,NA
"RYANFITZPATRICK","QB","Ryan Fitzpatrick","NYJ",3,15,9.06,NA,NA,74,1,0,2,21,0,NA,NA,NA,NA,NA,NA
"CAMNEWTON","QB","Cam Newton","CAR",4,16,8.66,NA,NA,109,1,0,1,3,0,NA,NA,NA,NA,NA,NA
"ALFREDMORRIS","RB","Alfred Morris","WAS",6,17,7.7,NA,NA,NA,NA,NA,8,17,1,NA,NA,NA,NA,NA,NA
"TYRODTAYLOR","QB","Tyrod Taylor","BUF",5,18,7.68,NA,NA,92,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DARRENSPROLES","RB","Darren Sproles","PHI",7,19,7.6,NA,NA,NA,NA,NA,2,16,1,NA,NA,NA,0,0,NA
"TYLERLOCKETT","WR","Tyler Lockett","SEA",7,20,7.3,1,NA,NA,NA,NA,NA,NA,NA,1,8,1,NA,NA,NA
"MARQUESCOLSTON","WR","Marques Colston","NO",8,21,6.8,1,NA,NA,NA,NA,NA,NA,NA,1,3,1,NA,NA,NA
"ANTONIOBROWN","WR","Antonio Brown","PIT",9,22,6.6,3,NA,NA,NA,NA,NA,NA,NA,3,51,0,NA,NA,NA
"LARRYFITZGERALD","WR","Larry Fitzgerald","ARI",9,22,6.6,6,NA,0,0,0,0,0,0,5,41,0,0,0,0
"DREWBREES","QB","Drew Brees","NO",6,24,6.36,NA,NA,59,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GARYBARNIDGE","TE","Gary Barnidge","CLE",2,25,6.3,2,NA,NA,NA,NA,NA,NA,NA,2,53,0,NA,NA,NA
"TYHILTON","WR","T.Y. Hilton","IND",11,26,6.2,1,NA,NA,NA,NA,NA,NA,NA,1,57,0,NA,NA,NA
"JEREMYMACLIN","WR","Jeremy Maclin","KC",12,27,5.8,4,NA,NA,NA,NA,NA,NA,NA,4,38,0,NA,NA,NA
"DARRENFELLS","TE","Darren Fells","ARI",3,27,5.8,4,NA,0,0,0,0,0,0,3,43,0,0,0,0
"KIRKCOUSINS","QB","Kirk Cousins","WAS",7,29,5.42,NA,NA,108,0,0,2,11,0,NA,NA,NA,NA,NA,NA
"RUSSELLWILSON","QB","Russell Wilson","SEA",8,30,5.36,NA,NA,34,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TYLEREIFERT","TE","Tyler Eifert","CIN",4,31,5.2,2,NA,NA,NA,NA,NA,NA,NA,2,42,0,NA,NA,NA
"JORDANREED","TE","Jordan Reed","WAS",5,32,5,3,NA,NA,NA,NA,NA,NA,NA,3,35,0,NA,NA,NA
"TAVONAUSTIN","WR","Tavon Austin","STL",13,33,4.8,2,NA,NA,NA,NA,2,33,0,2,5,0,0,0,NA
"GREGOLSEN","TE","Greg Olsen","CAR",6,34,4.5,2,NA,NA,NA,NA,NA,NA,NA,2,35,0,NA,NA,0
"THOMASRAWLS","RB","Thomas Rawls","SEA",8,35,4.4,NA,NA,NA,NA,NA,6,44,0,NA,NA,NA,NA,NA,NA
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",9,36,4.12,NA,NA,103,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JERMAINEKEARSE","WR","Jermaine Kearse","SEA",14,37,4.1,3,NA,NA,NA,NA,NA,NA,NA,3,26,0,NA,NA,NA
"MATTASIATA","RB","Matt Asiata","MIN",9,38,4,2,NA,0,0,0,0,0,0,2,30,0,0,0,0
"BENJAMINWATSON","TE","Benjamin Watson","NO",7,39,3.8,2,NA,NA,NA,NA,NA,NA,NA,2,28,0,NA,NA,NA
"ROBERTWOODS","WR","Robert Woods","BUF",15,40,3.7,1,NA,NA,NA,NA,NA,NA,NA,1,32,0,NA,NA,NA
"TJYELDON","RB","T.J. Yeldon","JAX",10,41,3.6,NA,NA,NA,NA,NA,6,36,0,NA,NA,NA,NA,NA,NA
"MARKUSWHEATON","WR","Markus Wheaton","PIT",16,41,3.6,1,NA,NA,NA,NA,NA,NA,NA,1,31,0,NA,NA,NA
"HEATHMILLER","TE","Heath Miller","PIT",8,41,3.6,3,NA,NA,NA,NA,NA,NA,NA,3,21,0,NA,NA,NA
"DUKEJOHNSON","RB","Duke Johnson Jr.","CLE",11,44,3.3,1,NA,NA,NA,NA,4,33,0,0,0,0,NA,NA,NA
"JOHNNYMANZIEL","QB","Johnny Manziel","CLE",10,45,3.2,NA,NA,80,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRANDINCOOKS","WR","Brandin Cooks","NO",17,46,3,2,NA,NA,NA,NA,NA,NA,NA,2,20,0,NA,NA,NA
"JAVONTEEHERNDON","WR","Javontee Herndon","SD",18,47,2.8,3,NA,NA,NA,NA,NA,NA,NA,2,18,0,0,0,NA
"BRANDONMARSHALL","WR","Brandon Marshall","NYJ",19,48,2.6,4,NA,NA,NA,NA,NA,NA,NA,2,16,0,NA,NA,NA
"ZACHERTZ","TE","Zach Ertz","PHI",9,48,2.6,1,NA,NA,NA,NA,NA,NA,NA,1,21,0,NA,NA,NA
"MATTHASSELBECK","QB","Matt Hasselbeck","IND",11,48,2.6,NA,NA,65,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TODDGURLEY","RB","Todd Gurley","STL",12,51,2.5,1,NA,NA,NA,NA,5,13,0,1,7,0,NA,NA,NA
"AJGREEN","WR","A.J. Green","CIN",20,52,2.2,1,NA,NA,NA,NA,NA,NA,NA,1,17,0,NA,NA,NA
"LESEANMCCOY","RB","LeSean McCoy","BUF",13,52,2.2,NA,NA,NA,NA,NA,4,22,0,NA,NA,NA,NA,NA,NA
"DEVONTAFREEMAN","RB","Devonta Freeman","ATL",13,52,2.2,NA,NA,NA,NA,NA,4,22,0,NA,NA,NA,NA,NA,NA
"FRANKGORE","RB","Frank Gore","IND",13,52,2.2,2,NA,NA,NA,NA,5,22,0,0,0,0,NA,NA,NA
"STEFONDIGGS","WR","Stefon Diggs","MIN",20,52,2.2,7,NA,0,0,0,0,0,0,2,12,0,0,0,0
"TIMHIGHTOWER","RB","Tim Hightower","NO",13,52,2.2,NA,NA,NA,NA,NA,5,22,0,NA,NA,NA,NA,NA,NA
"TORREYSMITH","WR","Torrey Smith","SF",20,52,2.2,2,NA,NA,NA,NA,NA,NA,NA,1,17,0,NA,NA,NA
"ANTONIOGATES","TE","Antonio Gates","SD",10,59,2.1,1,NA,NA,NA,NA,NA,NA,NA,1,16,0,NA,NA,NA
"WILLIESNEAD","WR","Willie Snead","NO",23,59,2.1,2,NA,NA,NA,NA,NA,NA,NA,2,11,0,NA,NA,NA
"CHRISIVORY","RB","Chris Ivory","NYJ",17,61,1.8,1,NA,NA,NA,NA,7,18,0,0,0,0,NA,NA,NA
"AUSTINSEFERIANJENKINS","TE","Austin Seferian-Jenkins","RIA",11,61,1.8,2,NA,NA,NA,NA,NA,NA,NA,1,13,0,NA,NA,NA
"JAMISONCROWDER","WR","Jamison Crowder","WAS",24,61,1.8,1,NA,NA,NA,NA,NA,NA,NA,1,13,0,0,0,NA
"GOLDENTATE","WR","Golden Tate","DET",25,64,1.7,2,NA,NA,NA,NA,NA,NA,NA,2,7,0,0,0,NA
"JEREMYLANGFORD","RB","Jeremy Langford","CHI",18,64,1.7,1,NA,NA,NA,NA,1,3,0,1,9,0,NA,NA,NA
"CAMERONBRATE","TE","Cameron Brate","TB",12,66,1.6,1,NA,NA,NA,NA,NA,NA,NA,1,11,0,NA,NA,NA
"PHILIPRIVERS","QB","Philip Rivers","SD",12,67,1.52,NA,NA,38,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALEXSMITH","QB","Alex Smith","KC",12,67,1.52,NA,NA,38,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZACHMILLER","TE","Zach Miller","CHI",13,69,1.5,1,NA,NA,NA,NA,NA,NA,NA,1,10,0,NA,NA,NA
"BRIANHARTLINE","WR","Brian Hartline","CLE",26,69,1.5,2,NA,NA,NA,NA,NA,NA,NA,1,10,0,NA,NA,0
"CHARLESCLAY","TE","Charles Clay","BUF",14,71,1.4,2,NA,NA,NA,NA,NA,NA,NA,1,9,0,NA,NA,NA
"ANDYDALTON","QB","Andy Dalton","CIN",14,72,1.36,NA,NA,59,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAMBRADFORD","QB","Sam Bradford","PHI",15,73,1.32,NA,NA,33,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOUGMARTIN","RB","Doug Martin","TB",19,74,1.3,NA,NA,NA,NA,NA,4,13,0,NA,NA,NA,NA,NA,NA
"TRAVISBENJAMIN","WR","Travis Benjamin","CLE",27,74,1.3,2,NA,NA,NA,NA,NA,NA,NA,1,8,0,0,0,NA
"PIERREGARCON","WR","Pierre Garcon","WAS",27,74,1.3,2,NA,NA,NA,NA,NA,NA,NA,1,8,0,NA,NA,NA
"RYANMATHEWS","RB","Ryan Mathews","PHI",19,74,1.3,1,NA,NA,NA,NA,2,5,0,1,3,0,NA,NA,NA
"ANDREJOHNSON","WR","Andre Johnson","IND",27,74,1.3,1,NA,NA,NA,NA,NA,NA,NA,1,8,0,NA,NA,NA
"NELSONAGHOLOR","WR","Nelson Agholor","PHI",27,74,1.3,2,NA,NA,NA,NA,NA,NA,NA,1,8,0,NA,NA,NA
"JERICKMCKINNON","RB","Jerick McKinnon","MIN",19,74,1.3,1,NA,0,0,0,0,0,0,1,8,0,0,0,0
"JEREMYHILL","RB","Jeremy Hill","CIN",22,81,1.2,NA,NA,NA,NA,NA,4,12,0,NA,NA,NA,NA,NA,NA
"SPENCERWARE","RB","Spencer Ware","KC",22,81,1.2,NA,NA,NA,NA,NA,3,12,0,NA,NA,NA,NA,NA,NA
"JACOBTAMME","TE","Jacob Tamme","ATL",15,83,1.1,1,NA,NA,NA,NA,NA,NA,NA,1,6,0,NA,NA,NA
"BLAINEGABBERT","QB","Blaine Gabbert","SF",16,84,1.08,NA,NA,27,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JULIUSTHOMAS","TE","Julius Thomas","JAX",16,85,1,1,NA,NA,NA,NA,NA,NA,NA,1,5,0,NA,NA,NA
