"name","pos","name_actual","team_actual","positionRank_actual","overallRank_actual","pts_actual","passAtt_actual","passComp_actual","passYds_actual","passTds_actual","passInt_actual","rushAtt_actual","rushYds_actual","rushTds_actual","rec_actual","recYds_actual","recTds_actual","returnTds_actual","twoPts_actual","fumbles_actual"
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",1,1,34.78,0,NA,337,5,0,2,13,0,0,0,0,0,0,0
"ADRIANPETERSON","RB","Adrian Peterson","MIN",1,2,31.7,4,NA,NA,NA,NA,29,158,2,2,29,0,NA,NA,NA
"CALVINJOHNSON","WR","Calvin Johnson","DET",1,3,31.3,14,NA,0,0,0,0,0,0,8,93,3,0,0,0
"SAMMYWATKINS","WR","Sammy Watkins","BUF",2,4,30.8,10,NA,NA,NA,NA,NA,NA,NA,6,158,2,NA,NA,NA
"BRANDONMARSHALL","WR","Brandon Marshall","NYJ",3,5,29.6,11,NA,NA,NA,NA,NA,NA,NA,9,131,2,NA,NA,NA
"JARVISLANDRY","WR","Jarvis Landry","MIA",4,6,29.4,16,NA,NA,NA,NA,1,4,0,13,165,1,0,0,NA
"RYANFITZPATRICK","QB","Ryan Fitzpatrick","NYJ",2,7,29.18,NA,NA,277,4,0,5,21,0,NA,NA,NA,NA,NA,0
"PHILIPRIVERS","QB","Philip Rivers","SD",3,8,28.9,NA,NA,300,4,0,5,9,0,NA,NA,NA,NA,NA,NA
"JEREMYMACLIN","WR","Jeremy Maclin","KC",5,9,26.5,11,NA,NA,NA,NA,NA,NA,NA,9,160,1,NA,NA,NA
"TYRODTAYLOR","QB","Tyrod Taylor","BUF",4,10,26.24,NA,NA,291,3,0,5,46,0,NA,NA,NA,NA,NA,1
"ODELLBECKHAM","WR","Odell Beckham Jr.","NYG",6,11,24.7,18,NA,NA,NA,NA,NA,NA,NA,9,142,1,NA,NA,NA
"TYHILTON","WR","T.Y. Hilton","IND",7,12,24.5,12,NA,NA,NA,NA,NA,NA,NA,6,95,2,NA,NA,0
"DEREKCARR","QB","Derek Carr","OAK",5,13,23.7,0,NA,330,3,0,4,5,0,0,0,0,NA,NA,1
"BLAKEBORTLES","QB","Blake Bortles","JAX",6,14,23.46,NA,NA,329,2,1,6,33,0,NA,NA,NA,NA,NA,NA
"RYANTANNEHILL","QB","Ryan Tannehill","MIA",7,15,23.04,NA,NA,351,3,1,0,0,0,NA,NA,NA,NA,NA,1
"KIRKCOUSINS","QB","Kirk Cousins","WAS",8,16,22.18,NA,NA,302,1,0,4,1,1,NA,NA,NA,NA,NA,0
"JULIUSTHOMAS","TE","Julius Thomas","JAX",1,17,22.1,10,NA,NA,NA,NA,NA,NA,NA,9,116,1,NA,NA,NA
"ALEXSMITH","QB","Alex Smith","KC",9,18,21.7,NA,NA,255,2,0,6,35,0,NA,NA,NA,NA,NA,NA
"MARCUSMARIOTA","QB","Marcus Mariota","TEN",10,19,21.42,NA,NA,218,3,2,1,7,0,NA,NA,NA,0,1,NA
"AJGREEN","WR","A.J. Green","CIN",8,20,21.1,8,NA,NA,NA,NA,NA,NA,NA,6,61,2,NA,NA,NA
"ANDYDALTON","QB","Andy Dalton","CIN",11,21,20.72,NA,NA,233,3,1,2,4,0,NA,NA,NA,NA,NA,NA
"MATTHASSELBECK","QB","Matt Hasselbeck","IND",12,22,20.3,NA,NA,315,2,0,3,-3,0,NA,NA,NA,NA,NA,NA
"EDDIELACY","RB","Eddie Lacy","GB",2,23,19.9,5,NA,0,0,0,17,105,0,4,34,1,0,0,1
"ANTONIOGATES","TE","Antonio Gates","SD",2,24,19.3,6,NA,NA,NA,NA,NA,NA,NA,4,53,2,NA,NA,NA
"SPENCERWARE","RB","Spencer Ware","KC",3,25,19,3,NA,NA,NA,NA,19,114,1,3,1,0,NA,NA,NA
"STEVEJOHNSON","WR","Stevie Johnson","SD",9,26,18.7,10,NA,NA,NA,NA,NA,NA,NA,7,92,1,NA,NA,NA
"TAVONAUSTIN","WR","Tavon Austin","STL",10,27,18.6,6,NA,NA,NA,NA,4,63,1,6,33,0,0,0,NA
"ELIMANNING","QB","Eli Manning","NYG",13,28,17.84,0,NA,321,2,3,0,0,0,0,0,0,NA,NA,0
"CAMNEWTON","QB","Cam Newton","CAR",14,29,17.82,0,NA,183,0,0,12,45,1,0,0,0,0,0,0
"CHRISIVORY","RB","Chris Ivory","NYJ",4,30,17.2,2,NA,NA,NA,NA,21,87,1,2,15,0,NA,NA,NA
"DEVANTEPARKER","WR","DeVante Parker","MIA",11,31,16,10,NA,NA,NA,NA,NA,NA,NA,4,80,1,NA,NA,NA
"LESEANMCCOY","RB","LeSean McCoy","BUF",5,32,15.6,5,NA,NA,NA,NA,19,70,0,3,31,1,NA,NA,1
"JAMEISWINSTON","QB","Jameis Winston","TB",15,33,15.5,NA,NA,245,1,1,3,27,0,NA,NA,NA,NA,NA,NA
"DONTEMONCRIEF","WR","Donte Moncrief","IND",12,34,15.4,9,NA,NA,NA,NA,NA,NA,NA,8,114,0,NA,NA,NA
"THEORIDDICK","RB","Theo Riddick","DET",6,35,15.3,5,NA,0,0,0,2,6,0,5,62,1,0,0,0
"JOIQUEBELL","RB","Joique Bell","DET",7,36,15.2,3,NA,0,0,0,7,25,1,2,57,0,0,0,0
"AMARICOOPER","WR","Amari Cooper","OAK",13,37,15,12,NA,NA,NA,NA,NA,NA,NA,7,115,0,NA,NA,NA
"DONTRELLEINMAN","WR","Dontrelle Inman","SD",13,37,15,9,NA,NA,NA,NA,NA,NA,NA,5,65,1,NA,NA,NA
"TRAVISKELCE","TE","Travis Kelce","KC",3,39,14.9,7,NA,NA,NA,NA,NA,NA,NA,4,69,1,NA,NA,NA
"BRIANHOYER","QB","Brian Hoyer","HOU",16,39,14.9,NA,NA,205,2,1,3,-3,0,NA,NA,NA,NA,NA,NA
