"name","pos","name_actual","team_actual","positionRank_actual","overallRank_actual","pts_actual","passAtt_actual","passComp_actual","passYds_actual","passTds_actual","passInt_actual","rushAtt_actual","rushYds_actual","rushTds_actual","rec_actual","recYds_actual","recTds_actual","returnTds_actual","twoPts_actual","fumbles_actual"
"CAMNEWTON","QB","Cam Newton","CAR",1,1,35.58,NA,NA,297,3,0,9,57,1,NA,NA,NA,NA,NA,NA
"DEANGELOWILLIAMS","RB","DeAngelo Williams","PIT",1,2,34.5,3,NA,NA,NA,NA,22,140,2,2,55,0,0,1,NA
"DREWBREES","QB","Drew Brees","NO",2,3,32.46,NA,NA,389,3,1,3,-1,1,NA,NA,NA,NA,NA,NA
"LAMARMILLER","RB","Lamar Miller","MIA",2,4,29.6,7,NA,NA,NA,NA,12,44,2,7,97,0,NA,NA,NA
"ANTONIOBROWN","WR","Antonio Brown","PIT",1,5,28.2,20,NA,NA,NA,NA,2,22,0,14,210,0,0,0,1
"AARONRODGERS","QB","Aaron Rodgers","GB",3,6,27.14,NA,NA,286,3,0,3,17,0,NA,NA,NA,0,1,0
"MARCUSMARIOTA","QB","Marcus Mariota","TEN",4,7,26.86,NA,NA,309,3,0,1,5,0,NA,NA,NA,0,1,0
"SAMMYWATKINS","WR","Sammy Watkins","BUF",2,8,26.8,8,NA,NA,NA,NA,NA,NA,NA,8,168,1,NA,NA,NA
"DELANIEWALKER","TE","Delanie Walker","TEN",1,9,26.2,7,NA,NA,NA,NA,NA,NA,NA,6,92,2,0,1,NA
"TYLEREIFERT","TE","Tyler Eifert","CIN",2,10,25.8,6,NA,0,0,0,0,0,0,5,53,3,0,0,0
"KARLOSWILLIAMS","RB","Karlos Williams","BUF",3,11,23,NA,NA,NA,NA,NA,9,110,2,NA,NA,NA,NA,NA,NA
"BLAKEBORTLES","QB","Blake Bortles","JAX",5,12,22.44,NA,NA,381,2,2,4,32,0,NA,NA,NA,NA,NA,1
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",6,13,22.36,NA,NA,334,2,1,NA,NA,NA,NA,NA,NA,0,1,NA
"ANDYDALTON","QB","Andy Dalton","CIN",7,14,21.86,0,NA,234,3,0,6,5,0,0,0,0,0,0,0
"DEREKCARR","QB","Derek Carr","OAK",8,15,21.42,NA,NA,228,3,0,2,3,0,NA,NA,NA,NA,NA,NA
"ALLENHURNS","WR","Allen Hurns","JAX",3,16,20.7,8,NA,NA,NA,NA,NA,NA,NA,5,122,1,NA,NA,NA
"ADRIANPETERSON","RB","Adrian Peterson","MIN",4,17,19.2,2,NA,NA,NA,NA,25,104,1,2,18,0,NA,NA,0
"TODDGURLEY","RB","Todd Gurley","STL",5,18,19,5,NA,NA,NA,NA,23,95,1,3,20,0,NA,NA,NA
"RYANFITZPATRICK","QB","Ryan Fitzpatrick","NYJ",9,19,18.98,NA,NA,272,2,0,2,1,0,NA,NA,NA,NA,NA,NA
"LESEANMCCOY","RB","LeSean McCoy","BUF",6,20,18.9,2,NA,NA,NA,NA,16,112,1,2,7,0,NA,NA,NA
"LEGARRETTEBLOUNT","RB","LeGarrette Blount","NE",6,20,18.9,NA,NA,NA,NA,NA,29,129,1,NA,NA,NA,NA,NA,0
"TOMBRADY","QB","Tom Brady","NE",10,22,18.86,NA,NA,299,2,1,1,-1,0,NA,NA,NA,NA,NA,NA
"CHRISIVORY","RB","Chris Ivory","NYJ",8,23,18.3,3,NA,NA,NA,NA,23,26,2,3,22,0,NA,NA,0
"JAMESSTARKS","RB","James Starks","GB",9,24,18,5,NA,NA,NA,NA,9,39,0,4,61,1,NA,NA,NA
"ERICDECKER","WR","Eric Decker","NYJ",4,25,16.9,9,NA,NA,NA,NA,NA,NA,NA,6,79,1,NA,NA,NA
