"name","pos","name_actual","team_actual","positionRank_actual","overallRank_actual","pts_actual","passAtt_actual","passComp_actual","passYds_actual","passTds_actual","passInt_actual","rushAtt_actual","rushYds_actual","rushTds_actual","rec_actual","recYds_actual","recTds_actual","returnTds_actual","twoPts_actual","fumbles_actual"
"DEANGELOWILLIAMS","RB","DeAngelo Williams","PIT",1,1,37.5,4,NA,NA,NA,NA,27,170,2,2,55,0,0,1,NA
"ANTONIOBROWN","WR","Antonio Brown","PIT",1,2,37.1,23,NA,NA,NA,NA,2,22,0,17,284,0,0,0,1
"CAMNEWTON","QB","Cam Newton","CAR",1,3,34.58,NA,NA,297,3,1,9,57,1,NA,NA,NA,NA,NA,NA
"AARONRODGERS","QB","Aaron Rodgers","GB",2,4,33.96,NA,NA,369,4,1,4,22,0,NA,NA,NA,0,1,0
"MARCUSMARIOTA","QB","Marcus Mariota","TEN",3,5,33.34,NA,NA,371,4,0,1,5,0,NA,NA,NA,0,1,0
"DREWBREES","QB","Drew Brees","NO",4,6,32.38,NA,NA,387,3,1,3,-1,1,NA,NA,NA,NA,NA,NA
"LAMARMILLER","RB","Lamar Miller","MIA",2,7,29.6,7,NA,NA,NA,NA,12,44,2,7,97,0,NA,NA,NA
"DEREKCARR","QB","Derek Carr","OAK",5,8,27.34,NA,NA,301,4,1,2,3,0,NA,NA,NA,NA,NA,NA
"DELANIEWALKER","TE","Delanie Walker","TEN",1,9,27,8,NA,NA,NA,NA,NA,NA,NA,7,95,2,0,1,NA
"SAMMYWATKINS","WR","Sammy Watkins","BUF",2,10,26.8,8,NA,NA,NA,NA,NA,NA,NA,8,168,1,NA,NA,NA
"MICHAELCRABTREE","WR","Michael Crabtree","OAK",3,11,26.3,12,NA,NA,NA,NA,NA,NA,NA,7,108,2,NA,NA,NA
"TYLEREIFERT","TE","Tyler Eifert","CIN",2,12,25.8,6,NA,0,0,0,0,0,0,5,53,3,0,0,0
"KARLOSWILLIAMS","RB","Karlos Williams","BUF",3,13,23,NA,NA,NA,NA,NA,9,110,2,NA,NA,NA,NA,NA,NA
"BLAKEBORTLES","QB","Blake Bortles","JAX",6,14,22.44,NA,NA,381,2,2,4,32,0,NA,NA,NA,NA,NA,1
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",7,15,22.36,NA,NA,334,2,1,NA,NA,NA,NA,NA,NA,0,1,NA
"ANDYDALTON","QB","Andy Dalton","CIN",8,16,21.86,0,NA,234,3,0,6,5,0,0,0,0,0,0,0
"ADRIANPETERSON","RB","Adrian Peterson","MIN",4,17,21.3,2,NA,NA,NA,NA,29,125,1,2,18,0,NA,NA,0
"JAMESSTARKS","RB","James Starks","GB",5,18,21.2,8,NA,NA,NA,NA,10,39,0,6,83,1,NA,NA,NA
"ALLENHURNS","WR","Allen Hurns","JAX",4,19,20.7,8,NA,NA,NA,NA,NA,NA,NA,5,122,1,NA,NA,NA
"LESEANMCCOY","RB","LeSean McCoy","BUF",6,20,18.9,2,NA,NA,NA,NA,16,112,1,2,7,0,NA,NA,NA
"LEGARRETTEBLOUNT","RB","LeGarrette Blount","NE",6,20,18.9,NA,NA,NA,NA,NA,29,129,1,NA,NA,NA,NA,NA,0
"RYANFITZPATRICK","QB","Ryan Fitzpatrick","NYJ",9,22,18.88,NA,NA,272,2,0,4,0,0,NA,NA,NA,NA,NA,NA
"TOMBRADY","QB","Tom Brady","NE",10,23,18.86,NA,NA,299,2,1,1,-1,0,NA,NA,NA,NA,NA,NA
"TODDGURLEY","RB","Todd Gurley","STL",8,24,18.4,5,NA,NA,NA,NA,24,89,1,3,20,0,NA,NA,NA
"AMARICOOPER","WR","Amari Cooper","OAK",5,25,18.3,13,NA,NA,NA,NA,NA,NA,NA,7,88,1,NA,NA,NA
"CHRISIVORY","RB","Chris Ivory","NYJ",9,25,18.3,3,NA,NA,NA,NA,23,26,2,3,22,0,NA,NA,0
"RANDALLCOBB","WR","Randall Cobb","GB",6,27,17.9,12,NA,NA,NA,NA,NA,NA,NA,4,99,1,NA,NA,NA
"ERICDECKER","WR","Eric Decker","NYJ",7,28,16.9,9,NA,NA,NA,NA,NA,NA,NA,6,79,1,NA,NA,NA
"RICHARDRODGERS","TE","Richard Rodgers","GB",3,29,16.4,9,NA,NA,NA,NA,NA,NA,NA,5,19,2,NA,NA,NA
"BLAINEGABBERT","QB","Blaine Gabbert","SF",11,30,16.14,NA,NA,141,2,0,4,25,0,NA,NA,NA,NA,NA,NA
"TYRODTAYLOR","QB","Tyrod Taylor","BUF",12,31,15.64,NA,NA,181,1,0,10,44,0,NA,NA,NA,NA,NA,NA
"BRANDINCOOKS","WR","Brandin Cooks","NO",8,32,15.1,6,NA,NA,NA,NA,NA,NA,NA,4,71,1,NA,NA,NA
"ALLENROBINSON","WR","Allen Robinson","JAX",8,32,15.1,11,NA,NA,NA,NA,NA,NA,NA,6,121,0,NA,NA,NA
"DAVANTEADAMS","WR","Davante Adams","GB",10,34,14.8,11,NA,NA,NA,NA,NA,NA,NA,7,93,0,0,1,NA
"GREGOLSEN","TE","Greg Olsen","CAR",4,35,14.6,7,NA,NA,NA,NA,NA,NA,NA,4,66,1,NA,NA,NA
"DEVINFUNCHESS","WR","Devin Funchess","CAR",11,35,14.6,4,NA,NA,NA,NA,NA,NA,NA,3,71,1,NA,NA,NA
"JARVISLANDRY","WR","Jarvis Landry","MIA",12,37,14.56,13,NA,9,0,0,4,18,0,11,69,0,0,0,NA
"TEDDYBRIDGEWATER","QB","Teddy Bridgewater","MIN",13,38,14.46,NA,NA,144,0,1,3,17,1,NA,NA,NA,0,1,NA
"FRANKGORE","RB","Frank Gore","IND",10,39,14.3,2,NA,NA,NA,NA,13,59,1,1,19,0,NA,NA,NA
"GARRETTCELEK","TE","Garrett Celek","SF",5,40,14.2,2,NA,NA,NA,NA,NA,NA,NA,2,12,2,NA,NA,NA
"MIKEEVANS","WR","Mike Evans","TB",13,41,14,10,NA,NA,NA,NA,NA,NA,NA,5,115,0,NA,NA,NA
"BRYANWALTERS","WR","Bryan Walters","JAX",14,42,13.9,7,NA,NA,NA,NA,NA,NA,NA,5,54,1,0,0,NA
"JOHNNYMANZIEL","QB","Johnny Manziel","CLE",14,43,13.82,0,NA,168,1,0,4,31,0,0,0,0,0,0,0
"BRANDONLAFELL","WR","Brandon LaFell","NE",15,44,12.7,9,NA,NA,NA,NA,NA,NA,NA,5,102,0,NA,NA,NA
"WILLIESNEAD","WR","Willie Snead","NO",16,45,12.5,10,NA,NA,NA,NA,NA,NA,NA,6,95,0,NA,NA,NA
