"name","pos","name_actual","team_actual","positionRank_actual","overallRank_actual","pts_actual","passAtt_actual","passComp_actual","passYds_actual","passTds_actual","passInt_actual","rushAtt_actual","rushYds_actual","rushTds_actual","rec_actual","recYds_actual","recTds_actual","returnTds_actual","twoPts_actual","fumbles_actual"
"KIRKCOUSINS","QB","Kirk Cousins","WAS",1,1,32.2,0,NA,365,4,0,5,-4,0,0,0,0,0,1,0
"DEANGELOWILLIAMS","RB","DeAngelo Williams","PIT",1,2,30.3,6,NA,NA,NA,NA,17,100,2,6,53,0,NA,NA,0
"JORDANREED","TE","Jordan Reed","WAS",1,3,29.4,11,NA,0,0,0,0,0,0,9,129,2,0,0,0
"JULIOJONES","WR","Julio Jones","ATL",1,4,28.3,11,NA,NA,NA,NA,NA,NA,NA,9,178,1,NA,NA,NA
"BRANDONMARSHALL","WR","Brandon Marshall","NYJ",2,5,27.5,10,NA,NA,NA,NA,NA,NA,NA,8,115,2,NA,NA,NA
"RYANFITZPATRICK","QB","Ryan Fitzpatrick","NYJ",2,6,23.14,NA,NA,296,3,0,2,13,0,NA,NA,NA,NA,NA,1
"FRANKGORE","RB","Frank Gore","IND",2,7,22.5,4,NA,NA,NA,NA,15,85,2,2,10,0,NA,NA,NA
"DEANDREHOPKINS","WR","DeAndre Hopkins","HOU",3,8,21.2,11,NA,NA,NA,NA,NA,NA,NA,7,117,1,NA,NA,NA
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",3,9,21.14,NA,NA,301,2,0,5,11,0,NA,NA,NA,NA,NA,NA
"BRANDONWEEDEN","QB","Brandon Weeden","HOU",4,10,21.1,NA,NA,200,2,0,2,11,1,NA,NA,NA,NA,NA,1
"LATAVIUSMURRAY","RB","Latavius Murray","OAK",3,11,20.2,5,NA,0,0,0,19,79,1,5,38,0,0,0,0
"JAVORIUSALLEN","RB","Javorius Allen","BAL",4,12,19.9,5,NA,NA,NA,NA,18,79,1,5,35,0,NA,NA,NA
"JAMEISWINSTON","QB","Jameis Winston","TB",5,13,19.8,NA,NA,295,2,1,4,10,0,NA,NA,NA,NA,NA,0
"BRANDINCOOKS","WR","Brandin Cooks","NO",4,14,19.7,5,NA,NA,NA,NA,3,10,0,4,107,1,NA,NA,NA
"JORDANMATTHEWS","WR","Jordan Matthews","PHI",5,15,19.4,8,NA,0,0,0,0,0,0,6,104,1,0,0,0
"CHARLESSIMS","RB","Charles Sims","TB",5,16,19.2,5,NA,NA,NA,NA,4,45,0,3,72,1,NA,NA,NA
"DONTRELLEINMAN","WR","Dontrelle Inman","SD",6,17,18.2,13,NA,0,0,0,0,0,0,8,82,1,0,0,0
"DREWBREES","QB","Drew Brees","NO",6,18,18.04,NA,NA,251,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MIKEGILLISLEE","RB","Mike Gillislee","BUF",6,19,17.9,2,NA,NA,NA,NA,9,93,1,2,16,0,NA,NA,NA
"SAMBRADFORD","QB","Sam Bradford","PHI",7,20,17.6,0,NA,380,1,0,2,4,0,0,0,0,0,0,1
"PIERREGARCON","WR","Pierre Garcon","WAS",7,21,17.5,12,NA,0,0,0,0,0,0,7,80,1,0,0,0
"ALEXSMITH","QB","Alex Smith","KC",8,22,17.4,NA,NA,125,2,1,6,54,0,NA,NA,NA,NA,NA,0
