displayName,team,passCmp,passAtt,passYds,passTD,passInt,rushYds,rushTD,fumblesLost
Philip Rivers,SD,25.8,38.6,293.0,1.8,0.9,1.4,0.0,0.2
Drew Brees,NO,26.1,40.1,292.5,1.8,1.0,2.4,0.0,0.2
Carson Palmer,ARI,23.0,35.4,288.2,2.3,0.8,2.0,0.1,0.2
Matt Ryan,ATL,25.3,38.7,284.7,1.8,0.8,4.5,0.0,0.2
Eli Manning,NYG,24.9,39.1,280.6,2.0,0.9,4.6,0.0,0.3
Ben Roethlisberger,PIT,22.9,35.7,273.8,1.7,0.9,2.5,0.0,0.3
Brian Hoyer,HOU,22.9,38.0,273.7,1.9,0.8,5.1,0.0,0.3
Matthew Stafford,DET,24.0,39.0,271.0,1.8,1.1,9.8,0.1,0.2
Tom Brady,NE,24.4,38.9,270.9,2.0,0.8,2.7,0.1,0.3
Aaron Rodgers,GB,21.3,33.2,268.5,2.2,0.5,17.6,0.1,0.2
Derek Carr,OAK,23.0,36.8,267.0,1.8,1.0,8.1,0.0,0.2
Blake Bortles,JAC,22.6,38.5,262.7,2.0,1.0,19.9,0.1,0.2
Josh McCown,CLE,21.4,36.0,259.6,1.7,0.9,11.0,0.1,0.3
Andy Dalton,CIN,22.5,35.2,258.3,1.8,0.8,12.5,0.1,0.3
Tony Romo,DAL,20.0,31.9,257.8,1.8,1.0,5.1,0.0,0.2
Brock Osweiler,DEN,22.1,37.0,257.7,1.3,1.2,6.0,0.1,0.2
Kirk Cousins,WAS,22.4,35.1,256.7,1.7,1.3,6.2,0.1,0.3
Matt Hasselbeck,IND,23.0,36.7,256.4,1.8,1.0,3.7,0.0,0.3
Jay Cutler,CHI,21.8,35.4,253.4,1.5,1.2,12.6,0.1,0.2
Mark Sanchez,PHI,22.6,36.9,253.3,1.6,1.1,8.2,0.1,0.3
Ryan Tannehill,MIA,22.8,36.9,246.4,1.3,1.1,8.7,0.0,0.2
Ryan Fitzpatrick,NYJ,20.3,34.1,243.8,1.7,0.9,15.3,0.1,0.2
Matt Schaub,BAL,22.2,38.1,240.4,1.2,1.2,3.7,0.1,0.3
Russell Wilson,SEA,19.1,30.7,240.2,1.5,0.7,34.1,0.1,0.2
Jameis Winston,TB,19.3,33.3,238.2,1.5,1.0,12.3,0.1,0.3
Marcus Mariota,TEN,20.2,33.0,232.4,1.5,0.9,17.5,0.1,0.3
Cam Newton,CAR,19.0,31.6,221.0,1.6,0.8,38.4,0.3,0.2
Teddy Bridgewater,MIN,19.3,30.9,217.9,1.1,0.9,18.5,0.1,0.2
Alex Smith,KC,19.8,32.3,211.2,1.3,0.8,23.0,0.1,0.2
Tyrod Taylor,BUF,18.2,31.3,210.9,1.2,0.9,26.4,0.1,0.2
Blaine Gabbert,SF,17.9,31.6,203.6,1.1,1.2,18.5,0.0,0.2
Nick Foles,STL,13.4,23.7,165.4,0.9,0.9,2.4,0.0,0.3
Case Keenum,STL,12.3,21.3,137.2,0.7,0.6,3.4,0.0,0.0
