"name","pos","name_nfl","team_nfl","positionRank_nfl","overallRank_nfl","pts_nfl","passAtt_nfl","passComp_nfl","passYds_nfl","passTds_nfl","passInt_nfl","rushAtt_nfl","rushYds_nfl","rushTds_nfl","rec_nfl","recYds_nfl","recTds_nfl","returnTds_nfl","twoPts_nfl","fumbles_nfl"
"TYLEREIFERT","TE","Tyler Eifert","CIN",2,45,13.4,NA,NA,0,0,0,NA,0,0,NA,74,1,NA,0,0
"LESEANMCCOY","RB","LeSean McCoy","BUF",14,47,13.3,NA,NA,0,0,0,NA,61,1,NA,12,0,NA,0,0
"STEFONDIGGS","WR","Stefon Diggs","MIN",13,47,13.3,NA,NA,0,0,0,NA,0,0,NA,73,1,NA,0,0
"CJSPILLER","RB","C.J. Spiller","NO",15,49,13.1,NA,NA,0,0,0,NA,47,1,NA,24,0,NA,0,0
"JULIANEDELMAN","WR","Julian Edelman","NE L",14,49,13.1,NA,NA,0,0,0,NA,2,0,NA,69,1,NA,0,0
"BRANDONMARSHALL","WR","Brandon Marshall","NYJ",14,49,13.1,NA,NA,0,0,0,NA,0,0,NA,71,1,NA,0,0
"MIKEWALLACE","WR","Mike Wallace","MIN",16,52,12.9,NA,NA,0,0,0,NA,2,0,NA,67,1,NA,0,0
"BRANDINCOOKS","WR","Brandin Cooks","NO",17,53,12.8,NA,NA,0,0,0,NA,8,0,NA,60,1,NA,0,0
"DOUGMARTIN","RB","Doug Martin","TB",16,54,12.7,NA,NA,0,0,0,NA,58,1,NA,9,0,NA,0,0
"MARTAVISBRYANT","WR","Martavis Bryant","PIT",18,55,12.6,NA,NA,0,0,0,NA,3,0,NA,63,1,NA,0,0
"MARTELLUSBENNETT","TE","Martellus Bennett","CHI",3,55,12.6,NA,NA,0,0,0,NA,0,0,NA,66,1,NA,0,0
"DELANIEWALKER","TE","Delanie Walker","TEN",3,55,12.6,NA,NA,0,0,0,NA,0,0,NA,66,1,NA,0,0
"GARYBARNIDGE","TE","Gary Barnidge","CLE",5,58,12.5,NA,NA,0,0,0,NA,0,0,NA,65,1,NA,0,0
"JAMEISWINSTON","QB","Jameis Winston","TB",20,59,12.48,NA,NA,197,2,2,NA,6,0,NA,0,0,NA,0,0
"JAMESJONES","WR","James Jones","GB",19,60,12.4,NA,NA,0,0,0,NA,0,0,NA,64,1,NA,0,0
"LAMARMILLER","RB","Lamar Miller","MIA",17,61,12.3,NA,NA,0,0,0,NA,52,1,NA,11,0,NA,0,0
"LATAVIUSMURRAY","RB","Latavius Murray","OAK",17,61,12.3,NA,NA,0,0,0,NA,55,1,NA,8,0,NA,0,0
"ALLENHURNS","WR","Allen Hurns","JAC",20,61,12.3,NA,NA,0,0,0,NA,0,0,NA,63,1,NA,0,0
"GREGOLSEN","TE","Greg Olsen","CAR",6,61,12.3,NA,NA,0,0,0,NA,0,0,NA,63,1,NA,0,0
"MARKINGRAM","RB","Mark Ingram","NO",19,65,12.2,NA,NA,0,0,0,NA,55,1,NA,7,0,NA,0,0
"DUKEJOHNSON","RB","Duke Johnson","CLE",19,65,12.2,NA,NA,0,0,0,NA,32,1,NA,30,0,NA,0,0
"ALLENROBINSON","WR","Allen Robinson","JAC",21,67,12,NA,NA,0,0,0,NA,0,0,NA,60,1,NA,0,0
"JASONWITTEN","TE","Jason Witten","DAL",7,67,12,NA,NA,0,0,0,NA,0,0,NA,60,1,NA,0,0
"ANQUANBOLDIN","WR","Anquan Boldin","SF D",22,69,11.9,NA,NA,0,0,0,NA,0,0,NA,59,1,NA,0,0
"MARVINJONES","WR","Marvin Jones","CIN",23,70,11.8,NA,NA,0,0,0,NA,0,0,NA,58,1,NA,0,0
"BRANDONLAFELL","WR","Brandon LaFell","NE",23,70,11.8,NA,NA,0,0,0,NA,2,0,NA,56,1,NA,0,0
"MARQUESCOLSTON","WR","Marques Colston","NO D",25,72,11.7,NA,NA,0,0,0,NA,0,0,NA,57,1,NA,0,0
"PIERREGARCON","WR","Pierre Garcon","WAS",25,72,11.7,NA,NA,0,0,0,NA,0,0,NA,57,1,NA,0,0
"LARRYDONNELL","TE","Larry Donnell","NYG",8,72,11.7,NA,NA,0,0,0,NA,0,0,NA,57,1,NA,0,0
"AUSTINSEFERIANJENKINS","TE","Austin Seferian-Jenkins","TB L",8,72,11.7,NA,NA,0,0,0,NA,0,0,NA,57,1,NA,0,0
"CARLOSHYDE","RB","Carlos Hyde","SF D",21,76,11.6,NA,NA,0,0,0,NA,49,1,NA,7,0,NA,0,0
"TRAVISBENJAMIN","WR","Travis Benjamin","CLE",27,76,11.6,NA,NA,0,0,0,NA,2,0,NA,54,1,NA,0,0
"JARVISLANDRY","WR","Jarvis Landry","MIA",28,78,11.5,NA,NA,0,0,0,NA,2,0,NA,53,1,NA,0,0
"GENOSMITH","QB","Geno Smith","NYJ",21,79,11.48,NA,NA,87,2,1,NA,20,0,NA,0,0,NA,0,0
"JEREMYHILL","RB","Jeremy Hill","CIN",22,80,11.4,NA,NA,0,0,0,NA,97,0,NA,17,0,NA,0,0
"JORDANREED","TE","Jordan Reed","WAS",10,80,11.4,NA,NA,0,0,0,NA,0,0,NA,54,1,NA,0,0
"ANTONIOANDREWS","RB","Antonio Andrews","TEN",23,82,11.3,NA,NA,0,0,0,NA,39,1,NA,14,0,NA,0,0
"MICHAELCRABTREE","WR","Michael Crabtree","OAK",29,82,11.3,NA,NA,0,0,0,NA,0,0,NA,53,1,NA,0,0
"VINCENTJACKSON","WR","Vincent Jackson","TB D",29,82,11.3,NA,NA,0,0,0,NA,0,0,NA,53,1,NA,0,0
"SHANEVEREEN","RB","Shane Vereen","NYG",24,85,11.2,NA,NA,0,0,0,NA,24,1,NA,28,0,NA,0,0
"TYRODTAYLOR","QB","Tyrod Taylor","BUF",22,86,11.16,NA,NA,169,1,1,NA,24,0,NA,0,0,NA,0,0
"LEGARRETTEBLOUNT","RB","LeGarrette Blount","NE",25,87,11.1,NA,NA,0,0,0,NA,49,1,NA,2,0,NA,0,0
"FRANKGORE","RB","Frank Gore","IND",26,88,11,NA,NA,0,0,0,NA,41,1,NA,9,0,NA,0,0
"RUEBENRANDLE","WR","Rueben Randle","NYG",31,88,11,NA,NA,0,0,0,NA,0,0,NA,50,1,NA,0,0
"SAMMYWATKINS","WR","Sammy Watkins","BUF",31,88,11,NA,NA,0,0,0,NA,2,0,NA,48,1,NA,0,0
"RICHARDRODGERS","TE","Richard Rodgers","GB",11,88,11,NA,NA,0,0,0,NA,0,0,NA,50,1,NA,0,0
"JULIUSTHOMAS","TE","Julius Thomas","JAC",12,92,10.9,NA,NA,0,0,0,NA,0,0,NA,49,1,NA,0,0
"COLINKAEPERNICK","QB","Colin Kaepernick","SF",23,93,10.86,NA,NA,189,1,2,NA,33,0,NA,0,0,NA,0,0
"DONTEMONCRIEF","WR","Donte Moncrief","IND",33,94,10.8,NA,NA,0,0,0,NA,3,0,NA,45,1,NA,0,0
"JACOBTAMME","TE","Jacob Tamme","ATL",13,95,10.7,NA,NA,0,0,0,NA,0,0,NA,47,1,NA,0,0
"RISHARDMATTHEWS","WR","Rishard Matthews","MIA",34,96,10.5,NA,NA,0,0,0,NA,0,0,NA,45,1,NA,0,0
"DAVANTEADAMS","WR","Davante Adams","GB",35,97,10.4,NA,NA,0,0,0,NA,0,0,NA,44,1,NA,0,0
"LADARIUSGREEN","TE","Ladarius Green","SD",14,98,10.3,NA,NA,0,0,0,NA,0,0,NA,43,1,NA,0,0
"ANTONIOGATES","TE","Antonio Gates","SD",15,99,10.2,NA,NA,0,0,0,NA,0,0,NA,42,1,NA,0,0
"CHARLESCLAY","TE","Charles Clay","BUF",16,100,9.9,NA,NA,0,0,0,NA,0,0,NA,39,1,NA,0,0
"EDDIEROYAL","WR","Eddie Royal","CHI",36,101,9.7,NA,NA,0,0,0,NA,0,0,NA,37,1,NA,0,0
"TYHILTON","WR","T.Y. Hilton","IND",37,102,9.5,NA,NA,0,0,0,NA,3,0,NA,92,0,NA,0,0
"KIRKCOUSINS","QB","Kirk Cousins","WAS",24,103,9.28,NA,NA,172,1,1,NA,4,0,NA,0,0,NA,0,0
