"name","pos","name_nfl","team_nfl","positionRank_nfl","overallRank_nfl","pts_nfl","passAtt_nfl","passComp_nfl","passYds_nfl","passTds_nfl","passInt_nfl","rushAtt_nfl","rushYds_nfl","rushTds_nfl","rec_nfl","recYds_nfl","recTds_nfl","returnTds_nfl","twoPts_nfl","fumbles_nfl"
"DREWBREES","QB","Drew Brees","NO",1,1,23.18,NA,NA,322,3,1,NA,3,0,NA,0,0,NA,0,0
"AARONRODGERS","QB","Aaron Rodgers","GB",2,2,22.2,NA,NA,315,2,0,NA,16,0,NA,0,0,NA,0,0
"EDDIELACY","RB","Eddie Lacy","GB",1,3,20.7,NA,NA,0,0,0,NA,113,1,NA,34,0,NA,0,0
"RUSSELLWILSON","QB","Russell Wilson","SEA",3,4,20.32,NA,NA,208,1,1,NA,40,1,NA,0,0,NA,0,0
"TOMBRADY","QB","Tom Brady","NE",4,5,20.26,NA,NA,299,2,0,NA,3,0,NA,0,0,NA,0,0
"LEVEONBELL","RB","Le'Veon Bell","PIT",2,6,19.7,NA,NA,0,0,0,NA,91,1,NA,46,0,NA,0,0
"MATTRYAN","QB","Matt Ryan","ATL",5,7,19.46,NA,NA,319,2,1,NA,7,0,NA,0,0,NA,0,0
"MATTFORTE","RB","Matt Forte","CHI",3,8,19.4,NA,NA,0,0,0,NA,89,1,NA,45,0,NA,0,0
"CARSONPALMER","QB","Carson Palmer","ARI",6,9,18.34,NA,NA,301,2,1,NA,3,0,NA,0,0,NA,0,0
"ANDREWLUCK","QB","Andrew Luck","IND",7,10,18.16,NA,NA,269,2,1,NA,14,0,NA,0,0,NA,0,0
"PHILIPRIVERS","QB","Philip Rivers","SD",8,11,17.8,NA,NA,290,2,1,NA,2,0,NA,0,0,NA,0,0
"DEVONTAFREEMAN","RB","Devonta Freeman","ATL",4,12,17.6,NA,NA,0,0,0,NA,81,1,NA,35,0,NA,0,0
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",9,13,17.42,NA,NA,273,2,1,NA,5,0,NA,0,0,NA,0,0
"JULIOJONES","WR","Julio Jones","ATL",1,14,17.3,NA,NA,0,0,0,NA,1,0,NA,112,1,NA,0,0
"NICKFOLES","QB","Nick Foles","STL",10,15,17.14,NA,NA,271,2,1,NA,3,0,NA,0,0,NA,0,0
"BRANDONWEEDEN","QB","Brandon Weeden","DAL",11,16,17.04,NA,NA,271,2,1,NA,2,0,NA,0,0,NA,0,0
"JOEFLACCO","QB","Joe Flacco","BAL",12,17,16.98,NA,NA,262,2,1,NA,5,0,NA,0,0,NA,0,0
"JAYCUTLER","QB","Jay Cutler","CHI",13,18,16.74,NA,NA,246,2,1,NA,9,0,NA,0,0,NA,0,0
"ALEXSMITH","QB","Alex Smith","KC",14,19,16.56,NA,NA,229,2,1,NA,14,0,NA,0,0,NA,0,0
"SAMBRADFORD","QB","Sam Bradford","PHI",15,20,16.42,NA,NA,253,2,1,NA,3,0,NA,0,0,NA,0,0
"JAMAALCHARLES","RB","Jamaal Charles","KC",5,21,16.2,NA,NA,0,0,0,NA,76,1,NA,26,0,NA,0,0
"PEYTONMANNING","QB","Peyton Manning","DEN",16,22,16.18,NA,NA,257,2,1,NA,-1,0,NA,0,0,NA,0,0
"DEMARYIUSTHOMAS","WR","Demaryius Thomas","DEN",2,23,16.1,NA,NA,0,0,0,NA,0,0,NA,101,1,NA,0,0
"ELIMANNING","QB","Eli Manning","NYG",17,24,16.06,NA,NA,249,2,1,NA,1,0,NA,0,0,NA,0,0
"BLAKEBORTLES","QB","Blake Bortles","JAC",18,25,16.02,NA,NA,198,2,1,NA,21,0,NA,0,0,NA,0,0
"RANDALLCOBB","WR","Randall Cobb","GB L",3,26,15.9,NA,NA,0,0,0,NA,7,0,NA,92,1,NA,0,0
"JEREMYHILL","RB","Jeremy Hill","CIN",6,27,15.8,NA,NA,0,0,0,NA,83,1,NA,15,0,NA,0,0
"ANTONIOBROWN","WR","Antonio Brown","PIT",4,27,15.8,NA,NA,0,0,0,NA,2,0,NA,96,1,NA,0,0
"AMARICOOPER","WR","Amari Cooper","OAK",4,27,15.8,NA,NA,0,0,0,NA,0,0,NA,98,1,NA,0,0
"EMMANUELSANDERS","WR","Emmanuel Sanders","DEN",4,27,15.8,NA,NA,0,0,0,NA,3,0,NA,95,1,NA,0,0
"MARCUSMARIOTA","QB","Marcus Mariota","TEN",19,31,15.62,NA,NA,223,2,2,NA,27,0,NA,0,0,NA,0,0
"MIKEEVANS","WR","Mike Evans","TB",7,32,15.4,NA,NA,0,0,0,NA,0,0,NA,94,1,NA,0,0
"MARKINGRAM","RB","Mark Ingram","NO",7,33,14.5,NA,NA,0,0,0,NA,74,1,NA,11,0,NA,0,0
"ROBGRONKOWSKI","TE","Rob Gronkowski","NE",1,33,14.5,NA,NA,0,0,0,NA,0,0,NA,85,1,NA,0,0
"JAMEISWINSTON","QB","Jameis Winston","TB",20,35,14.4,NA,NA,195,2,1,NA,6,0,NA,0,0,NA,0,0
"TJYELDON","RB","T.J. Yeldon","JAC",8,35,14.4,NA,NA,0,0,0,NA,69,1,NA,15,0,NA,0,0
"CALVINJOHNSON","WR","Calvin Johnson","DET",8,37,14.3,NA,NA,0,0,0,NA,0,0,NA,83,1,NA,0,0
"ARIANFOSTER","RB","Arian Foster","HOU",9,38,14.2,NA,NA,0,0,0,NA,64,1,NA,18,0,NA,0,0
"LESEANMCCOY","RB","LeSean McCoy","BUF",9,38,14.2,NA,NA,0,0,0,NA,69,1,NA,13,0,NA,0,0
"KEENANALLEN","WR","Keenan Allen","SD",9,40,14.1,NA,NA,0,0,0,NA,0,0,NA,81,1,NA,0,0
"DEANDREHOPKINS","WR","DeAndre Hopkins","HOU",9,40,14.1,NA,NA,0,0,0,NA,0,0,NA,81,1,NA,0,0
"JORDANMATTHEWS","WR","Jordan Matthews","PHI",11,42,13.9,NA,NA,0,0,0,NA,0,0,NA,79,1,NA,0,0
"MARSHAWNLYNCH","RB","Marshawn Lynch","SEA",11,43,13.8,NA,NA,0,0,0,NA,65,1,NA,13,0,NA,0,0
"CJANDERSON","RB","C.J. Anderson","DEN",12,44,13.6,NA,NA,0,0,0,NA,59,1,NA,17,0,NA,0,0
"MARQUESCOLSTON","WR","Marques Colston","NO D",12,44,13.6,NA,NA,0,0,0,NA,0,0,NA,76,1,NA,0,0
"RONNIEHILLMAN","RB","Ronnie Hillman","DEN",13,46,13.5,NA,NA,0,0,0,NA,51,1,NA,24,0,NA,0,0
"DOUGMARTIN","RB","Doug Martin","TB",13,46,13.5,NA,NA,0,0,0,NA,65,1,NA,10,0,NA,0,0
"TERRANCEWILLIAMS","WR","Terrance Williams","DAL",13,46,13.5,NA,NA,0,0,0,NA,0,0,NA,75,1,NA,0,0
"JIMMYGRAHAM","TE","Jimmy Graham","SEA",2,49,13.3,NA,NA,0,0,0,NA,0,0,NA,73,1,NA,0,0
"PIERREGARCON","WR","Pierre Garcon","WAS",14,50,13.2,NA,NA,0,0,0,NA,0,0,NA,72,1,NA,0,0
"ANDREELLINGTON","RB","Andre Ellington","ARI",15,51,13.1,NA,NA,0,0,0,NA,49,1,NA,22,0,NA,0,0
"TYLEREIFERT","TE","Tyler Eifert","CIN",3,51,13.1,NA,NA,0,0,0,NA,0,0,NA,71,1,NA,0,0
"BRANDINCOOKS","WR","Brandin Cooks","NO L",15,53,12.9,NA,NA,0,0,0,NA,7,0,NA,62,1,NA,0,0
"FRANKGORE","RB","Frank Gore","IND",16,54,12.8,NA,NA,0,0,0,NA,56,1,NA,12,0,NA,0,0
"JULIANEDELMAN","WR","Julian Edelman","NE",16,54,12.8,NA,NA,0,0,0,NA,2,0,NA,66,1,NA,0,0
"ALSHONJEFFERY","WR","Alshon Jeffery","CHI",16,54,12.8,NA,NA,0,0,0,NA,2,0,NA,66,1,NA,0,0
"MIKEVICK","QB","Mike Vick","PIT",21,57,12.78,NA,NA,172,1,1,NA,39,0,NA,0,0,NA,0,0
"JUSTINFORSETT","RB","Justin Forsett","BAL",17,58,12.7,NA,NA,0,0,0,NA,54,1,NA,13,0,NA,0,0
"JOSEPHRANDLE","RB","Joseph Randle","DAL",17,58,12.7,NA,NA,0,0,0,NA,56,1,NA,11,0,NA,0,0
"ODELLBECKHAM","WR","Odell Beckham","NYG",18,58,12.7,NA,NA,0,0,0,NA,3,0,NA,64,1,NA,0,0
"AJGREEN","WR","A.J. Green","CIN",18,58,12.7,NA,NA,0,0,0,NA,1,0,NA,66,1,NA,0,0
"TODDGURLEY","RB","Todd Gurley","STL",19,62,12.6,NA,NA,0,0,0,NA,55,1,NA,11,0,NA,0,0
"JEREMYMACLIN","WR","Jeremy Maclin","KC",20,62,12.6,NA,NA,0,0,0,NA,0,0,NA,66,1,NA,0,0
"SAMMYWATKINS","WR","Sammy Watkins","BUF",20,62,12.6,NA,NA,0,0,0,NA,2,0,NA,64,1,NA,0,0
"MARTELLUSBENNETT","TE","Martellus Bennett","CHI",4,62,12.6,NA,NA,0,0,0,NA,0,0,NA,66,1,NA,0,0
"ZACHERTZ","TE","Zach Ertz","PHI",4,62,12.6,NA,NA,0,0,0,NA,0,0,NA,66,1,NA,0,0
"MELVINGORDON","RB","Melvin Gordon","SD",20,67,12.4,NA,NA,0,0,0,NA,56,1,NA,8,0,NA,0,0
"DELANIEWALKER","TE","Delanie Walker","TEN",6,68,12.3,NA,NA,0,0,0,NA,0,0,NA,63,1,NA,0,0
"JOSHMCCOWN","QB","Josh McCown","CLE",22,69,12.24,NA,NA,226,1,1,NA,12,0,NA,0,0,NA,0,0
"ALLENROBINSON","WR","Allen Robinson","JAC",22,70,12.1,NA,NA,0,0,0,NA,0,0,NA,61,1,NA,0,0
"GOLDENTATE","WR","Golden Tate","DET",22,70,12.1,NA,NA,0,0,0,NA,2,0,NA,59,1,NA,0,0
"DIONLEWIS","RB","Dion Lewis","NE",21,72,12,NA,NA,0,0,0,NA,39,1,NA,21,0,NA,0,0
"LATAVIUSMURRAY","RB","Latavius Murray","OAK",21,72,12,NA,NA,0,0,0,NA,52,1,NA,8,0,NA,0,0
"PERCYHARVIN","WR","Percy Harvin","BUF",24,72,12,NA,NA,0,0,0,NA,9,0,NA,51,1,NA,0,0
"RASHADJENNINGS","RB","Rashad Jennings","NYG",23,75,11.9,NA,NA,0,0,0,NA,45,1,NA,14,0,NA,0,0
"ANDYDALTON","QB","Andy Dalton","CIN",23,76,11.82,NA,NA,223,1,1,NA,9,0,NA,0,0,NA,0,0
"ANQUANBOLDIN","WR","Anquan Boldin","SF",25,77,11.8,NA,NA,0,0,0,NA,0,0,NA,58,1,NA,0,0
"LARRYFITZGERALD","WR","Larry Fitzgerald","ARI",25,77,11.8,NA,NA,0,0,0,NA,0,0,NA,58,1,NA,0,0
"CARLOSHYDE","RB","Carlos Hyde","SF",24,79,11.7,NA,NA,0,0,0,NA,50,1,NA,7,0,NA,0,0
"ALLENHURNS","WR","Allen Hurns","JAC",27,79,11.7,NA,NA,0,0,0,NA,0,0,NA,57,1,NA,0,0
"JAMESJONES","WR","James Jones","GB L",27,79,11.7,NA,NA,0,0,0,NA,0,0,NA,57,1,NA,0,0
"ISAIAHCROWELL","RB","Isaiah Crowell","CLE",25,82,11.6,NA,NA,0,0,0,NA,48,1,NA,8,0,NA,0,0
