displayName,team,xp,fg
Chandler Catanzaro,ARI,2.9,2.2
Graham Gano,CAR,2.9,2.1
Brandon McManus,DEN,2.3,2.1
Mason Crosby,GB,2.3,2.1
Cairo Santos,KC,2.9,2.0
Connor Barth,TB,2.8,2.0
Randy Bullock,NYJ,2.8,2.0
Steven Hauschka,SEA,2.7,2.0
Robbie Gould,CHI,2.2,2.0
Mike Nugent,CIN,2.8,1.9
Stephen Gostkowski,NE,2.7,1.9
Josh Brown,NYG,2.6,1.9
Adam Vinatieri,IND,2.2,1.9
Jason Myers,JAC,2.1,1.9
Blair Walsh,MIN,1.9,1.9
Justin Tucker,BAL,1.9,1.9
Caleb Sturgis,PHI,2.1,1.8
Sebastian Janikowski,OAK,2.0,1.8
Greg Zuerlein,STL,1.9,1.8
Nick Novak,HOU,1.9,1.8
Matt Bryant,ATL,1.9,1.8
Dan Bailey,DAL,1.8,1.8
Dustin Hopkins,WAS,1.3,1.8
Chris Boswell,PIT,1.3,1.8
Dan Carpenter,BUF,2.6,1.7
Kai Forbath,NO,2.1,1.7
Matt Prater,DET,1.9,1.7
Josh Lambo,SD,1.3,1.7
Ryan Succop,TEN,1.8,1.6
Andrew Franks,MIA,2.2,1.4
Phil Dawson,SF,1.9,1.2
Travis Coons,CLE,1.8,1.2
Zach Hocker,STL,0.1,0.1
Shayne Graham,ATL,0.1,0.0
Jay Feely,CHI,0.0,0.0
Jordan Gay,BUF,0.0,0.0
Shaun Suisham,PIT,0.0,0.0
Patrick Murray,TB,0.0,0.0
Billy Cundiff,CLE,0.0,0.0
Garrett Hartley,PIT,0.0,0.0
Josh Scobee,PIT,0.0,0.0
