"name","pos","name_yahoo","team_yahoo","positionRank_yahoo","overallRank_yahoo","pts_yahoo","passAtt_yahoo","passComp_yahoo","passYds_yahoo","passTds_yahoo","passInt_yahoo","rushAtt_yahoo","rushYds_yahoo","rushTds_yahoo","rec_yahoo","recYds_yahoo","recTds_yahoo","returnTds_yahoo","twoPts_yahoo","fumbles_yahoo"
"MATTRYAN","QB","Matt Ryan","ATL",1,1,31.42,0,NA,448,3,0,3,15,0,0,0,0,0,0,0
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",2,2,30.04,0,NA,346,2,0,4,2,1,0,0,0,0,1,0
"ANDREWLUCK","QB","Andrew Luck","IND",3,3,28.7,0,NA,370,2,2,5,19,1,0,0,0,0,0,0
"CALVINJOHNSON","WR","Calvin Johnson","DET",1,4,28.4,11,NA,0,0,0,0,0,0,7,164,2,0,0,0
"JULIUSTHOMAS","TE","Julius Thomas","DEN",1,4,28.4,8,NA,0,0,0,0,0,0,7,104,3,0,0,0
"LEVEONBELL","RB","Le'Veon Bell","PIT",1,6,25.7,7,NA,0,0,0,21,109,1,6,88,0,0,0,0
"MARSHAWNLYNCH","RB","Marshawn Lynch","SEA",2,7,24.4,1,NA,0,0,0,20,110,2,1,14,0,0,0,0
"ALLENHURNS","WR","Allen Hurns","JAX",2,8,23,9,NA,0,0,0,0,0,0,4,110,2,0,0,0
"PEYTONMANNING","QB","Peyton Manning","DEN",4,9,22.46,0,NA,269,3,0,4,-3,0,0,0,0,0,0,0
"CARSONPALMER","QB","Carson Palmer","ARI",5,10,21.06,0,NA,304,2,0,4,29,0,0,0,0,0,0,1
"JAKELOCKER","QB","Jake Locker","TEN",6,11,20.04,0,NA,266,2,0,6,14,0,0,0,0,0,0,0
"JAYCUTLER","QB","Jay Cutler","CHI",7,12,19.96,0,NA,349,2,2,0,0,0,0,0,0,0,0,0
"AJGREEN","WR","A.J. Green","CIN",3,13,19.6,9,NA,0,0,0,1,5,0,6,131,1,0,0,0
"KNOWSHONMORENO","RB","Knowshon Moreno","MIA",3,14,19.4,0,NA,0,0,0,24,134,1,0,0,0,0,0,0
"CORDARRELLEPATTERSON","WR","Cordarrelle Patterson","MIN",4,15,18.8,5,NA,0,0,0,3,102,1,3,26,0,0,0,0
"RUSSELLWILSON","QB","Russell Wilson","SEA",8,16,18.54,0,NA,191,2,0,7,29,0,0,0,0,0,0,0
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",9,17,18.4,0,NA,365,1,1,3,8,0,0,0,0,0,0,0
"ANDYDALTON","QB","Andy Dalton","CIN",10,18,18.34,0,NA,301,1,0,6,3,0,0,0,0,0,1,0
"DEMARCOMURRAY","RB","DeMarco Murray","DAL",4,19,18.3,4,NA,0,0,0,22,118,1,3,25,0,0,0,1
"DEREKANDERSON","QB","Derek Anderson","CAR",11,20,18.2,0,NA,230,2,0,3,10,0,0,0,0,0,0,0
"MARKINGRAM","RB","Mark Ingram","NO",5,21,18.1,1,NA,0,0,0,13,60,2,1,1,0,0,0,0
"EJMANUEL","QB","EJ Manuel","BUF",12,22,17.82,0,NA,173,1,1,6,19,1,0,0,0,0,0,0
"STEVESMITH","WR","Steve Smith Sr.","BAL",5,23,17.8,15,NA,0,0,0,0,0,0,7,118,1,0,0,0
"ANTONIOBROWN","WR","Antonio Brown","PIT",6,24,17.6,6,NA,0,0,0,0,0,0,5,116,1,0,0,0
"JOEFLACCO","QB","Joe Flacco","BAL",13,25,17.5,0,NA,345,1,1,3,7,0,0,0,0,0,0,0
"CHADHENNE","QB","Chad Henne","JAX",14,26,17.44,0,NA,266,2,0,1,8,0,0,0,0,0,0,1
"COLINKAEPERNICK","QB","Colin Kaepernick","SF",15,27,17.14,0,NA,201,2,0,5,11,0,0,0,0,0,0,0
"MATTFORTE","RB","Matt Forte","CHI",6,28,16.9,9,NA,0,0,0,17,82,0,8,87,0,0,0,0
"DREWBREES","QB","Drew Brees","NO",16,29,16.52,0,NA,333,1,1,1,2,0,0,0,0,0,0,0
