displayName,team,rushAtt,rushYds,rushTD,receptions,recYds,recTD,fumblesLost
Bernard Pierce,JAC,2.9,9.2,0.0,0.3,2.0,0.0,0.0
Javorius Allen,BAL,2.5,9.0,0.0,1.0,4.9,0.0,0.1
Cameron Artis-Payne,CAR,2.0,8.9,0.1,0.8,4.5,0.0,0.0
Taiwan Jones,OAK,2.1,8.7,0.1,0.9,8.3,0.0,0.1
Matt Asiata,MIN,2.0,8.2,0.0,0.8,6.6,0.0,0.0
Donald Brown,SD,2.7,8.1,0.0,1.1,7.0,0.0,0.0
Bobby Rainey,TB,1.9,7.5,0.0,0.9,7.0,0.0,0.0
Juwan Thompson,DEN,1.2,6.5,0.0,0.0,1.2,0.0,0.0
Christine Michael,DAL,1.3,6.3,0.0,0.1,1.1,0.0,0.0
Denard Robinson,JAC,0.0,6.3,0.0,0.3,1.7,0.0,0.0
Antonio Andrews,TEN,1.7,6.3,0.1,0.5,4.5,0.0,0.1
Lance Dunbar,DAL,1.4,5.7,0.0,3.0,29.7,0.1,0.0
KaDeem Carey,CHI,1.2,5.6,0.0,0.1,2.1,0.0,0.0
Stepfan Taylor,ARI,1.7,5.6,0.0,0.2,1.7,0.0,0.0
John Crockett,GB,1.2,5.1,0.1,0.3,2.2,0.0,0.0
Jordan Todman,PIT,0.7,5.0,0.0,0.6,3.8,0.0,0.0
Marcel Reece,OAK,1.3,4.8,0.0,1.5,14.2,0.0,0.1
Alonzo Harris,GB,1.1,4.3,0.0,0.3,2.2,0.0,0.0
Shaun Draughn,CLE,1.1,4.1,0.0,0.3,2.8,0.0,0.1
Jarryd Hayne,SF,1.1,4.0,0.0,0.3,1.9,0.0,0.0
John Kuhn,GB,1.3,3.9,0.1,0.8,4.1,0.0,0.0
Dri Archer,PIT,0.8,3.7,0.0,0.7,2.5,0.0,0.0
Will Johnson,PIT,1.2,3.1,0.1,0.3,2.4,0.0,0.0
Thomas Rawls,SEA,0.8,3.1,0.0,0.0,0.5,0.0,0.0
Theo Riddick,DET,1.3,2.9,0.0,2.2,20.0,0.1,0.1
Jay Prosch,HOU,0.9,2.8,0.0,0.2,2.6,0.0,0.0
Tommy Bohanon,NYJ,0.9,2.5,0.0,0.5,2.7,0.0,0.0
Chris Thompson,WAS,0.7,2.4,0.0,0.8,4.9,0.0,0.0
Zach Line,MIN,0.6,2.4,0.1,0.3,2.3,0.0,0.0
Tyler Clutts,DAL,0.6,2.3,0.0,0.5,2.3,0.1,0.0
Marcus Murphy,NO,1.1,2.3,0.0,0.0,2.3,0.0,0.0
Derrick Coleman,SEA,0.7,2.3,0.0,0.3,2.9,0.1,0.0
Charcandrick West,KC,0.7,2.1,0.0,0.0,1.7,0.0,0.0
Jerome Felton,BUF,0.5,2.0,0.0,0.5,1.8,0.0,0.0
Darrel Young,WAS,0.7,1.8,0.0,0.8,4.5,0.0,0.0
Isaiah Pead,STL,0.5,1.8,0.0,0.5,1.1,0.0,0.0
Jalston Fowler,TEN,0.4,1.7,0.0,0.6,2.2,0.0,0.0
Rex Burkhead,CIN,0.5,1.7,0.0,0.6,5.8,0.0,0.0
James White,NE,0.2,1.7,0.0,0.2,1.9,0.0,0.0
Mike James,TB,0.3,1.6,0.0,0.1,0.6,0.0,0.0
Austin Johnson,NO,0.6,1.4,0.1,0.4,2.4,0.1,0.0
Jorvorskie Lane,TB,0.4,1.4,0.0,0.1,1.0,0.0,0.0
Travaris Cadet,NE,0.1,1.3,0.0,1.3,11.1,0.0,0.0
Michael Burton,DET,0.4,1.3,0.0,0.2,1.5,0.0,0.0
Tyler Varga,IND,0.3,1.2,0.0,0.1,0.8,0.0,0.0
Zach Zenner,DET,0.5,1.2,0.0,0.1,0.4,0.0,0.0
Seantavius Jones,NO,0.4,1.2,0.0,0.0,0.5,0.0,0.0
Patrick DiMarco,ATL,0.4,1.2,0.0,0.8,4.2,0.0,0.0
Cedric Peerman,CIN,0.4,1.1,0.0,0.1,0.9,0.0,0.0
Stevan Ridley,NYJ,0.4,1.1,0.0,0.0,0.0,0.0,0.0
Anthony Sherman,KC,0.3,1.0,0.0,0.8,5.9,0.0,0.0
Bruce Miller,SF,0.3,0.8,0.0,0.9,5.9,0.0,0.0
Chase Reynolds,STL,0.2,0.8,0.0,0.1,0.8,0.0,0.0
Jonas Gray,MIA,0.2,0.8,0.0,0.0,0.0,0.0,0.0
Orleans Darkwa,NYG,0.2,0.6,0.0,0.1,0.8,0.0,0.0
Jamize Olawale,OAK,0.2,0.6,0.0,0.2,2.0,0.0,0.0
LaMichael James,MIA,0.1,0.2,0.0,0.6,0.3,0.0,0.0
Kenjon Barner,PHI,0.1,0.2,0.0,0.0,0.1,0.0,0.0
Bryce Brown,BUF,0.0,0.1,0.0,0.0,0.0,0.0,0.0
Tim Hightower,NO,0.0,0.1,0.0,0.0,0.0,0.0,0.0
Kyle Juszczyk,BAL,0.1,0.1,0.0,1.2,10.2,0.0,0.1
Nikita Whitlock,NYG,0.0,0.1,0.0,0.0,0.1,0.0,0.0
Fitzgerald Toussaint,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Edwin Baker,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcus Thigpen,BUF,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Will Tukuafu,SEA,0.0,0.0,0.0,0.0,0.1,0.0,0.0
Tevin Coleman,ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
