displayName,team,xp,fg
Chandler Catanzaro,ARI,2.7,2.1
Graham Gano,CAR,2.3,2.1
Stephen Gostkowski,NE,3.6,2.0
Matt Bryant,ATL,2.9,2.0
Steven Hauschka,SEA,2.1,2.0
Justin Tucker,BAL,2.1,2.0
Caleb Sturgis,PHI,2.8,1.9
Brandon McManus,DEN,2.1,1.9
Cairo Santos,KC,2.1,1.9
Matt Prater,DET,2.1,1.9
Dan Bailey,DAL,2.1,1.9
Josh Lambo,SD,2.0,1.9
Blair Walsh,MIN,2.0,1.9
Greg Zuerlein,STL,1.9,1.9
Dan Carpenter,BUF,1.9,1.9
Mason Crosby,GB,2.6,1.8
Robbie Gould,CHI,2.1,1.8
Adam Vinatieri,IND,2.1,1.8
Jason Myers,JAC,2.0,1.8
Nick Novak,HOU,1.9,1.8
Dustin Hopkins,WAS,1.8,1.8
Andrew Franks,MIA,2.2,1.7
Ryan Succop,TEN,2.0,1.7
Phil Dawson,SF,1.2,1.7
Connor Barth,TB,1.2,1.7
Sebastian Janikowski,OAK,2.7,1.2
Mike Nugent,CIN,2.6,1.2
Randy Bullock,NYJ,2.6,1.2
Kai Forbath,NO,0.0,0.0
Josh Brown,NYG,0.0,0.0
Billy Cundiff,CLE,0.0,0.0
Shaun Suisham,PIT,0.0,0.0
Josh Scobee,PIT,0.0,0.0
Jay Feely,CHI,0.0,0.0
Jordan Gay,BUF,0.0,0.0
Chris Boswell,PIT,0.0,0.0
Garrett Hartley,PIT,0.0,0.0
Patrick Murray,TB,0.0,0.0
Derek Dimke,NO,0.0,0.0
