displayName,defSack,defInt,defFF,defFR,defTD,defRetTD,defSafety,defPA,defYdsAllowed
New York Giants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pittsburgh Steelers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Orleans Saints,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cleveland Browns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seattle Seahawks,3.7,1.4,0.6,0.6,0.3,0.1,0.1,15.5,249.1
Denver Broncos,3.2,1.3,0.5,0.4,0.3,0.1,0.0,18.5,303.0
Carolina Panthers,2.3,1.4,0.6,0.6,0.3,0.0,0.0,18.7,344.2
New York Jets,2.7,1.3,0.6,0.6,0.2,0.1,0.0,19.0,317.4
New England Patriots,2.8,1.2,0.5,0.5,0.2,0.1,0.0,19.3,313.3
Philadelphia Eagles,2.9,1.0,1.0,1.0,0.3,0.1,0.0,19.6,337.2
Minnesota Vikings,2.9,0.9,0.3,0.3,0.1,0.1,0.0,20.4,348.0
St. Louis Rams,3.0,1.1,0.5,0.5,0.3,0.1,0.0,20.6,344.0
Tennessee Titans,3.0,1.1,0.5,0.5,0.2,0.0,0.0,21.1,298.8
Atlanta Falcons,1.8,1.1,0.4,0.4,0.2,0.0,0.0,21.2,369.8
Green Bay Packers,2.6,1.0,0.5,0.5,0.2,0.0,0.0,21.2,367.2
Oakland Raiders,2.5,1.2,0.5,0.5,0.2,0.0,0.0,21.3,335.5
Jacksonville Jaguars,2.4,1.0,0.7,0.7,0.2,0.0,0.1,22.4,317.5
Dallas Cowboys,2.6,1.0,0.5,0.5,0.2,0.0,0.0,22.9,336.9
Kansas City Chiefs,3.0,0.9,0.6,0.5,0.3,0.1,0.0,23.1,384.0
Miami Dolphins,2.8,1.0,0.4,0.4,0.2,0.1,0.0,23.4,349.2
Baltimore Ravens,2.4,1.1,0.3,0.3,0.2,0.1,0.0,23.5,359.3
San Francisco 49ers,2.5,0.6,0.4,0.4,0.1,0.0,0.0,23.8,346.1
Houston Texans,2.1,0.9,0.5,0.5,0.2,0.1,0.0,24.1,385.1
Cincinnati Bengals,2.7,1.0,0.4,0.4,0.2,0.1,0.0,24.6,371.1
Arizona Cardinals,2.5,1.1,0.5,0.5,0.3,0.1,0.0,24.9,397.5
Tampa Bay Buccaneers,2.0,0.9,0.8,0.8,0.2,0.0,0.0,25.1,344.9
Washington Redskins,2.0,0.7,0.4,0.4,0.1,0.0,0.0,25.8,369.3
Chicago Bears,2.4,1.1,0.5,0.5,0.2,0.0,0.0,25.8,363.7
Indianapolis Colts,1.6,0.9,0.3,0.3,0.2,0.0,0.1,26.0,372.4
San Diego Chargers,2.0,0.5,0.4,0.4,0.1,0.0,0.0,27.5,414.7
Detroit Lions,2.0,0.9,0.3,0.3,0.2,0.1,0.0,29.1,398.5
Buffalo Bills,2.6,0.9,0.3,0.3,0.2,0.1,0.0,29.2,408.4
