"name","name_cbs","pos","team_cbs","positionRank_cbs","overallRank_cbs","passAtt_cbs","passComp_cbs","passYds_cbs","passTds_cbs","passInt_cbs","passCompPct_cbs","passYdsPerAtt_cbs","rushAtt_cbs","rushYds_cbs","rushYdsPerAtt_cbs","rushTds_cbs","rec_cbs","recYds_cbs","recYdsPerRec_cbs","recTds_cbs","twoPts_cbs","fumbles_cbs","pts_cbs"
"DAVANTEADAMS","Davante Adams","WR","GB",35,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,75,12.5,0,NA,0,7
"BRANDINCOOKS","Brandin Cooks","WR","NO",35,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,19,4.8,1,NA,0,7
"TORREYSMITH","Torrey Smith","WR","BAL",35,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,70,17.5,0,NA,0,7
"ANDREHOLMES","Andre Holmes","WR","OAK",35,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,70,17.5,0,NA,0,7
"LARRYFITZGERALD","Larry Fitzgerald","WR","ARI",35,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,39,9.8,1,NA,1,7
"MOHAMEDSANU","Mohamed Sanu","WR","CIN",35,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,38,9.5,1,NA,1,7
"ROBERTWOODS","Robert Woods","WR","BUF",35,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,18,6,1,NA,0,7
"CORDARRELLEPATTERSON","Cordarrelle Patterson","WR","MIN",35,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,15,3.8,1,NA,0,7
"KENNYSTILLS","Kenny Stills","WR","NO",35,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,70,23.3,0,NA,0,7
"MARTELLUSBENNETT","Martellus Bennett","TE","CHI",10,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,77,15.4,0,NA,0,7
"CLAYHARBOR","Clay Harbor","TE","JAC",10,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,18,6,1,NA,0,7
"TRAVISKELCE","Travis Kelce","TE","KC",10,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,71,14.2,0,NA,0,7
"BRYCEBROWN","Bryce Brown","RB","BUF",28,114,NA,NA,NA,NA,NA,NA,NA,11,56,5.1,0,2,15,7.5,0,NA,0,6
"TRAVARISCADET","Travaris Cadet","RB","NO",28,114,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,7,68,9.7,0,NA,0,6
"ANTHONYDIXON","Anthony Dixon","RB","BUF",28,114,NA,NA,NA,NA,NA,NA,NA,15,55,3.7,0,2,10,5,0,NA,0,6
"ALFREDMORRIS","Alfred Morris","RB","WAS",28,114,NA,NA,NA,NA,NA,NA,NA,14,63,4.5,0,1,1,1,0,NA,0,6
"MATTASIATA","Matt Asiata","RB","MIN",28,114,NA,NA,NA,NA,NA,NA,NA,3,8,2.7,1,1,5,5,0,NA,0,6
"MALCOMFLOYD","Malcom Floyd","WR","SD",45,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,69,23,0,NA,0,6
"KEENANALLEN","Keenan Allen","WR","SD",45,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,68,11.3,0,NA,0,6
"ALLENROBINSON","Allen Robinson","WR","JAC",45,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,67,9.6,0,NA,0,6
"WESWELKER","Wes Welker","WR","DEN",45,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,65,16.2,0,NA,0,6
"ANDREWHAWKINS","Andrew Hawkins","WR","CLE",45,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,63,15.8,0,NA,0,6
"JERMAINEKEARSE","Jermaine Kearse","WR","SEA",45,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,61,20.3,0,NA,0,6
"JARIUSWRIGHT","Jarius Wright","WR","MIN",45,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,68,13.6,0,NA,0,6
"JORDANMATTHEWS","Jordan Matthews","WR","PHI",45,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,63,15.8,0,NA,0,6
"BRIANQUICK","Brian Quick","WR","STL",45,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,62,20.7,0,NA,0,6
"GREGJENNINGS","Greg Jennings","WR","MIN",45,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,68,11.3,0,NA,0,6
"GAVINESCOBAR","Gavin Escobar","TE","DAL",13,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,0,6
"DARRENSPROLES","Darren Sproles","RB","PHI",33,130,NA,NA,NA,NA,NA,NA,NA,5,30,6,0,2,21,10.5,0,NA,0,5
"THEORIDDICK","Theo Riddick","RB","DET",33,130,NA,NA,NA,NA,NA,NA,NA,7,30,4.3,0,4,25,6.2,0,NA,0,5
"CECILSHORTS","Cecil Shorts","WR","JAC",55,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,55,11,0,NA,0,5
"LOUISMURPHY","Louis Murphy","WR","TB",55,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,54,13.5,0,NA,0,5
"RILEYCOOPER","Riley Cooper","WR","PHI",55,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,58,14.5,0,NA,0,5
"HAKEEMNICKS","Hakeem Nicks","WR","IND",55,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,55,13.8,0,NA,0,5
"MILESAUSTIN","Miles Austin","WR","CLE",55,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,57,19,0,NA,0,5
"COBYFLEENER","Coby Fleener","TE","IND",14,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,52,13,0,NA,0,5
"SCOTTCHANDLER","Scott Chandler","TE","BUF",14,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,52,10.4,0,NA,0,5
"JONATHANSTEWART","Jonathan Stewart","RB","CAR",35,139,NA,NA,NA,NA,NA,NA,NA,11,37,3.4,0,3,16,5.3,0,NA,0,4
"SHONNGREENE","Shonn Greene","RB","TEN",35,139,NA,NA,NA,NA,NA,NA,NA,10,40,4,0,0,0,0,0,NA,0,4
"JAMESSTARKS","James Starks","RB","GB",35,139,NA,NA,NA,NA,NA,NA,NA,7,34,4.9,0,2,11,5.5,0,NA,0,4
"CHRISJOHNSON","Chris Johnson","RB","NYJ",35,139,NA,NA,NA,NA,NA,NA,NA,8,31,3.9,0,2,12,6,0,NA,0,4
"BOBBYRAINEY","Bobby Rainey","RB","TB",35,139,NA,NA,NA,NA,NA,NA,NA,8,37,4.6,0,2,16,8,0,NA,0,4
"JERRICHOCOTCHERY","Jerricho Cotchery","WR","CAR",60,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,40,13.3,0,NA,0,4
"PAULRICHARDSON","Paul Richardson","WR","SEA",60,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,42,14,0,NA,0,4
"JARVISLANDRY","Jarvis Landry","WR","MIA",60,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,47,11.8,0,NA,0,4
"JEREMYROSS","Jeremy Ross","WR","DET",60,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,46,15.3,0,NA,0,4
"MARTAVISBRYANT","Martavis Bryant","WR","PIT",60,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,45,22.5,0,NA,0,4
"COREYFULLER","Corey Fuller","WR","DET",60,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,45,11.2,0,NA,0,4
"JOHNBROWN","John Brown","WR","ARI",60,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,48,24,0,NA,0,4
"BRICEBUTLER","Brice Butler","WR","OAK",60,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,48,24,0,NA,0,4
"JAREDCOOK","Jared Cook","TE","STL",16,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,42,14,0,NA,0,4
"JACEAMARO","Jace Amaro","TE","NYJ",16,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,40,13.3,0,NA,0,4
"CHARLESCLAY","Charles Clay","TE","MIA",16,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,41,13.7,0,NA,0,4
"JERMAINEGRESHAM","Jermaine Gresham","TE","CIN",16,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,40,10,0,NA,0,4
"DELANIEWALKER","Delanie Walker","TE","TEN",16,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,48,16,0,NA,0,4
"TIMOTHYWRIGHT","Timothy Wright","TE","NE",16,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,43,14.3,0,NA,0,4
"KNILEDAVIS","Knile Davis","RB","KC",40,158,NA,NA,NA,NA,NA,NA,NA,7,27,3.9,0,2,16,8,0,NA,0,3
"JOSEPHRANDLE","Joseph Randle","RB","DAL",40,158,NA,NA,NA,NA,NA,NA,NA,9,30,3.3,0,0,0,0,0,NA,0,3
"ROYHELU","Roy Helu","RB","WAS",40,158,NA,NA,NA,NA,NA,NA,NA,3,12,4,0,3,24,8,0,NA,0,3
"JONASGRAY","Jonas Gray","RB","NE",40,158,NA,NA,NA,NA,NA,NA,NA,8,31,3.9,0,0,0,0,0,NA,0,3
"BENNYCUNNINGHAM","Benny Cunningham","RB","STL",40,158,NA,NA,NA,NA,NA,NA,NA,3,13,4.3,0,3,25,8.3,0,NA,0,3
"DEVONTAFREEMAN","Devonta Freeman","RB","ATL",40,158,NA,NA,NA,NA,NA,NA,NA,1,3,3,0,4,34,8.5,0,NA,0,3
"STEVENJACKSON","Steven Jackson","RB","ATL",40,158,NA,NA,NA,NA,NA,NA,NA,7,21,3,0,2,10,5,0,NA,0,3
"NATEWASHINGTON","Nate Washington","WR","TEN",68,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,35,11.7,0,NA,0,3
"BRIANHARTLINE","Brian Hartline","WR","MIA",68,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,35,8.8,0,NA,0,3
"ROBERTMEACHEM","Robert Meachem","WR","NO",68,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,33,16.5,0,NA,0,3
"JASONAVANT","Jason Avant","WR","CAR",68,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,31,15.5,0,NA,0,3
"CHRISHOGAN","Chris Hogan","WR","BUF",68,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,35,11.7,0,NA,0,3
"DAMARISJOHNSON","Damaris Johnson","WR","HOU",68,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,30,15,0,NA,0,3
"DONTEMONCRIEF","Donte Moncrief","WR","IND",68,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,38,12.7,0,NA,0,3
"PERCYHARVIN","Percy Harvin","WR","NYJ",68,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,21,5.2,0,NA,0,3
"DEVINHESTER","Devin Hester","WR","ATL",68,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,34,11.3,0,NA,0,3
"JASONWITTEN","Jason Witten","TE","DAL",22,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,32,16,0,NA,0,3
"ANTHONYFASANO","Anthony Fasano","TE","KC",22,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,30,10,0,NA,0,3
"COOPERHELFET","Cooper Helfet","TE","SEA",22,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,35,11.7,0,NA,0,3
"DEANTHONYTHOMAS","De'Anthony Thomas","RB","KC",47,177,NA,NA,NA,NA,NA,NA,NA,2,8,4,0,3,25,8.3,0,NA,0,2
"JEREMYHILL","Jeremy Hill","RB","CIN",47,177,NA,NA,NA,NA,NA,NA,NA,5,20,4,0,1,3,3,0,NA,0,2
