"Rank","Player","Pos","Bye","Best","Worst","Avg","Std","Player.Name"
"133","Ryan Tannehill","QB16","5","89","135","112.0","18.8","RYANTANNEHILL"
"134","Ted Ginn","WR57","5","102","127","113.3","10.3","TEDGINN"
"135","Leonard Hankerson","WR58","10","120","171","137.3","19.8","LEONARDHANKERSON"
"136","Dorial Green-Beckham","WR59","4","120","152","138.3","11.8","DORIALGREENBECKHAM"
"137","Zach Ertz","TE16","8","126","147","138.3","9.1","ZACHERTZ"
"138","James Starks","RB47","7","78","79","78.5","0.5","JAMESSTARKS"
"139","Michael Floyd","WR60","9","111","174","140.0","23.0","MICHAELFLOYD"
"140","Theo Riddick","RB48","9","73","151","124.0","36.1","THEORIDDICK"
"141","Alfred Morris","RB49","8","128","157","143.8","11.2","ALFREDMORRIS"
"142","Jordan Cameron","TE17","5","133","153","143.8","7.3","JORDANCAMERON"
"143","Doug Baldwin","WR61","9","137","154","144.3","6.3","DOUGBALDWIN"
"144","Chris Thompson","RB50","8","118","139","127.0","8.8","CHRISTHOMPSON"
"145","Matthew Stafford","QB17","9","123","135","127.0","5.7","MATTHEWSTAFFORD"
"146","Travis Benjamin","WR62","11","94","163","127.3","28.2","TRAVISBENJAMIN"
"147","Bishop Sankey","RB51","4","99","179","146.8","31.3","BISHOPSANKEY"
"148","Danny Amendola","WR63","4","131","175","147.3","16.6","DANNYAMENDOLA"
"149","Kyle Rudolph","TE18","5","117","147","130.0","12.6","KYLERUDOLPH"
"150","Larry Donnell","TE19","11","115","168","148.0","19.9","LARRYDONNELL"
"151","Kenny Stills","WR64","5","131","175","148.0","16.3","KENNYSTILLS"
"152","Joique Bell","RB52","9","122","212","153.3","36.8","JOIQUEBELL"
"153","Jay Cutler","QB18","7","112","155","134.0","17.6","JAYCUTLER"
"154","Knile Davis","RB53","9","79","165","135.0","39.6","KNILEDAVIS"
"155","Charles Johnson","WR65","5","119","158","140.3","16.1","CHARLESJOHNSON"
"156","Brandon LaFell","WR66","4","108","169","141.0","25.2","BRANDONLAFELL"
"157","Marquess Wilson","WR67","7","127","175","157.0","19.6","MARQUESSWILSON"
"158","Devin Funchess","WR68","5","116","163","144.3","20.4","DEVINFUNCHESS"
"159","Brian Quick","WR69","6","125","171","145.3","19.2","BRIANQUICK"
"160","Kamar Aiken","WR70","9","129","177","148.7","20.5","KAMARAIKEN"
"161","Blake Bortles","QB19","8","91","155","123.0","32.0","BLAKEBORTLES"
"162","Brandon Coleman","WR71","11","140","177","163.0","13.9","BRANDONCOLEMAN"
"163","Jamison Crowder","WR72","8","116","136","126.0","10.0","JAMISONCROWDER"
"164","Tyler Lockett","WR73","9","143","169","152.7","11.6","TYLERLOCKETT"
"165","Tavon Austin","WR74","6","108","222","161.3","46.8","TAVONAUSTIN"
"166","Roy Helu","RB54","6","132","170","154.3","16.2","ROYHELU"
"167","Ladarius Green","TE20","10","149","164","157.7","6.3","LADARIUSGREEN"
"168","Andre Williams","RB55","11","161","178","168.5","7.2","ANDREWILLIAMS"
"169","Karlos Williams","RB56","8","124","157","140.5","16.5","KARLOSWILLIAMS"
"170","Kenny Britt","WR75","6","146","175","164.0","12.8","KENNYBRITT"
"171","Richard Rodgers","TE21","7","149","187","164.0","16.5","RICHARDRODGERS"
"172","Teddy Bridgewater","QB20","5","92","205","148.5","56.5","TEDDYBRIDGEWATER"
"173","Cecil Shorts","WR76","9","119","198","164.7","33.4","CECILSHORTS"
"174","Marcus Mariota","QB21","4","95","201","148.0","53.0","MARCUSMARIOTA"
"175","Cole Beasley","WR77","6","145","176","165.7","14.6","COLEBEASLEY"
"176","Crockett Gillmore","TE22","9","142","226","176.0","36.1","CROCKETTGILLMORE"
"177","Reggie Bush","RB57","10","138","165","151.5","13.5","REGGIEBUSH"
"178","Austin Seferian-Jenkins","TE23","6","149","190","169.0","16.8","AUSTINSEFERIANJENKINS"
"179","Derek Carr","QB22","6","155","194","169.3","17.5","DEREKCARR"
