displayName,team,xp,fg
Blair Walsh,MIN,1.4,2.5
Stephen Gostkowski,NE,3.3,2.3
Josh Lambo,SD,2.9,2.0
Nick Folk,NYJ,2.8,2.0
Dan Carpenter,BUF,2.2,2.0
Chris Boswell,PIT,1.5,2.0
Josh Brown,NYG,2.8,1.9
Matt Bryant,ATL,2.7,1.9
Caleb Sturgis,PHI,2.1,1.9
Brandon McManus,DEN,2.1,1.9
Connor Barth,TB,2.0,1.9
Phil Dawson,SF,1.9,1.9
Kai Forbath,NO,2.9,1.8
Adam Vinatieri,IND,2.1,1.8
Mason Crosby,GB,2.0,1.8
Robbie Gould,CHI,2.0,1.8
Sebastian Janikowski,OAK,1.9,1.8
Ryan Succop,TEN,1.9,1.7
Dustin Hopkins,WAS,1.8,1.7
Greg Zuerlein,STL,1.8,1.7
Jason Myers,JAC,1.2,1.7
Zach Hocker,NO,2.4,1.6
Mike Nugent,CIN,2.9,1.4
Chandler Catanzaro,ARI,2.1,1.4
Graham Gano,CAR,2.0,1.3
Andrew Franks,MIA,1.6,1.3
Dan Bailey,DAL,2.0,1.2
Travis Coons,CLE,1.3,1.1
Justin Tucker,BAL,0.6,0.4
Matt Prater,DET,0.6,0.4
Nick Novak,HOU,0.4,0.4
Cairo Santos,KC,0.4,0.4
Steven Hauschka,SEA,0.6,0.2
Garrett Hartley,PIT,0.0,0.0
Jordan Gay,BUF,0.0,0.0
Patrick Murray,TB,0.0,0.0
Shaun Suisham,PIT,0.0,0.0
Josh Scobee,PIT,0.0,0.0
Jay Feely,CHI,0.0,0.0
Billy Cundiff,CLE,0.0,0.0
