displayName,team,rushAtt,rushYds,rushTD,receptions,recYds,recTD,fumblesLost
Todd Gurley,STL,20.4,95.8,0.6,2.6,19.5,0.0,0.1
Devonta Freeman,ATL,19.7,90.5,0.7,4.3,33.3,0.1,0.1
Adrian Peterson,MIN,20.4,85.7,0.5,2.2,14.0,0.0,0.2
LeSean McCoy,BUF,16.7,76.4,0.5,2.3,16.0,0.0,0.2
Doug Martin,TB,18.7,75.7,0.5,2.2,18.7,0.0,0.2
Mark Ingram,NO,16.9,74.9,0.7,2.5,18.6,0.0,0.1
Chris Ivory,NYJ,17.6,74.6,0.5,1.9,12.9,0.1,0.1
Jeremy Hill,CIN,14.2,73.6,0.6,1.1,8.5,0.0,0.2
Jonathan Stewart,CAR,17.5,73.4,0.4,1.7,10.5,0.0,0.2
DeMarco Murray,PHI,15.9,73.3,0.5,3.1,19.7,0.1,0.2
Latavius Murray,OAK,15.8,72.3,0.4,1.6,10.5,0.0,0.2
Lamar Miller,MIA,14.8,69.8,0.4,3.1,22.2,0.0,0.1
Eddie Lacy,GB,13.9,68.6,0.4,1.6,10.9,0.0,0.1
DeAngelo Williams,PIT,15.3,65.3,0.4,2.2,15.9,0.0,0.1
Jeremy Langford,CHI,13.5,63.5,0.3,2.1,16.1,0.0,0.1
LeGarrette Blount,NE,12.8,63.1,0.6,0.5,3.7,0.0,0.1
Ronnie Hillman,DEN,15.2,62.3,0.4,2.6,17.4,0.0,0.1
Darren McFadden,DAL,16.4,61.3,0.3,3.6,27.3,0.1,0.1
Frank Gore,IND,14.7,59.8,0.3,2.2,15.6,0.0,0.2
Melvin Gordon,SD,13.1,58.7,0.3,1.9,12.7,0.0,0.2
Antonio Andrews,TEN,13.0,56.9,0.5,1.9,16.0,0.1,0.1
T.J. Yeldon,JAC,13.5,51.4,0.2,2.8,19.7,0.0,0.1
C.J. Anderson,DEN,10.0,50.3,0.3,1.9,13.8,0.0,0.1
Marshawn Lynch,SEA,11.0,47.9,0.5,1.0,7.2,0.0,0.0
Justin Forsett,BAL,12.0,47.9,0.5,1.4,12.0,0.0,0.0
Ryan Mathews,PHI,6.4,41.9,0.2,2.1,17.5,0.1,0.2
Isaiah Crowell,CLE,8.8,41.6,0.2,1.1,8.6,0.0,0.1
Matt Jones,WAS,8.6,40.8,0.2,1.7,11.7,0.0,0.2
Chris Johnson,ARI,8.1,40.7,0.5,0.5,4.8,0.0,0.0
Giovani Bernard,CIN,10.2,39.3,0.3,3.1,23.3,0.2,0.1
Rashad Jennings,NYG,9.4,38.6,0.2,2.0,14.6,0.0,0.2
Kendall Gaskins,SF,10.6,37.8,0.3,1.4,11.2,0.0,0.1
Alfred Morris,WAS,9.4,35.7,0.2,1.0,6.0,0.0,0.1
Dion Lewis,NE,6.9,34.3,0.2,4.9,47.0,0.3,0.2
Karlos Williams,BUF,7.6,34.0,0.3,1.2,8.7,0.0,0.1
Duke Johnson,CLE,6.5,27.9,0.1,3.7,31.6,0.1,0.1
Danny Woodhead,SD,6.7,26.3,0.2,4.1,38.6,0.2,0.1
James Starks,GB,7.9,26.2,0.2,1.9,11.6,0.0,0.1
Shaun Draughn,CLE,7.4,24.0,0.2,1.6,10.6,0.0,0.1
Charles Sims,TB,7.2,22.6,0.1,3.0,24.5,0.0,0.2
C.J. Spiller,NO,5.2,22.6,0.1,2.8,25.8,0.2,0.1
Ameer Abdullah,DET,6.5,21.7,0.0,0.5,4.8,0.0,0.0
Chris Polk,HOU,4.8,21.6,0.0,1.0,7.2,0.0,0.0
Pierre Thomas,SF,5.6,20.7,0.1,2.0,18.1,0.0,0.1
Robert Turbin,CLE,5.5,20.7,0.1,0.4,2.3,0.0,0.1
Christine Michael,DAL,6.7,19.1,0.0,0.4,2.4,0.0,0.1
Orleans Darkwa,NYG,4.0,17.2,0.1,0.7,4.2,0.0,0.1
Alfred Blue,HOU,4.5,16.9,0.0,1.4,9.6,0.0,0.0
Dexter McCluster,TEN,5.4,16.8,0.0,2.9,21.6,0.1,0.1
Shane Vereen,NYG,4.5,16.4,0.1,3.7,32.2,0.2,0.1
David Cobb,TEN,3.4,16.3,0.2,0.4,3.7,0.0,0.0
Tevin Coleman,ATL,4.8,16.0,0.1,0.3,2.5,0.0,0.1
Mike Davis,SF,4.1,15.7,0.1,0.6,5.1,0.0,0.0
Darren Sproles,PHI,3.8,15.7,0.1,3.0,23.7,0.1,0.1
Tre Mason,STL,4.2,15.6,0.1,0.5,2.7,0.0,0.1
Bilal Powell,NYJ,4.8,15.1,0.1,2.0,15.0,0.0,0.1
Andre Williams,NYG,4.2,14.9,0.2,0.2,1.1,0.0,0.1
KaDeem Carey,CHI,2.7,14.7,0.2,0.9,6.4,0.0,0.1
Bishop Sankey,TEN,3.3,14.6,0.1,0.6,5.0,0.0,0.1
Zac Stacy,NYJ,3.6,13.6,0.1,1.1,7.0,0.0,0.1
Jonas Gray,MIA,3.4,13.6,0.1,0.9,6.6,0.0,0.1
Chris Thompson,WAS,3.2,13.5,0.1,2.9,23.7,0.1,0.1
Jordan Todman,PIT,3.5,13.1,0.1,0.7,4.3,0.0,0.1
Jerick McKinnon,MIN,3.1,12.5,0.0,0.7,3.8,0.0,0.1
Stevan Ridley,NYJ,3.0,12.0,0.1,0.6,4.2,0.0,0.2
Mike Tolbert,CAR,2.8,11.9,0.3,0.4,3.6,0.0,0.0
Ahmad Bradshaw,IND,4.4,11.6,0.1,1.8,14.0,0.0,0.1
Antone Smith,ATL,4.4,11.6,0.1,1.0,8.1,0.0,0.0
Toby Gerhart,JAC,2.6,10.7,0.1,0.9,5.3,0.0,0.1
Denard Robinson,JAC,3.0,10.5,0.1,1.0,7.0,0.0,0.1
Taiwan Jones,OAK,2.4,9.9,0.1,1.3,11.5,0.1,0.1
Javorius Allen,BAL,2.5,9.6,0.0,0.0,0.0,0.0,0.0
Donald Brown,SD,2.4,9.4,0.1,1.1,8.2,0.1,0.1
Joique Bell,DET,2.9,9.3,0.0,0.5,2.3,0.0,0.0
Jarryd Hayne,SF,2.1,9.2,0.1,0.4,3.3,0.0,0.2
Carlos Hyde,SF,1.9,9.2,0.1,0.2,1.4,0.0,0.0
Benjamin Cunningham,STL,2.1,8.1,0.0,1.8,13.9,0.0,0.1
