displayName,team,xp,fg
Mason Crosby,GB,3.1,2.1
Steven Hauschka,SEA,2.1,2.1
Chandler Catanzaro,ARI,2.9,2.0
Jason Myers,JAC,2.7,2.0
Randy Bullock,NYJ,2.7,2.0
Josh Brown,NYG,2.2,2.0
Adam Vinatieri,IND,2.2,2.0
Graham Gano,CAR,2.1,2.0
Nick Novak,HOU,2.8,1.9
Stephen Gostkowski,NE,2.7,1.9
Dan Bailey,DAL,2.6,1.9
Cairo Santos,KC,2.2,1.9
Mike Nugent,CIN,2.2,1.9
Brandon McManus,DEN,2.1,1.9
Blair Walsh,MIN,2.0,1.9
Justin Tucker,BAL,1.9,1.9
Matt Prater,DET,2.1,1.8
Josh Lambo,SD,2.1,1.8
Dustin Hopkins,WAS,2.0,1.8
Connor Barth,TB,2.0,1.8
Ryan Succop,TEN,2.0,1.8
Dan Carpenter,BUF,1.9,1.8
Chris Boswell,PIT,1.2,1.8
Greg Zuerlein,STL,1.2,1.7
Kai Forbath,NO,2.6,1.6
Travis Coons,CLE,2.0,1.5
Zach Hocker,NO,1.9,1.4
Caleb Sturgis,PHI,2.6,1.2
Sebastian Janikowski,OAK,2.6,1.2
Robbie Gould,CHI,1.9,1.2
Phil Dawson,SF,1.8,1.2
Andrew Franks,MIA,1.6,1.2
Josh Scobee,PIT,0.0,0.0
Matt Bryant,ATL,0.0,0.0
Shaun Suisham,PIT,0.0,0.0
Jay Feely,CHI,0.0,0.0
Patrick Murray,TB,0.0,0.0
Jordan Gay,BUF,0.0,0.0
Billy Cundiff,CLE,0.0,0.0
Garrett Hartley,PIT,0.0,0.0
