displayName,defSack,defInt,defFF,defFR,defTD,defRetTD,defSafety,defPA,defYdsAllowed
New England Patriots,3.0,1.2,0.3,0.3,0.3,0.1,0.0,17.5,329.8
Cincinnati Bengals,2.7,1.7,0.4,0.4,0.3,0.1,0.0,17.7,333.4
Arizona Cardinals,2.9,1.5,0.9,0.9,0.3,0.1,0.0,18.2,319.4
Philadelphia Eagles,3.0,1.0,0.6,0.6,0.2,0.1,0.0,19.0,315.6
Kansas City Chiefs,3.2,1.3,0.4,0.4,0.3,0.1,0.0,20.0,314.2
Seattle Seahawks,2.4,0.9,0.7,0.7,0.2,0.1,0.1,20.2,354.5
New York Jets,3.1,1.3,0.4,0.3,0.3,0.1,0.0,20.6,319.9
Pittsburgh Steelers,2.4,0.8,0.5,0.5,0.1,0.1,0.0,21.1,400.0
Green Bay Packers,2.2,1.2,0.6,0.6,0.3,0.0,0.0,21.2,415.5
Minnesota Vikings,2.7,1.2,0.3,0.3,0.2,0.1,0.0,21.5,352.3
Oakland Raiders,2.7,1.1,0.2,0.2,0.1,0.0,0.0,21.5,312.1
Baltimore Ravens,2.8,0.8,0.7,0.7,0.2,0.1,0.0,21.5,315.2
Carolina Panthers,2.8,1.1,0.7,0.7,0.2,0.0,0.0,21.6,317.5
St. Louis Rams,3.1,1.0,0.5,0.5,0.2,0.1,0.0,23.0,360.8
Atlanta Falcons,2.4,1.0,0.4,0.4,0.2,0.0,0.0,23.4,371.0
Buffalo Bills,2.5,1.0,0.4,0.4,0.3,0.1,0.0,23.7,362.8
San Diego Chargers,2.2,1.0,0.5,0.5,0.2,0.0,0.0,23.7,326.4
Denver Broncos,2.9,1.0,0.4,0.4,0.2,0.1,0.0,23.8,359.4
Houston Texans,3.0,0.8,0.5,0.5,0.2,0.1,0.0,23.9,390.7
Tennessee Titans,2.1,1.0,0.4,0.4,0.2,0.0,0.0,24.2,365.7
New York Giants,2.2,1.4,0.4,0.4,0.2,0.0,0.0,24.2,423.7
Tampa Bay Buccaneers,2.5,1.1,0.4,0.4,0.2,0.0,0.0,24.7,374.8
Indianapolis Colts,2.1,1.0,0.5,0.5,0.3,0.0,0.1,24.9,426.8
Cleveland Browns,1.8,1.2,0.6,0.6,0.3,0.1,0.0,25.8,431.6
Miami Dolphins,2.7,1.2,0.3,0.3,0.2,0.1,0.0,26.0,400.8
Dallas Cowboys,2.0,0.8,0.4,0.4,0.1,0.0,0.0,26.3,373.0
Washington Redskins,2.4,1.0,0.4,0.4,0.3,0.0,0.0,26.7,406.2
New Orleans Saints,2.1,0.5,0.5,0.5,0.1,0.1,0.0,27.0,447.9
Detroit Lions,2.9,0.6,0.5,0.5,0.2,0.1,0.0,27.5,389.8
Chicago Bears,1.8,0.6,0.4,0.4,0.1,0.0,0.0,27.5,387.0
Jacksonville Jaguars,2.6,0.8,0.8,0.7,0.2,0.0,0.1,28.0,434.1
San Francisco 49ers,1.6,0.6,0.2,0.2,0.1,0.0,0.0,30.1,474.0
